,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,34.0,52.0,0.0,0.6046511627906976,1.0,1.0,0.7536231884057971,471.46,0.34,0.86,50.0,86.0
ABCDx,0.0,50.0,0.0,1.0,1.0,1.0,1.0,212.58,0.0,0.5,50.0,50.0
ADWIN,114.0,17.0,41.0,0.1297709923664122,0.29310344827586204,0.18,0.17989417989417988,-1391.2222222222222,1.14,1.31,50.0,131.0
CUSUM,90.0,9.0,41.0,0.09090909090909091,0.18,0.18,0.1208053691275168,-1748.2222222222222,0.9,0.99,50.0,99.0
DDM,26.0,1.0,49.0,0.037037037037037035,0.02,0.02,0.025974025974025972,-1963.0,0.25999999999999995,0.27,50.0,27.0
EWMAChart,125.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.25,1.25,50.0,125.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,64.0,3.0,47.0,0.04477611940298507,0.06,0.06,0.05128205128205129,-1818.0,0.64,0.67,50.0,67.0
HDDMWeighted,511.0,52.0,18.0,0.09236234458259325,0.7428571428571429,0.64,0.16429699842022116,-1503.46875,5.11,5.63,50.0,563.0
PageHinkley,42.0,6.0,44.0,0.125,0.12,0.12,0.12244897959183673,-1063.1666666666667,0.42000000000000004,0.48000000000000004,50.0,48.0
RDDM,126.0,8.0,42.0,0.05970149253731343,0.16,0.16,0.08695652173913043,-1435.75,1.26,1.34,50.0,134.0
SEED,149.0,58.0,0.0,0.28019323671497587,1.0,1.0,0.43773584905660384,-108.16,1.49,2.07,50.0,207.0
STEPD,726.0,131.0,0.0,0.1528588098016336,1.0,1.0,0.2651821862348178,-882.04,7.26,8.57,50.0,857.0
STUDD,683.0,249.0,2.0,0.26716738197424894,0.9920318725099602,0.96,0.4209636517328826,-455.8333333333333,6.83,9.32,50.0,932.0
