,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,9.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.19862288135593223,0.19862288135593223,50.0,9.0
ABCDx,9.0,3.0,47.0,0.25,0.06,0.06,0.0967741935483871,2119.6666666666665,0.19862288135593223,0.2648305084745763,50.0,12.0
ADWIN,52.0,4.0,47.0,0.07142857142857142,0.0784313725490196,0.06,0.07476635514018691,793.3333333333334,1.1475988700564972,1.2358757062146895,50.0,56.0
CUSUM,57.0,28.0,23.0,0.32941176470588235,0.5490196078431373,0.54,0.411764705882353,368.3333333333333,1.2579449152542372,1.875882768361582,50.0,85.0
DDM,1145.0,297.0,10.0,0.2059639389736477,0.9674267100977199,0.8,0.339622641509434,-1107.8,25.269244350282488,31.82379943502825,50.0,1442.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,1315.0,390.0,0.0,0.2287390029325513,1.0,1.0,0.37231503579952263,-2233.28,29.02100988700565,37.62800141242938,50.0,1705.0
HDDMAverage,16.0,7.0,44.0,0.30434782608695654,0.13725490196078433,0.12,0.18918918918918923,975.8333333333334,0.3531073446327684,0.5075918079096045,50.0,23.0
HDDMWeighted,548.0,180.0,0.0,0.24725274725274726,1.0,1.0,0.39647577092511016,-1848.62,12.093926553672317,16.066384180790962,50.0,728.0
PageHinkley,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,50.0,1.0
RDDM,838.0,257.0,0.0,0.23470319634703196,1.0,1.0,0.38017751479289935,-2018.0,18.493997175141242,24.165783898305087,50.0,1095.0
SEED,13.0,3.0,47.0,0.1875,0.06,0.06,0.09090909090909091,1497.6666666666667,0.2868997175141243,0.3531073446327684,50.0,16.0
STEPD,21.0,11.0,39.0,0.34375,0.22,0.22,0.2682926829268293,1516.090909090909,0.4634533898305085,0.7062146892655368,50.0,32.0
STUDD,75.0,10.0,44.0,0.11764705882352941,0.18518518518518517,0.12,0.14388489208633093,477.5,1.6551906779661016,1.875882768361582,50.0,85.0
