,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,4.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0882768361581921,0.0882768361581921,50.0,4.0
ABCDx,3.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.06620762711864407,0.06620762711864407,50.0,3.0
ADWIN,12.0,5.0,48.0,0.29411764705882354,0.09433962264150944,0.04,0.14285714285714288,964.5,0.2648305084745763,0.3751765536723164,50.0,17.0
CUSUM,36.0,18.0,33.0,0.3333333333333333,0.35294117647058826,0.34,0.34285714285714286,548.2941176470588,0.7944915254237289,1.1917372881355932,50.0,54.0
DDM,16.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.3531073446327684,0.3531073446327684,50.0,16.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,18.0,2.0,48.0,0.1,0.04,0.04,0.05714285714285714,2209.0,0.39724576271186446,0.4413841807909604,50.0,20.0
HDDMWeighted,57.0,22.0,30.0,0.27848101265822783,0.4230769230769231,0.4,0.33587786259541985,-172.35,1.2579449152542372,1.7434675141242937,50.0,79.0
PageHinkley,24.0,1.0,49.0,0.04,0.02,0.02,0.02666666666666667,1701.0,0.5296610169491526,0.5517302259887006,50.0,25.0
RDDM,69.0,16.0,36.0,0.18823529411764706,0.3076923076923077,0.28,0.23357664233576642,486.2857142857143,1.5227754237288136,1.875882768361582,50.0,85.0
SEED,28.0,5.0,46.0,0.15151515151515152,0.09803921568627451,0.08,0.11904761904761904,215.75,0.6179378531073447,0.7282838983050848,50.0,33.0
STEPD,186.0,48.0,19.0,0.20512820512820512,0.7164179104477612,0.62,0.3189368770764119,-978.8387096774194,4.1048728813559325,5.164194915254237,50.0,234.0
STUDD,82.0,27.0,41.0,0.24770642201834864,0.39705882352941174,0.18,0.30508474576271183,694.1111111111111,1.809675141242938,2.4055437853107344,50.0,109.0
