,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,22.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.4855225988700565,0.4855225988700565,50.0,22.0
ABCDx,22.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.4855225988700565,0.4855225988700565,50.0,22.0
ADWIN,79.0,18.0,42.0,0.18556701030927836,0.3,0.16,0.22929936305732485,1893.875,1.7434675141242937,2.140713276836158,50.0,97.0
CUSUM,14.0,24.0,27.0,0.631578947368421,0.47058823529411764,0.46,0.5393258426966293,257.0,0.30896892655367236,0.8386299435028248,50.0,38.0
DDM,12.0,3.0,47.0,0.2,0.06,0.06,0.09230769230769231,41.0,0.2648305084745763,0.3310381355932203,50.0,15.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,17.0,2.0,48.0,0.10526315789473684,0.04,0.04,0.057971014492753624,2291.0,0.3751765536723164,0.4193149717514124,50.0,19.0
HDDMWeighted,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,50.0,1.0
PageHinkley,17.0,10.0,40.0,0.37037037037037035,0.2,0.2,0.2597402597402597,1707.6,0.3751765536723164,0.5958686440677966,50.0,27.0
RDDM,44.0,29.0,29.0,0.3972602739726027,0.5,0.42,0.4427480916030534,-259.4761904761905,0.971045197740113,1.6110522598870056,50.0,73.0
SEED,23.0,32.0,21.0,0.5818181818181818,0.6037735849056604,0.58,0.5925925925925926,1158.0344827586207,0.5075918079096045,1.2138064971751414,50.0,55.0
STEPD,222.0,74.0,16.0,0.25,0.8222222222222222,0.68,0.38341968911917096,-1058.4117647058824,4.899364406779661,6.5324858757062145,50.0,296.0
STUDD,96.0,28.0,33.0,0.22580645161290322,0.45901639344262296,0.34,0.3027027027027027,915.7058823529412,2.1186440677966103,2.7365819209039546,50.0,124.0
