,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,14.0,33.0,17.0,0.7021276595744681,0.66,0.66,0.6804123711340208,917.060606060606,0.30896892655367236,1.0372528248587571,50.0,47.0
ABCDx,14.0,33.0,17.0,0.7021276595744681,0.66,0.66,0.6804123711340208,917.060606060606,0.30896892655367236,1.0372528248587571,50.0,47.0
ADWIN,18.0,109.0,24.0,0.8582677165354331,0.8195488721804511,0.52,0.8384615384615385,999.6923076923077,0.39724576271186446,2.802789548022599,50.0,127.0
CUSUM,16.0,33.0,19.0,0.673469387755102,0.6346153846153846,0.62,0.6534653465346534,386.3225806451613,0.3531073446327684,1.0813912429378532,50.0,49.0
DDM,13.0,12.0,39.0,0.48,0.23529411764705882,0.22,0.3157894736842105,1163.6363636363637,0.2868997175141243,0.5517302259887006,50.0,25.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,5.0,25.0,25.0,0.8333333333333334,0.5,0.5,0.625,894.2,0.1103460451977401,0.6620762711864406,50.0,30.0
HDDMWeighted,59.0,32.0,21.0,0.3516483516483517,0.6037735849056604,0.58,0.4444444444444445,-46.724137931034484,1.3020833333333333,2.0082980225988702,50.0,91.0
PageHinkley,6.0,25.0,25.0,0.8064516129032258,0.5,0.5,0.6172839506172839,1201.8,0.13241525423728814,0.6841454802259886,50.0,31.0
RDDM,56.0,36.0,25.0,0.391304347826087,0.5901639344262295,0.5,0.47058823529411764,316.52,1.2358757062146895,2.030367231638418,50.0,92.0
SEED,21.0,51.0,2.0,0.7083333333333334,0.9622641509433962,0.96,0.816,284.8958333333333,0.4634533898305085,1.5889830508474578,50.0,72.0
STEPD,231.0,81.0,10.0,0.25961538461538464,0.8901098901098901,0.8,0.40198511166253104,-804.85,5.097987288135593,6.885593220338983,50.0,312.0
STUDD,81.0,13.0,43.0,0.13829787234042554,0.23214285714285715,0.14,0.17333333333333337,-430.2857142857143,1.78760593220339,2.0745056497175143,50.0,94.0
