,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,17.0,11.0,39.0,0.39285714285714285,0.22,0.22,0.28205128205128205,214.8181818181818,0.16991334419446083,0.27985727279087663,50.0,28.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,2.0,4.0,46.0,0.6666666666666666,0.08,0.08,0.14285714285714285,-224.5,0.019989805199348332,0.059969415598045,50.0,6.0
DDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMWeighted,10.0,18.0,33.0,0.6428571428571429,0.35294117647058826,0.34,0.4556962025316456,-55.76470588235294,0.09994902599674167,0.27985727279087663,50.0,28.0
PageHinkley,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.009994902599674166,0.009994902599674166,50.0,1.0
RDDM,0.0,3.0,47.0,1.0,0.06,0.06,0.11320754716981131,249.0,0.0,0.0299847077990225,50.0,3.0
SEED,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
STEPD,13.0,7.0,43.0,0.35,0.14,0.14,0.2,-26.0,0.12993373379576417,0.19989805199348334,50.0,20.0
STUDD,1.0,1.0,49.0,0.5,0.02,0.02,0.038461538461538464,300.0,0.009994902599674166,0.019989805199348332,50.0,2.0
