,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,17.0,13.0,17.0,0.43333333333333335,0.43333333333333335,0.32,0.43333333333333335,-2.0,0.33999320013599726,0.5999880002399952,25.0,30.0
DDM,1.0,1.0,24.0,0.5,0.04,0.04,0.07407407407407407,-386.0,0.01999960000799984,0.03999920001599968,25.0,2.0
CUSUM,1.0,1.0,24.0,0.5,0.04,0.04,0.07407407407407407,250.0,0.01999960000799984,0.03999920001599968,25.0,2.0
EWMAChart,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0
GeometricMovingAverage,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0
HDDMAverage,0.0,1.0,24.0,1.0,0.04,0.04,0.07692307692307693,108.0,0.0,0.01999960000799984,25.0,1.0
HDDMWeighted,1.0,2.0,23.0,0.6666666666666666,0.08,0.08,0.14285714285714285,-393.5,0.01999960000799984,0.059998800023999516,25.0,3.0
PageHinkley,1.0,3.0,22.0,0.75,0.12,0.12,0.20689655172413793,-101.0,0.01999960000799984,0.07999840003199936,25.0,4.0
RDDM,2.0,4.0,21.0,0.6666666666666666,0.16,0.16,0.25806451612903225,-28.75,0.03999920001599968,0.11999760004799903,25.0,6.0
SEED,1.0,1.0,24.0,0.5,0.04,0.04,0.07407407407407407,24.0,0.01999960000799984,0.03999920001599968,25.0,2.0
STEPD,3.0,7.0,20.0,0.7,0.25925925925925924,0.2,0.37837837837837834,-54.0,0.059998800023999516,0.1999960000799984,25.0,10.0
STUDD,3.0,7.0,19.0,0.7,0.2692307692307692,0.24,0.3888888888888889,-102.66666666666667,0.059998800023999516,0.1999960000799984,25.0,10.0
