,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,2.0,2.0,48.0,0.5,0.04,0.04,0.07407407407407407,-174.0,0.01709387099255562,0.03418774198511124,50.0,4.0
DDM,0.0,1.0,49.0,1.0,0.02,0.02,0.0392156862745098,-84.0,0.0,0.00854693549627781,50.0,1.0
CUSUM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMWeighted,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,1.0,1.0,49.0,0.5,0.02,0.02,0.038461538461538464,-55.0,0.00854693549627781,0.01709387099255562,50.0,2.0
SEED,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.00854693549627781,0.00854693549627781,50.0,1.0
STEPD,23.0,27.0,30.0,0.54,0.47368421052631576,0.4,0.5046728971962616,-93.65,0.19657951641438964,0.42734677481389044,50.0,50.0
