,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,3.0,13.0,7.0,0.8125,0.65,0.65,0.7222222222222223,631.0769230769231,0.06620762711864407,0.3531073446327684,20.0,16.0
ADWIN,1.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,20.0,1.0
CUSUM,3.0,7.0,13.0,0.7,0.35,0.35,0.4666666666666667,-768.1428571428571,0.06620762711864407,0.2206920903954802,20.0,10.0
DDM,1.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,20.0,1.0
EWMAChart,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
GeometricMovingAverage,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
HDDMAverage,0.0,1.0,19.0,1.0,0.05,0.05,0.09523809523809523,2427.0,0.0,0.022069209039548024,20.0,1.0
HDDMWeighted,31.0,9.0,12.0,0.225,0.42857142857142855,0.4,0.2950819672131147,-1310.125,0.6841454802259886,0.8827683615819208,20.0,40.0
PageHinkley,3.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.06620762711864407,0.06620762711864407,20.0,3.0
RDDM,9.0,4.0,16.0,0.3076923076923077,0.2,0.2,0.24242424242424246,-18.75,0.19862288135593223,0.2868997175141243,20.0,13.0
SEED,4.0,22.0,3.0,0.8461538461538461,0.88,0.85,0.8627450980392156,59.470588235294116,0.0882768361581921,0.5737994350282486,20.0,26.0
STEPD,79.0,36.0,0.0,0.3130434782608696,1.0,1.0,0.4768211920529802,-764.1,1.7434675141242937,2.5379590395480225,20.0,115.0
STUDD,45.0,103.0,0.0,0.6959459459459459,1.0,1.0,0.8207171314741035,320.5,0.993114406779661,3.2662429378531073,20.0,148.0
