,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,16.0,8.0,42.0,0.3333333333333333,0.16,0.16,0.21621621621621623,149.0,0.15991844159478666,0.23987766239218,50.0,24.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
DDM,0.0,1.0,49.0,1.0,0.02,0.02,0.0392156862745098,-385.0,0.0,0.009994902599674166,50.0,1.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMWeighted,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
PageHinkley,0.0,1.0,49.0,1.0,0.02,0.02,0.0392156862745098,-433.0,0.0,0.009994902599674166,50.0,1.0
RDDM,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.009994902599674166,0.009994902599674166,50.0,1.0
SEED,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
STEPD,19.0,22.0,31.0,0.5365853658536586,0.41509433962264153,0.38,0.46808510638297873,-28.157894736842106,0.18990314939380915,0.4097910065866408,50.0,41.0
STUDD,1.0,2.0,48.0,0.6666666666666666,0.04,0.04,0.07547169811320754,-100.0,0.009994902599674166,0.0299847077990225,50.0,3.0
