,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,44.0,85.0,1.0,0.6589147286821705,0.9883720930232558,0.98,0.7906976744186046,-137.24489795918367,0.4397757143856633,1.2893424353579674,50.0,129.0
ADWIN,233.0,176.0,6.0,0.43031784841075793,0.967032967032967,0.88,0.5956006768189509,-358.54545454545456,2.3288123057240804,4.087915163266733,50.0,409.0
CUSUM,30.0,19.0,31.0,0.3877551020408163,0.38,0.38,0.3838383838383838,-197.26315789473685,0.299847077990225,0.4897502273840342,50.0,49.0
DDM,78.0,44.0,12.0,0.36065573770491804,0.7857142857142857,0.76,0.49438202247191004,-216.6578947368421,0.7796024027745849,1.2193781171602482,50.0,122.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,49.0,49.0,1.0,0.5,0.98,0.98,0.6621621621621622,283.46938775510205,0.4897502273840342,0.9795004547680684,50.0,98.0
HDDMAverage,64.0,61.0,10.0,0.488,0.8591549295774648,0.8,0.6224489795918366,-84.325,0.6396737663791466,1.2493628249592708,50.0,125.0
HDDMWeighted,106.0,105.0,1.0,0.4976303317535545,0.9905660377358491,0.98,0.6624605678233438,145.73469387755102,1.0594596755654617,2.108924448531249,50.0,211.0
PageHinkley,20.0,21.0,30.0,0.5121951219512195,0.4117647058823529,0.4,0.4565217391304348,-198.5,0.19989805199348334,0.4097910065866408,50.0,41.0
RDDM,298.0,136.0,15.0,0.31336405529953915,0.9006622516556292,0.7,0.46495726495726486,-364.34285714285716,2.9784809747029017,4.337787728258588,50.0,434.0
SEED,77.0,113.0,0.0,0.5947368421052631,1.0,1.0,0.7458745874587459,-209.0,0.7696075001749108,1.8990314939380917,50.0,190.0
STEPD,67.0,76.0,0.0,0.5314685314685315,1.0,1.0,0.6940639269406392,-145.1,0.6696584741781691,1.4292710717534056,50.0,143.0
STUDD,79.0,46.0,30.0,0.368,0.6052631578947368,0.4,0.4577114427860696,211.2,0.7895973053742591,1.2493628249592708,50.0,125.0
