,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,0.0,58.0,1.0,1.0,0.9830508474576272,0.9666666666666667,0.9914529914529915,14.586206896551724,0.0,0.19331335761971263,30.0,58.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,1.0,115.0,1.0,0.9913793103448276,0.9913793103448276,0.9666666666666667,0.9913793103448276,299.86206896551727,0.0033329889244778036,0.38662671523942527,30.0,116.0,
CUSUM,27.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0899907009609007,0.0899907009609007,30.0,27.0,
DDM,23.0,6.0,24.0,0.20689655172413793,0.2,0.2,0.20338983050847456,987.5,0.07665874526298949,0.09665667880985632,30.0,29.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,1.0,5.0,25.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.2777777777777778,201.4,0.0033329889244778036,0.01999793354686682,30.0,6.0,
HDDMAverage,1.0,45.0,1.0,0.9782608695652174,0.9782608695652174,0.9666666666666667,0.9782608695652174,179.68965517241378,0.0033329889244778036,0.15331749052597898,30.0,46.0,
HDDMWeighted,0.0,38.0,1.0,1.0,0.9743589743589743,0.9666666666666667,0.9870129870129869,168.3793103448276,0.0,0.12665357913015654,30.0,38.0,
PageHinkley,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
RDDM,1.0,28.0,2.0,0.9655172413793104,0.9333333333333333,0.9333333333333333,0.9491525423728815,823.4642857142857,0.0033329889244778036,0.09665667880985632,30.0,29.0,
SEED,2.0,83.0,1.0,0.9764705882352941,0.9880952380952381,0.9666666666666667,0.9822485207100591,50.0,0.006665977848955607,0.28330405858061336,30.0,85.0,
STEPD,290.0,85.0,0.0,0.22666666666666666,1.0,1.0,0.3695652173913044,-631.4666666666667,0.9665667880985631,1.2498708466791766,30.0,375.0,
STUDD,13.0,96.0,1.0,0.8807339449541285,0.9896907216494846,0.9666666666666667,0.9320388349514565,511.0,0.04332885601821145,0.36329579276808066,30.0,109.0,
