detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",17,1,29,0.05555555555555555,0.03333333333333333,0.03333333333333333,0.04166666666666667,989.0,0.05666081171612267,0.05999380064060047,30,18
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",19,14,17,0.42424242424242425,0.45161290322580644,0.43333333333333335,0.4375,513.4615384615385,0.06332678956507827,0.10998863450776752,30,33
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",47,36,2,0.43373493975903615,0.9473684210526315,0.9333333333333333,0.5950413223140496,-96.53571428571429,0.1566504794504568,0.27663808073165774,30,83
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",17,1,29,0.05555555555555555,0.03333333333333333,0.03333333333333333,0.04166666666666667,989.0,0.05666081171612267,0.05999380064060047,30,18
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",19,14,17,0.42424242424242425,0.45161290322580644,0.43333333333333335,0.4375,513.4615384615385,0.06332678956507827,0.10998863450776752,30,33
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",47,36,2,0.43373493975903615,0.9473684210526315,0.9333333333333333,0.5950413223140496,-96.53571428571429,0.1566504794504568,0.27663808073165774,30,83
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",17,1,29,0.05555555555555555,0.03333333333333333,0.03333333333333333,0.04166666666666667,989.0,0.05666081171612267,0.05999380064060047,30,18
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",19,14,17,0.42424242424242425,0.45161290322580644,0.43333333333333335,0.4375,513.4615384615385,0.06332678956507827,0.10998863450776752,30,33
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",47,36,2,0.43373493975903615,0.9473684210526315,0.9333333333333333,0.5950413223140496,-96.53571428571429,0.1566504794504568,0.27663808073165774,30,83
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",18,2,28,0.1,0.06666666666666667,0.06666666666666667,0.08,-707.5,0.05999380064060047,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",18,16,16,0.47058823529411764,0.5,0.4666666666666667,0.48484848484848486,380.2142857142857,0.05999380064060047,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",50,39,1,0.43820224719101125,0.975,0.9666666666666667,0.6046511627906976,-153.24137931034483,0.1666494462238902,0.29663601427852454,30,89
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",18,2,28,0.1,0.06666666666666667,0.06666666666666667,0.08,-707.5,0.05999380064060047,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",18,16,16,0.47058823529411764,0.5,0.4666666666666667,0.48484848484848486,380.2142857142857,0.05999380064060047,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",50,39,1,0.43820224719101125,0.975,0.9666666666666667,0.6046511627906976,-153.24137931034483,0.1666494462238902,0.29663601427852454,30,89
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",18,2,28,0.1,0.06666666666666667,0.06666666666666667,0.08,-707.5,0.05999380064060047,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",18,16,16,0.47058823529411764,0.5,0.4666666666666667,0.48484848484848486,380.2142857142857,0.05999380064060047,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",50,39,1,0.43820224719101125,0.975,0.9666666666666667,0.6046511627906976,-153.24137931034483,0.1666494462238902,0.29663601427852454,30,89
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",19,1,29,0.05,0.03333333333333333,0.03333333333333333,0.04,970.0,0.06332678956507827,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",17,17,14,0.5,0.5483870967741935,0.5333333333333333,0.5230769230769231,485.4375,0.05666081171612267,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",58,35,3,0.3763440860215054,0.9210526315789473,0.9,0.5343511450381679,-93.88888888888889,0.19331335761971263,0.3099679699764358,30,93
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",19,1,29,0.05,0.03333333333333333,0.03333333333333333,0.04,970.0,0.06332678956507827,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",17,17,14,0.5,0.5483870967741935,0.5333333333333333,0.5230769230769231,485.4375,0.05666081171612267,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",58,35,3,0.3763440860215054,0.9210526315789473,0.9,0.5343511450381679,-93.88888888888889,0.19331335761971263,0.3099679699764358,30,93
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",19,1,29,0.05,0.03333333333333333,0.03333333333333333,0.04,970.0,0.06332678956507827,0.06665977848955608,30,20
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",17,17,14,0.5,0.5483870967741935,0.5333333333333333,0.5230769230769231,485.4375,0.05666081171612267,0.11332162343224533,30,34
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",58,35,3,0.3763440860215054,0.9210526315789473,0.9,0.5343511450381679,-93.88888888888889,0.19331335761971263,0.3099679699764358,30,93
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.01}",19,2,28,0.09523809523809523,0.06666666666666667,0.06666666666666667,0.0784313725490196,907.0,0.06332678956507827,0.06999276741403387,30,21
