detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.001},332,1,49,0.003003003003003003,0.02,0.02,0.005221932114882507,2292.0,7.326977401129944,7.349046610169492,50,333
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.001},432,8,43,0.01818181818181818,0.1568627450980392,0.14,0.032586558044806514,1899.0,4.32,4.4,50,440
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.001},203,1,49,0.004901960784313725,0.02,0.02,0.007874015748031496,122.0,2.0300000000000002,2.04,50,204
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.001},579,50,36,0.0794912559618442,0.5813953488372093,0.28,0.13986013986013984,659.3571428571429,7.0395136778115495,7.64741641337386,50,629
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.001},116,21,41,0.15328467153284672,0.3387096774193548,0.18,0.21105527638190957,749.1111111111111,8.339324227174695,9.8490294751977,50,137
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.001},232,21,43,0.08300395256916997,0.328125,0.14,0.13249211356466878,1161.2857142857142,12.776033922572829,13.932485269012611,50,253
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.001},62,0,50,0.0,0.0,0.0,0.0,,7.240453112227023,7.240453112227023,50,62
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.002},356,3,49,0.008356545961002786,0.057692307692307696,0.02,0.014598540145985403,2247.0,7.856638418079097,7.9228460451977405,50,359
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.002},470,13,42,0.026915113871635612,0.23636363636363636,0.16,0.048327137546468404,1518.0,4.7,4.83,50,483
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.002},196,2,48,0.010101010101010102,0.04,0.04,0.016129032258064516,1178.5,1.96,1.98,50,198
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.002},568,51,34,0.08239095315024232,0.6,0.32,0.14488636363636362,753.1875,6.905775075987842,7.525835866261398,50,619
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.002},120,28,41,0.1891891891891892,0.4057971014492754,0.18,0.25806451612903225,599.3333333333334,8.626887131560029,10.639827462257369,50,148
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.002},251,24,42,0.08727272727272728,0.36363636363636365,0.16,0.1407624633431085,1144.625,13.822347045542156,15.144005727187622,50,275
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.002},58,0,50,0.0,0.0,0.0,0.0,,6.77332710498657,6.77332710498657,50,58
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.005},362,4,49,0.01092896174863388,0.07547169811320754,0.02,0.01909307875894988,2157.0,7.989053672316384,8.077330508474576,50,366
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.005},495,11,41,0.021739130434782608,0.21153846153846154,0.18,0.03942652329749104,1773.888888888889,4.95,5.0600000000000005,50,506
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.005},204,2,48,0.009708737864077669,0.04,0.04,0.015624999999999998,1035.0,2.04,2.06,50,206
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.005},589,48,33,0.07535321821036106,0.5925925925925926,0.34,0.13370473537604455,657.0588235294117,7.161094224924012,7.74468085106383,50,637
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.005},115,29,40,0.2013888888888889,0.42028985507246375,0.2,0.27230046948356806,609.7,8.26743350107836,10.352264557872035,50,144
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.005},255,31,41,0.10839160839160839,0.4305555555555556,0.18,0.17318435754189945,1120.111111111111,14.042623492483067,15.749765956275123,50,286
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.005},60,0,50,0.0,0.0,0.0,0.0,,7.006890108606797,7.006890108606797,50,60
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.01},377,3,49,0.007894736842105263,0.057692307692307696,0.02,0.01388888888888889,2114.0,8.320091807909604,8.38629943502825,50,380
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.01},526,13,42,0.02411873840445269,0.23636363636363636,0.16,0.04377104377104377,1344.375,5.26,5.39,50,539
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.01},222,2,48,0.008928571428571428,0.04,0.04,0.014598540145985401,933.5,2.22,2.2399999999999998,50,224
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.01},600,55,33,0.08396946564885496,0.625,0.34,0.1480484522207268,739.5882352941177,7.29483282674772,7.96352583586626,50,655
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.01},122,40,36,0.24691358024691357,0.5263157894736842,0.28,0.33613445378151263,618.5714285714286,8.770668583752697,11.646297627606039,50,162
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.01},234,38,37,0.13970588235294118,0.5066666666666667,0.26,0.21902017291066278,1163.923076923077,12.886172146043284,14.978798391981938,50,272
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.01},68,0,50,0.0,0.0,0.0,0.0,,7.941142123087703,7.941142123087703,50,68
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.0005},342,2,48,0.005813953488372093,0.04,0.04,0.01015228426395939,2312.0,7.547669491525424,7.59180790960452,50,344
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.0005},432,11,43,0.024830699774266364,0.2037037037037037,0.14,0.04426559356136821,1797.7142857142858,4.32,4.43,50,443
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.0005},185,1,49,0.005376344086021506,0.02,0.02,0.008474576271186442,656.0,1.85,1.86,50,186
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.0005},550,53,34,0.087893864013267,0.6091954022988506,0.32,0.15362318840579708,681.0625,6.686930091185411,7.331306990881458,50,603
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.0005},116,19,44,0.14074074074074075,0.30158730158730157,0.12,0.19191919191919193,706.1666666666666,8.339324227174695,9.705248023005032,50,135
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.0005},245,22,43,0.08239700374531835,0.3384615384615385,0.14,0.13253012048192772,1184.142857142857,13.491932375130789,14.703452833305798,50,267
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.0005},56,0,50,0.0,0.0,0.0,0.0,,6.539764101366344,6.539764101366344,50,56
ADWIN,Electricity,HoeffdingTree,GRADUAL,{'delta': 0.0001},316,0,50,0.0,0.0,0.0,0.0,,6.973870056497175,6.973870056497175,50,316
ADWIN,Covtype,HoeffdingTree,GRADUAL,{'delta': 0.0001},390,9,43,0.022556390977443608,0.17307692307692307,0.14,0.03991130820399113,1291.5714285714287,3.9,3.9899999999999998,50,399
ADWIN,Posture,HoeffdingTree,GRADUAL,{'delta': 0.0001},186,2,48,0.010638297872340425,0.04,0.04,0.01680672268907563,1088.0,1.86,1.88,50,188
ADWIN,Rialto,HoeffdingTree,GRADUAL,{'delta': 0.0001},520,57,32,0.09878682842287695,0.6404494382022472,0.36,0.17117117117117117,707.1666666666666,6.322188449848024,7.015197568389058,50,577
ADWIN,GasSensorArray,HoeffdingTree,GRADUAL,{'delta': 0.0001},104,23,42,0.18110236220472442,0.35384615384615387,0.16,0.23958333333333337,745.25,7.4766355140186915,9.130122214234364,50,127
ADWIN,NOAA,HoeffdingTree,GRADUAL,{'delta': 0.0001},229,15,45,0.06147540983606557,0.25,0.1,0.09868421052631578,1228.4,12.610826587367146,13.43686326339556,50,244
ADWIN,Asfault,HoeffdingTree,GRADUAL,{'delta': 0.0001},58,0,50,0.0,0.0,0.0,0.0,,6.77332710498657,6.77332710498657,50,58
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",10,0,50,0.0,0.0,0.0,0.0,,0.2206920903954802,0.2206920903954802,50,10
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",31,2,48,0.06060606060606061,0.04,0.04,0.048192771084337345,1209.5,0.31,0.33,50,33
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",5,0,50,0.0,0.0,0.0,0.0,,0.05,0.05,50,5
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",36,2,48,0.05263157894736842,0.04,0.04,0.04545454545454545,828.5,0.43768996960486317,0.46200607902735563,50,38
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",5,0,50,0.0,0.0,0.0,0.0,,0.2753455586761385,0.2753455586761385,50,5
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.002}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",54,1,49,0.01818181818181818,0.02,0.02,0.01904761904761905,1903.0,1.1917372881355932,1.2138064971751414,50,55
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",130,3,47,0.022556390977443608,0.06,0.06,0.03278688524590164,1481.0,1.3,1.33,50,133
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",79,1,49,0.0125,0.02,0.02,0.015384615384615384,1282.0,0.79,0.8,50,80
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",122,9,41,0.06870229007633588,0.18,0.18,0.09944751381215469,508.1111111111111,1.4832826747720365,1.5927051671732522,50,131
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",21,5,45,0.19230769230769232,0.1,0.1,0.13157894736842105,723.0,1.509705248023005,1.8691588785046729,50,26
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",23,6,44,0.20689655172413793,0.12,0.12,0.1518987341772152,1230.0,1.2665895699102374,1.5970042403216036,50,29
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",3,0,50,0.0,0.0,0.0,0.0,,0.35034450543033985,0.35034450543033985,50,3
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",76,6,44,0.07317073170731707,0.12,0.12,0.0909090909090909,1667.5,1.6772598870056497,1.809675141242938,50,82
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",188,5,45,0.025906735751295335,0.1,0.1,0.0411522633744856,1630.8,1.88,1.9300000000000002,50,193
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",135,5,45,0.03571428571428571,0.1,0.1,0.05263157894736841,1203.0,1.35,1.4,50,140
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",170,8,42,0.0449438202247191,0.16,0.16,0.07017543859649122,954.0,2.066869300911854,2.164133738601824,50,178
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",33,10,40,0.23255813953488372,0.2,0.2,0.2150537634408602,478.5,2.3723939611790077,3.0913012221423433,50,43
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",40,9,41,0.1836734693877551,0.18,0.18,0.1818181818181818,870.5555555555555,2.202764469409108,2.6983864750261577,50,49
