detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",13,13,40,0.5,0.24528301886792453,0.2,0.32911392405063294,550.0,0.2868997175141243,0.5737994350282486,50,26
ABCDx,Covtype,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",19,12,38,0.3870967741935484,0.24,0.24,0.2962962962962963,806.5,0.19,0.31,50,31
ABCDx,Posture,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",1,14,43,0.9333333333333333,0.24561403508771928,0.14,0.38888888888888884,588.7142857142857,0.01,0.15,50,15
ABCDx,Rialto,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",1,17,33,0.9444444444444444,0.34,0.34,0.5,1598.8823529411766,0.0121580547112462,0.21884498480243159,50,18
ABCDx,NOAA,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",9,24,39,0.7272727272727273,0.38095238095238093,0.22,0.5,365.54545454545456,0.4956220056170494,1.8172806872625145,50,33
ABCDx,Asfault,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",0,11,39,1.0,0.22,0.22,0.36065573770491804,351.09090909090907,0.0,1.2845965199112461,50,11
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",4,18,41,0.8181818181818182,0.3050847457627119,0.18,0.4444444444444445,484.1111111111111,0.0882768361581921,0.4855225988700565,50,22
ABCDx,Covtype,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",20,12,38,0.375,0.24,0.24,0.2926829268292683,820.1666666666666,0.2,0.32,50,32
ABCDx,Posture,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",3,16,41,0.8421052631578947,0.2807017543859649,0.18,0.42105263157894735,817.5555555555555,0.030000000000000002,0.19,50,19
ABCDx,Rialto,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",5,17,33,0.7727272727272727,0.34,0.34,0.47222222222222227,1606.2941176470588,0.060790273556231005,0.26747720364741645,50,22
ABCDx,GasSensorArray,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",9,6,44,0.4,0.12,0.12,0.18461538461538463,1352.6666666666667,0.6470165348670022,1.0783608914450036,50,15
ABCDx,NOAA,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",6,22,39,0.7857142857142857,0.36065573770491804,0.22,0.49438202247191004,401.54545454545456,0.33041467041136624,1.5419351285863758,50,28
ABCDx,Asfault,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.5, 'delta_warn': 0.1, 'delta_drift': 0.0001}",0,11,39,1.0,0.22,0.22,0.36065573770491804,353.6363636363636,0.0,1.2845965199112461,50,11
