detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCDx,Electricity,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",7,12,38,0.631578947368421,0.24,0.24,0.34782608695652173,59.583333333333336,0.15448446327683618,0.4193149717514124,50,19
ABCDx,Covtype,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",4,20,30,0.8333333333333334,0.4,0.4,0.5405405405405406,111.9,0.04,0.24000000000000002,50,24
ABCDx,Posture,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",6,9,41,0.6,0.18,0.18,0.2769230769230769,185.0,0.060000000000000005,0.15,50,15
ABCDx,Rialto,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",1,17,33,0.9444444444444444,0.34,0.34,0.5,386.7647058823529,0.0121580547112462,0.21884498480243159,50,18
ABCDx,GasSensorArray,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",6,18,32,0.75,0.36,0.36,0.48648648648648657,677.5,0.43134435657800146,1.7253774263120059,50,24
ABCDx,NOAA,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",3,11,39,0.7857142857142857,0.22,0.22,0.34374999999999994,39.72727272727273,0.16520733520568312,0.7709675642931879,50,14
ABCDx,Asfault,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.001}",0,12,38,1.0,0.24,0.24,0.3870967741935484,90.75,0.0,1.4013780217213594,50,12
ABCDx,Electricity,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",3,10,40,0.7692307692307693,0.2,0.2,0.31746031746031744,52.9,0.06620762711864407,0.2868997175141243,50,13
ABCDx,Covtype,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",3,20,30,0.8695652173913043,0.4,0.4,0.547945205479452,83.7,0.030000000000000002,0.23,50,23
ABCDx,Rialto,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",5,10,40,0.6666666666666666,0.2,0.2,0.30769230769230765,275.7,0.060790273556231005,0.182370820668693,50,15
ABCDx,NOAA,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",2,11,39,0.8461538461538461,0.22,0.22,0.3492063492063492,34.45454545454545,0.11013822347045542,0.7158984525579603,50,13
ABCDx,Asfault,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",0,12,38,1.0,0.24,0.24,0.3870967741935484,64.58333333333333,0.0,1.4013780217213594,50,12
ABCDx,Electricity,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",4,0,50,0.0,0.0,0.0,0.0,,0.0882768361581921,0.0882768361581921,50,4
ABCDx,Covtype,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",6,20,30,0.7692307692307693,0.4,0.4,0.5263157894736842,258.9,0.060000000000000005,0.25999999999999995,50,26
ABCDx,Posture,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",15,1,49,0.0625,0.02,0.02,0.030303030303030304,1087.0,0.15,0.16,50,16
ABCDx,Rialto,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",13,6,44,0.3157894736842105,0.12,0.12,0.17391304347826086,1679.0,0.1580547112462006,0.23100303951367782,50,19
ABCDx,GasSensorArray,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",12,0,50,0.0,0.0,0.0,0.0,,0.8626887131560029,0.8626887131560029,50,12
ABCDx,NOAA,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",2,1,49,0.3333333333333333,0.02,0.02,0.03773584905660377,1101.0,0.11013822347045542,0.16520733520568312,50,3
