detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",4,24,38,0.8571428571428571,0.3870967741935484,0.24,0.5333333333333333,356.1666666666667,0.0882768361581921,0.6179378531073447,50,28
ABCDx,Covtype,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",7,18,41,0.72,0.3050847457627119,0.18,0.42857142857142855,638.7777777777778,0.06999999999999999,0.25,50,25
ABCDx,Rialto,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",1,10,40,0.9090909090909091,0.2,0.2,0.32786885245901637,1233.5,0.0121580547112462,0.13373860182370823,50,11
ABCDx,NOAA,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",5,37,36,0.8809523809523809,0.5068493150684932,0.28,0.6434782608695652,330.85714285714283,0.2753455586761385,2.312902692879564,50,42
ABCDx,Asfault,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",0,11,39,1.0,0.22,0.22,0.36065573770491804,266.09090909090907,0.0,1.2845965199112461,50,11
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",8,0,50,0.0,0.0,0.0,0.0,,0.1765536723163842,0.1765536723163842,50,8
ABCDx,Covtype,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",11,9,41,0.45,0.18,0.18,0.2571428571428572,1092.5555555555557,0.11,0.2,50,20
ABCDx,Posture,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",9,0,50,0.0,0.0,0.0,0.0,,0.09000000000000001,0.09000000000000001,50,9
ABCDx,Rialto,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",21,1,49,0.045454545454545456,0.02,0.02,0.027777777777777776,2492.0,0.2553191489361702,0.26747720364741645,50,22
ABCDx,GasSensorArray,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",10,0,50,0.0,0.0,0.0,0.0,,0.7189072609633358,0.7189072609633358,50,10
ABCDx,NOAA,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",1,0,50,0.0,0.0,0.0,0.0,,0.05506911173522771,0.05506911173522771,50,1
ABCDx,Asfault,HoeffdingTree,GRADUAL,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",0,11,39,1.0,0.22,0.22,0.36065573770491804,408.1818181818182,0.0,1.2845965199112461,50,11
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",3,3,47,0.5,0.06,0.06,0.10714285714285712,2241.6666666666665,0.06620762711864407,0.13241525423728814,50,6
ABCDx,Covtype,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",11,9,41,0.45,0.18,0.18,0.2571428571428572,1148.0,0.11,0.2,50,20
ABCDx,Posture,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",9,0,50,0.0,0.0,0.0,0.0,,0.09000000000000001,0.09000000000000001,50,9
ABCDx,Rialto,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",18,1,49,0.05263157894736842,0.02,0.02,0.028985507246376812,2470.0,0.21884498480243159,0.23100303951367782,50,19
ABCDx,GasSensorArray,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",13,0,50,0.0,0.0,0.0,0.0,,0.9345794392523364,0.9345794392523364,50,13
ABCDx,NOAA,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",3,0,50,0.0,0.0,0.0,0.0,,0.16520733520568312,0.16520733520568312,50,3
ABCDx,Asfault,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.01}",12,9,41,0.42857142857142855,0.18,0.18,0.2535211267605634,410.6666666666667,1.4013780217213594,2.4524115380123788,50,21
ABCDx,Electricity,HoeffdingTree,GRADUAL,"{'num_splits': 20, 'model_id': 'kpca', 'encoding_factor': 0.3, 'delta_warn': 0.01, 'delta_drift': 0.002}",6,15,42,0.7142857142857143,0.2631578947368421,0.16,0.3846153846153846,495.5,0.13241525423728814,0.4634533898305085,50,21
