,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,16.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.8685040289618124,1.8685040289618124,50.0,16.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,85.0,9.0,43.0,0.09574468085106383,0.17307692307692307,0.14,0.1232876712328767,410.14285714285717,9.92642765385963,10.977461170150647,50.0,94.0
CUSUM,28.0,2.0,48.0,0.06666666666666667,0.04,0.04,0.05,309.5,3.269882050683172,3.5034450543033984,50.0,30.0
DDM,28.0,7.0,43.0,0.2,0.14,0.14,0.1647058823529412,342.0,3.269882050683172,4.0873525633539645,50.0,35.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,763.0,40.0,10.0,0.049813200498132,0.8,0.8,0.09378663540445487,235.2,89.10428588111644,93.77554595352096,50.0,803.0
HDDMAverage,14.0,11.0,39.0,0.44,0.22,0.22,0.29333333333333333,306.0,1.634941025341586,2.919537545252832,50.0,25.0
HDDMWeighted,22.0,17.0,33.0,0.4358974358974359,0.34,0.34,0.38202247191011235,265.5882352941176,2.5691930398224923,4.5544785705944175,50.0,39.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,29.0,18.0,32.0,0.3829787234042553,0.36,0.36,0.37113402061855666,279.8888888888889,3.386663552493285,5.488730585075324,50.0,47.0
SEED,17.0,7.0,43.0,0.2916666666666667,0.14,0.14,0.1891891891891892,350.2857142857143,1.9852855307719257,2.802756043442719,50.0,24.0
STEPD,24.0,9.0,41.0,0.2727272727272727,0.18,0.18,0.21686746987951808,444.3333333333333,2.802756043442719,3.8537895597337384,50.0,33.0
STUDD,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
