,preds,true,detector_name
0,"[5285, 5771, 8323]","(4907, 4907)",ABCD
1,"[6968, 7575]","(6546, 6546)",ABCD
2,"[5545, 5923]","(5159, 5159)",ABCD
3,"[6071, 6553, 8402]","(5671, 5671)",ABCD
4,"[7201, 8209]","(6725, 6725)",ABCD
5,"[6461, 7050]","(6051, 6051)",ABCD
6,"[6265, 7025]","(5850, 5850)",ABCD
7,"[6056, 6602]","(5663, 5663)",ABCD
8,"[5005, 5467]","(4579, 4579)",ABCD
9,"[6512, 7717]","(6078, 6078)",ABCD
10,"[6926, 7621]","(6535, 6535)",ABCD
11,"[5269, 5898]","(4871, 4871)",ABCD
12,"[6476, 6865]","(6069, 6069)",ABCD
13,"[4743, 5480]","(4323, 4323)",ABCD
14,"[6777, 7291]","(6330, 6330)",ABCD
15,"[6733, 7265]","(6278, 6278)",ABCD
16,"[5964, 6374]","(5555, 5555)",ABCD
17,"[6767, 7330]","(6339, 6339)",ABCD
18,"[6751, 7606]","(6322, 6322)",ABCD
19,[5269],"(4849, 4849)",ABCD
20,"[6111, 6701]","(5713, 5713)",ABCD
21,"[6374, 6966]","(5922, 5922)",ABCD
22,"[4734, 5192]","(4386, 4386)",ABCD
23,"[5643, 6279]","(5228, 5228)",ABCD
24,"[6299, 6738]","(5897, 5897)",ABCD
25,"[6734, 6988]","(6316, 6316)",ABCD
26,"[5809, 6944]","(5417, 5417)",ABCD
27,"[4933, 5436]","(4487, 4487)",ABCD
28,"[5721, 6556]","(5339, 5339)",ABCD
29,"[5430, 5744]","(5089, 5089)",ABCD
30,"[5793, 6311]","(5300, 5300)",ABCD
31,"[4958, 6099]","(4579, 4579)",ABCD
32,"[7204, 7636, 8438]","(6826, 6826)",ABCD
33,"[6543, 6985]","(6130, 6130)",ABCD
34,[5382],"(4974, 4974)",ABCD
35,"[6110, 6863]","(5729, 5729)",ABCD
36,"[5786, 7309]","(5267, 5267)",ABCD
37,"[7163, 7671]","(6818, 6818)",ABCD
38,"[4688, 6878]","(4288, 4288)",ABCD
39,"[6602, 7545]","(6151, 6151)",ABCD
40,[5652],"(5225, 5225)",ABCD
41,"[5245, 5701]","(4858, 4858)",ABCD
42,"[5112, 5698]","(4684, 4684)",ABCD
43,"[6659, 7534]","(6240, 6240)",ABCD
44,"[7131, 7742]","(6700, 6700)",ABCD
45,"[6601, 7576, 8439]","(6220, 6220)",ABCD
46,"[6530, 7378]","(6054, 6054)",ABCD
47,"[6262, 7155]","(5873, 5873)",ABCD
48,"[7026, 7243]","(6603, 6603)",ABCD
49,"[7251, 7964]","(6822, 6822)",ABCD
50,[5319],"(4907, 4907)",ABCDx
51,[6966],"(6546, 6546)",ABCDx
52,[5527],"(5159, 5159)",ABCDx
53,[6009],"(5671, 5671)",ABCDx
54,[7117],"(6725, 6725)",ABCDx
55,[6404],"(6051, 6051)",ABCDx
56,[6247],"(5850, 5850)",ABCDx
57,[6058],"(5663, 5663)",ABCDx
58,[5044],"(4579, 4579)",ABCDx
59,[6434],"(6078, 6078)",ABCDx
60,[6838],"(6535, 6535)",ABCDx
61,[5278],"(4871, 4871)",ABCDx
62,[6470],"(6069, 6069)",ABCDx
63,[4699],"(4323, 4323)",ABCDx
64,[6783],"(6330, 6330)",ABCDx
65,[6656],"(6278, 6278)",ABCDx
66,[5943],"(5555, 5555)",ABCDx
67,[6776],"(6339, 6339)",ABCDx
68,[6717],"(6322, 6322)",ABCDx
69,[5250],"(4849, 4849)",ABCDx
70,[6079],"(5713, 5713)",ABCDx
71,[6405],"(5922, 5922)",ABCDx
