,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,61.0,50.0,0.0,0.45045045045045046,1.0,1.0,0.6211180124223602,357.3,7.12367161041691,12.962746700922574,50.0,111.0
ABCDx,0.0,50.0,0.0,1.0,1.0,1.0,1.0,354.1,0.0,5.839075090505664,50.0,50.0
ADWIN,209.0,0.0,50.0,0.0,0.0,0.0,0.0,,24.407333878313676,24.407333878313676,50.0,209.0
CUSUM,11.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.2845965199112461,1.2845965199112461,50.0,11.0
DDM,623.0,4.0,48.0,0.006379585326953748,0.07692307692307693,0.04,0.011782032400589101,17.5,72.75487562770057,73.22200163494102,50.0,627.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,2956.0,244.0,0.0,0.07625,1.0,1.0,0.14169570267131243,56.48,345.20611935069485,373.7008057923625,50.0,3200.0
HDDMAverage,81.0,1.0,49.0,0.012195121951219513,0.02,0.02,0.015151515151515152,499.0,9.459301646619174,9.576083148429289,50.0,82.0
HDDMWeighted,273.0,7.0,44.0,0.025,0.13725490196078433,0.12,0.04229607250755287,292.5,31.881349994160924,32.698820506831716,50.0,280.0
PageHinkley,4.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.4671260072404531,0.4671260072404531,50.0,4.0
RDDM,3799.0,207.0,14.0,0.051672491263105344,0.9366515837104072,0.72,0.0979418026969482,33.55555555555556,443.6529253766203,467.82669625131376,50.0,4006.0
SEED,101.0,78.0,0.0,0.43575418994413406,1.0,1.0,0.6070038910505837,202.3,11.794931682821442,20.903888824010277,50.0,179.0
STEPD,61.0,50.0,0.0,0.45045045045045046,1.0,1.0,0.6211180124223602,236.34,7.12367161041691,12.962746700922574,50.0,111.0
STUDD,109.0,6.0,47.0,0.05217391304347826,0.11320754716981132,0.06,0.07142857142857142,399.3333333333333,12.729183697302348,13.429872708163026,50.0,115.0
