,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,8.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.9342520144809062,0.9342520144809062,50.0,8.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.23356300362022656,0.23356300362022656,50.0,2.0
CUSUM,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.23356300362022656,0.23356300362022656,50.0,2.0
DDM,450.0,39.0,27.0,0.07975460122699386,0.5909090909090909,0.46,0.14054054054054052,153.34782608695653,52.551675814550975,57.106154385145395,50.0,489.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,2782.0,236.0,0.0,0.0781974817760106,1.0,1.0,0.1450522433927474,51.58,324.88613803573514,352.4465724629219,50.0,3018.0
HDDMAverage,5.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.5839075090505664,0.5839075090505664,50.0,5.0
HDDMWeighted,118.0,8.0,42.0,0.06349206349206349,0.16,0.16,0.09090909090909091,253.75,13.780217213593366,14.714469228074273,50.0,126.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,3255.0,258.0,2.0,0.07344150298889837,0.9923076923076923,0.96,0.13676119798568778,62.229166666666664,380.12378839191877,410.25341585892795,50.0,3513.0
SEED,17.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.9852855307719257,1.9852855307719257,50.0,17.0
STEPD,15.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.7517225271516992,1.7517225271516992,50.0,15.0
STUDD,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.23356300362022656,0.23356300362022656,50.0,2.0
