,preds,true,detector_name
0,[],"(4907, 4907)",ABCD
1,[7947],"(5913, 5913)",ABCD
2,[],"(6194, 6194)",ABCD
3,[7949],"(6549, 6549)",ABCD
4,[],"(6780, 6780)",ABCD
5,[],"(4410, 4410)",ABCD
6,[],"(6381, 6381)",ABCD
7,[],"(5825, 5825)",ABCD
8,[],"(5737, 5737)",ABCD
9,[6191],"(5934, 5934)",ABCD
10,[],"(6669, 6669)",ABCD
11,[],"(6154, 6154)",ABCD
12,[4917],"(4721, 4721)",ABCD
13,[],"(6695, 6695)",ABCD
14,[],"(5787, 5787)",ABCD
15,[],"(6567, 6567)",ABCD
16,[7166],"(5073, 5073)",ABCD
17,[],"(5204, 5204)",ABCD
18,[],"(5900, 5900)",ABCD
19,[5214],"(4986, 4986)",ABCD
20,[],"(5722, 5722)",ABCD
21,[],"(5727, 5727)",ABCD
22,[],"(6228, 6228)",ABCD
23,[],"(5095, 5095)",ABCD
24,[],"(4979, 4979)",ABCD
25,[],"(5232, 5232)",ABCD
26,[6050],"(5084, 5084)",ABCD
27,[],"(6435, 6435)",ABCD
28,[],"(5771, 5771)",ABCD
29,[],"(5479, 5479)",ABCD
30,[],"(4978, 4978)",ABCD
31,[],"(5060, 5060)",ABCD
32,[],"(5732, 5732)",ABCD
33,[],"(5975, 5975)",ABCD
34,[],"(6751, 6751)",ABCD
35,[7555],"(6528, 6528)",ABCD
36,[],"(4444, 4444)",ABCD
37,[],"(5301, 5301)",ABCD
38,[],"(5225, 5225)",ABCD
39,[],"(6418, 6418)",ABCD
40,[],"(6052, 6052)",ABCD
41,[],"(6818, 6818)",ABCD
42,[],"(5420, 5420)",ABCD
43,[],"(4869, 4869)",ABCD
44,[5794],"(5598, 5598)",ABCD
45,[],"(4506, 4506)",ABCD
46,[7224],"(6461, 6461)",ABCD
47,[6605],"(6362, 6362)",ABCD
48,[],"(6513, 6513)",ABCD
49,[],"(6381, 6381)",ABCD
50,[],"(4907, 4907)",ABCDx
51,[],"(5913, 5913)",ABCDx
52,[],"(6194, 6194)",ABCDx
53,[],"(6549, 6549)",ABCDx
54,[],"(6780, 6780)",ABCDx
55,[],"(4410, 4410)",ABCDx
56,[],"(6381, 6381)",ABCDx
57,[],"(5825, 5825)",ABCDx
58,[],"(5737, 5737)",ABCDx
59,[],"(5934, 5934)",ABCDx
60,[],"(6669, 6669)",ABCDx
61,[],"(6154, 6154)",ABCDx
62,[],"(4721, 4721)",ABCDx
63,[],"(6695, 6695)",ABCDx
64,[],"(5787, 5787)",ABCDx
65,[],"(6567, 6567)",ABCDx
66,[],"(5073, 5073)",ABCDx
67,[],"(5204, 5204)",ABCDx
68,[],"(5900, 5900)",ABCDx
69,[],"(4986, 4986)",ABCDx
70,[],"(5722, 5722)",ABCDx
71,[],"(5727, 5727)",ABCDx
72,[],"(6228, 6228)",ABCDx
73,[],"(5095, 5095)",ABCDx
74,[],"(4979, 4979)",ABCDx
75,[],"(5232, 5232)",ABCDx
76,[],"(5084, 5084)",ABCDx
77,[],"(6435, 6435)",ABCDx
78,[],"(5771, 5771)",ABCDx
79,[],"(5479, 5479)",ABCDx
80,[],"(4978, 4978)",ABCDx
81,[],"(5060, 5060)",ABCDx
82,[],"(5732, 5732)",ABCDx
83,[],"(5975, 5975)",ABCDx
84,[],"(6751, 6751)",ABCDx
85,[],"(6528, 6528)",ABCDx
86,[],"(4444, 4444)",ABCDx
87,[],"(5301, 5301)",ABCDx
88,[],"(5225, 5225)",ABCDx
89,[],"(6418, 6418)",ABCDx
90,[],"(6052, 6052)",ABCDx
91,[],"(6818, 6818)",ABCDx
92,[],"(5420, 5420)",ABCDx
93,[],"(4869, 4869)",ABCDx
94,[],"(5598, 5598)",ABCDx
95,[],"(4506, 4506)",ABCDx
96,[],"(6461, 6461)",ABCDx
97,[],"(6362, 6362)",ABCDx
98,[],"(6513, 6513)",ABCDx
99,[],"(6381, 6381)",ABCDx
100,[],"(4907, 4907)",ADWIN
101,[],"(5913, 5913)",ADWIN
102,[],"(6194, 6194)",ADWIN
103,[],"(6549, 6549)",ADWIN
104,[],"(6780, 6780)",ADWIN
105,[],"(4410, 4410)",ADWIN
