,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,14.0,5.0,45.0,0.2631578947368421,0.1,0.1,0.14492753623188404,463.0,1.634941025341586,2.2188485343921522,50.0,19.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,4.0,2.0,48.0,0.3333333333333333,0.04,0.04,0.07142857142857142,48.5,0.4671260072404531,0.7006890108606797,50.0,6.0
DDM,0.0,1.0,49.0,1.0,0.02,0.02,0.0392156862745098,32.0,0.0,0.11678150181011328,50.0,1.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.11678150181011328,0.11678150181011328,50.0,1.0
HDDMWeighted,42.0,2.0,48.0,0.045454545454545456,0.04,0.04,0.0425531914893617,440.0,4.9048230760247575,5.1383860796449845,50.0,44.0
PageHinkley,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.11678150181011328,0.11678150181011328,50.0,1.0
RDDM,27.0,2.0,48.0,0.06896551724137931,0.04,0.04,0.05063291139240506,186.0,3.1531005488730584,3.386663552493285,50.0,29.0
SEED,15.0,17.0,36.0,0.53125,0.32075471698113206,0.28,0.4,302.2142857142857,1.7517225271516992,3.737008057923625,50.0,32.0
STEPD,99.0,25.0,28.0,0.20161290322580644,0.4716981132075472,0.44,0.2824858757062147,263.04545454545456,11.561368679201214,14.480906224454046,50.0,124.0
STUDD,3.0,1.0,49.0,0.25,0.02,0.02,0.037037037037037035,129.0,0.35034450543033985,0.4671260072404531,50.0,4.0
