,preds,true,detector_name
0,[],"(4907, 4907)",ABCD
1,[],"(6546, 6546)",ABCD
2,[6171],"(5159, 5159)",ABCD
3,[6520],"(5671, 5671)",ABCD
4,[],"(6725, 6725)",ABCD
5,[],"(6051, 6051)",ABCD
6,[],"(5850, 5850)",ABCD
7,[],"(5663, 5663)",ABCD
8,[],"(4579, 4579)",ABCD
9,[6505],"(6078, 6078)",ABCD
10,[6975],"(6535, 6535)",ABCD
11,[6126],"(4871, 4871)",ABCD
12,[],"(6069, 6069)",ABCD
13,[],"(4323, 4323)",ABCD
14,[],"(6330, 6330)",ABCD
15,[6740],"(6278, 6278)",ABCD
16,[6447],"(5555, 5555)",ABCD
17,[],"(6339, 6339)",ABCD
18,[6755],"(6322, 6322)",ABCD
19,[],"(4849, 4849)",ABCD
20,[],"(5713, 5713)",ABCD
21,[],"(5922, 5922)",ABCD
22,[4754],"(4386, 4386)",ABCD
23,[],"(5228, 5228)",ABCD
24,[],"(5897, 5897)",ABCD
25,[7308],"(6316, 6316)",ABCD
26,"[5831, 8502]","(5417, 5417)",ABCD
27,[],"(4487, 4487)",ABCD
28,[],"(5339, 5339)",ABCD
29,[],"(5089, 5089)",ABCD
30,[],"(5300, 5300)",ABCD
31,[4908],"(4579, 4579)",ABCD
32,[7578],"(6826, 6826)",ABCD
33,[],"(6130, 6130)",ABCD
34,[5426],"(4974, 4974)",ABCD
35,[6948],"(5729, 5729)",ABCD
36,[],"(5267, 5267)",ABCD
37,[],"(6818, 6818)",ABCD
38,[],"(4288, 4288)",ABCD
39,[],"(6151, 6151)",ABCD
40,[6669],"(5225, 5225)",ABCD
41,[],"(4858, 4858)",ABCD
42,[],"(4684, 4684)",ABCD
43,[7723],"(6240, 6240)",ABCD
44,[],"(6700, 6700)",ABCD
45,[7078],"(6220, 6220)",ABCD
46,[],"(6054, 6054)",ABCD
47,[6299],"(5873, 5873)",ABCD
48,[],"(6603, 6603)",ABCD
49,[],"(6822, 6822)",ABCD
50,[],"(4907, 4907)",ABCDx
51,[],"(6546, 6546)",ABCDx
52,[],"(5159, 5159)",ABCDx
53,[],"(5671, 5671)",ABCDx
54,[],"(6725, 6725)",ABCDx
55,[],"(6051, 6051)",ABCDx
56,[],"(5850, 5850)",ABCDx
57,[],"(5663, 5663)",ABCDx
58,[],"(4579, 4579)",ABCDx
59,[],"(6078, 6078)",ABCDx
60,[],"(6535, 6535)",ABCDx
61,[],"(4871, 4871)",ABCDx
62,[],"(6069, 6069)",ABCDx
63,[],"(4323, 4323)",ABCDx
64,[],"(6330, 6330)",ABCDx
65,[],"(6278, 6278)",ABCDx
66,[],"(5555, 5555)",ABCDx
67,[],"(6339, 6339)",ABCDx
68,[],"(6322, 6322)",ABCDx
69,[],"(4849, 4849)",ABCDx
70,[],"(5713, 5713)",ABCDx
71,[],"(5922, 5922)",ABCDx
72,[],"(4386, 4386)",ABCDx
73,[],"(5228, 5228)",ABCDx
74,[],"(5897, 5897)",ABCDx
75,[],"(6316, 6316)",ABCDx
76,[],"(5417, 5417)",ABCDx
77,[],"(4487, 4487)",ABCDx
78,[],"(5339, 5339)",ABCDx
79,[],"(5089, 5089)",ABCDx
80,[],"(5300, 5300)",ABCDx
81,[],"(4579, 4579)",ABCDx
82,[],"(6826, 6826)",ABCDx
83,[],"(6130, 6130)",ABCDx
84,[],"(4974, 4974)",ABCDx
85,[],"(5729, 5729)",ABCDx
86,[],"(5267, 5267)",ABCDx
87,[],"(6818, 6818)",ABCDx
88,[],"(4288, 4288)",ABCDx
89,[],"(6151, 6151)",ABCDx
90,[],"(5225, 5225)",ABCDx
91,[],"(4858, 4858)",ABCDx
92,[],"(4684, 4684)",ABCDx
93,[],"(6240, 6240)",ABCDx
94,[],"(6700, 6700)",ABCDx
95,[],"(6220, 6220)",ABCDx
96,[],"(6054, 6054)",ABCDx
97,[],"(5873, 5873)",ABCDx
98,[],"(6603, 6603)",ABCDx
99,[],"(6822, 6822)",ABCDx
100,[],"(4907, 4907)",ADWIN
101,[],"(6546, 6546)",ADWIN
102,[],"(5159, 5159)",ADWIN
103,[],"(5671, 5671)",ADWIN
104,[],"(6725, 6725)",ADWIN
