,preds,true,detector_name
0,"[40213, 65026, 75787, 84620]","(58795, 58795)",ABCD
1,"[35486, 50693, 58645, 79825]","(68485, 68485)",ABCD
2,"[32922, 40725, 76980]","(71901, 71901)",ABCD
3,"[41942, 88027]","(51744, 51744)",ABCD
4,"[37221, 49189, 58502, 63526, 84343, 90252]","(75829, 75829)",ABCD
5,"[36070, 45203, 91393]","(73129, 73129)",ABCD
6,[70384],"(77685, 77685)",ABCD
7,"[57669, 59950, 75984, 91202]","(65382, 65382)",ABCD
8,[59743],"(58569, 58569)",ABCD
9,"[46519, 74003]","(76096, 76096)",ABCD
10,"[35561, 47806, 59930]","(64078, 64078)",ABCD
11,"[55009, 96386]","(56716, 56716)",ABCD
12,"[87291, 92105, 99068]","(69199, 69199)",ABCD
13,[],"(64556, 64556)",ABCD
14,[64971],"(52410, 52410)",ABCD
15,"[34814, 47618, 76943]","(68845, 68845)",ABCD
16,"[71827, 86836]","(60565, 60565)",ABCD
17,"[31711, 64546, 73035, 75860]","(73729, 73729)",ABCD
18,[72448],"(72638, 72638)",ABCD
19,"[36640, 47201, 59189]","(65492, 65492)",ABCD
20,"[31414, 56976]","(50268, 50268)",ABCD
21,"[29611, 36272, 52613, 84234]","(56738, 56738)",ABCD
22,[64944],"(53838, 53838)",ABCD
23,"[36854, 41582]","(63006, 63006)",ABCD
24,"[54879, 65580, 98989]","(51464, 51464)",ABCD
25,"[43911, 54369, 59169, 64381, 71887]","(75120, 75120)",ABCD
26,"[53735, 65781]","(76040, 76040)",ABCD
27,"[27176, 33298, 48817, 66448]","(57745, 57745)",ABCD
28,"[28830, 42216, 75401, 90171, 97929]","(59148, 59148)",ABCD
29,"[26384, 40485, 76606, 79424]","(74594, 74594)",ABCD
30,[32937],"(74699, 74699)",ABCD
31,"[29301, 33241, 45701, 54928, 62050]","(55129, 55129)",ABCD
32,"[68168, 84590]","(50109, 50109)",ABCD
33,"[34255, 47488, 55039, 60254, 63665, 72206, 81202]","(77361, 77361)",ABCD
34,"[38510, 53438, 93952]","(74065, 74065)",ABCD
35,[73018],"(74344, 74344)",ABCD
36,"[37053, 56730]","(65270, 65270)",ABCD
37,"[33275, 57552]","(76326, 76326)",ABCD
38,"[43359, 60302, 81102, 87907]","(69026, 69026)",ABCD
39,"[40484, 58827, 97058]","(58659, 58659)",ABCD
40,"[32893, 39425, 51560, 54733, 58063, 80672]","(52405, 52405)",ABCD
41,"[40031, 63147, 69533, 75947]","(53256, 53256)",ABCD
42,"[27147, 76357]","(71943, 71943)",ABCD
43,"[53059, 57046]","(56991, 56991)",ABCD
44,[69954],"(53414, 53414)",ABCD
45,[34227],"(62857, 62857)",ABCD
46,"[38440, 79214]","(78208, 78208)",ABCD
47,"[30789, 39199, 60863]","(70496, 70496)",ABCD
48,"[46563, 66670, 73972, 79598]","(55924, 55924)",ABCD
49,[],"(52466, 52466)",ABCD
50,[],"(58795, 58795)",ABCDx
51,[],"(68485, 68485)",ABCDx
52,[],"(71901, 71901)",ABCDx
53,[],"(51744, 51744)",ABCDx
54,[],"(75829, 75829)",ABCDx
55,[],"(73129, 73129)",ABCDx
56,[],"(77685, 77685)",ABCDx
57,[],"(65382, 65382)",ABCDx
58,[],"(58569, 58569)",ABCDx
59,[86003],"(76096, 76096)",ABCDx
60,[],"(64078, 64078)",ABCDx
61,[],"(56716, 56716)",ABCDx
62,[73854],"(69199, 69199)",ABCDx
63,[],"(64556, 64556)",ABCDx
64,[],"(52410, 52410)",ABCDx
65,[],"(68845, 68845)",ABCDx
66,[71296],"(60565, 60565)",ABCDx
67,[],"(73729, 73729)",ABCDx
68,[78852],"(72638, 72638)",ABCDx
69,[],"(65492, 65492)",ABCDx
70,[],"(50268, 50268)",ABCDx
71,[],"(56738, 56738)",ABCDx
72,[],"(53838, 53838)",ABCDx
73,[70927],"(63006, 63006)",ABCDx
74,[],"(51464, 51464)",ABCDx
75,[],"(75120, 75120)",ABCDx
76,[],"(76040, 76040)",ABCDx
77,[],"(57745, 57745)",ABCDx
78,[],"(59148, 59148)",ABCDx
79,[],"(74594, 74594)",ABCDx
80,[],"(74699, 74699)",ABCDx
81,[],"(55129, 55129)",ABCDx
82,[59080],"(50109, 50109)",ABCDx
83,[],"(77361, 77361)",ABCDx
84,[87042],"(74065, 74065)",ABCDx
85,[],"(74344, 74344)",ABCDx
86,[],"(65270, 65270)",ABCDx
87,[],"(76326, 76326)",ABCDx
88,[80349],"(69026, 69026)",ABCDx
89,[],"(58659, 58659)",ABCDx
90,[],"(52405, 52405)",ABCDx
91,[],"(53256, 53256)",ABCDx
92,[],"(71943, 71943)",ABCDx
93,[],"(56991, 56991)",ABCDx
94,[],"(53414, 53414)",ABCDx
95,[],"(62857, 62857)",ABCDx
96,[89701],"(78208, 78208)",ABCDx
97,[],"(70496, 70496)",ABCDx
98,[],"(55924, 55924)",ABCDx
99,[],"(52466, 52466)",ABCDx
100,"[50888, 50952, 51144, 68237, 68707, 69008, 69439, 70969, 71915, 72990, 85927, 85959, 86365, 86438, 86508, 86605]","(58795, 58795)",ADWIN
101,"[27912, 35336, 58216, 58248, 58664, 58728]","(68485, 68485)",ADWIN
102,"[32456, 32904, 34056, 71978, 72074, 72428]","(71901, 71901)",ADWIN
103,"[34472, 50728]","(51744, 51744)",ADWIN
104,"[35784, 35816, 38888, 58120, 59112, 59400, 59688, 72104, 72232, 72360, 83881, 83915, 84512, 84544, 93810]","(75829, 75829)",ADWIN
105,"[43272, 43304, 43336, 43368, 77676, 77932, 78092, 82447]","(73129, 73129)",ADWIN
106,"[83655, 85325, 86277, 86324, 86496, 87967, 91735, 96761]","(77685, 77685)",ADWIN
107,"[54504, 54760, 55816, 55944, 58984]","(65382, 65382)",ADWIN
108,"[30408, 48328, 48936, 59664, 59792, 59824]","(58569, 58569)",ADWIN
109,"[45288, 45416, 45544, 45800, 45992, 46472, 69032, 70056, 83087]","(76096, 76096)",ADWIN
110,"[42632, 42728, 58504, 58568, 58696, 58824, 58920]","(64078, 64078)",ADWIN
111,"[49128, 55368, 84139, 84507, 84992, 90800, 98002]","(56716, 56716)",ADWIN
112,[],"(69199, 69199)",ADWIN
113,"[34440, 35656, 50536, 50600, 50632, 74984, 75016, 75112, 76456, 76488, 76520, 76648]","(64556, 64556)",ADWIN
114,"[51784, 55912, 57352, 57544, 57608, 68968, 69096, 69960, 98632, 98792, 98856]","(52410, 52410)",ADWIN
115,"[46696, 46760, 46856, 47208, 47656, 49960, 71047, 76195, 76292, 79557, 79657, 79726, 79759, 80026]","(68845, 68845)",ADWIN
116,"[70440, 70665, 72367, 99166, 99262]","(60565, 60565)",ADWIN
117,"[31048, 43912, 44680, 57576, 57832, 65032, 65800, 75690, 76426]","(73729, 73729)",ADWIN
118,"[67016, 68360, 68616, 68648, 68904, 69384, 70440, 76017]","(72638, 72638)",ADWIN
119,"[30152, 46312, 46344, 46376, 47592, 58504, 58600, 58632, 59496]","(65492, 65492)",ADWIN
120,"[42056, 48936, 49000, 49064, 49096, 49160, 49192, 55061, 55256, 64597, 81018, 82477]","(50268, 50268)",ADWIN
121,"[28968, 29864, 49224, 51560, 54984, 55080, 81185, 81285, 81384, 81453, 81793, 82562, 82700]","(56738, 56738)",ADWIN
122,"[49480, 51528, 65330, 86187, 86549, 88920, 89033, 91630, 93317]","(53838, 53838)",ADWIN
123,"[41384, 41512, 41608, 41640, 41960, 42088, 42120, 42248]","(63006, 63006)",ADWIN
124,"[53544, 53578, 53739, 53933, 54230, 90540, 90604, 95782, 96395, 96492, 97408, 97440, 97635]","(51464, 51464)",ADWIN
125,"[47784, 49608, 58504, 58920, 59176, 70920, 70952, 70984, 71048, 71080, 71880, 73032]","(75120, 75120)",ADWIN
126,"[38408, 38568, 51400, 64264, 64296, 65224, 65256, 65416, 65448]","(76040, 76040)",ADWIN
127,"[32072, 32104, 46376, 46792, 46824, 46920, 47400, 48776, 48968, 66449]","(57745, 57745)",ADWIN
128,"[34664, 40968, 41256, 64252, 64337, 64419, 65167, 65250, 65700, 66295, 76440]","(59148, 59148)",ADWIN
129,"[26312, 37800, 38792, 39624, 53256, 53480, 70248, 70504, 90351, 90385, 90680, 90763, 91285]","(74594, 74594)",ADWIN
130,"[31144, 71400, 71432]","(74699, 74699)",ADWIN
131,"[32616, 32712, 33064, 33448, 43560, 44552, 44776, 45768, 53800, 54408, 54952, 61913, 64380]","(55129, 55129)",ADWIN
132,"[38504, 40232, 65154, 65215, 65298, 65500, 65711, 91764, 91838]","(50109, 50109)",ADWIN
133,"[46856, 47048, 47240, 47464, 53800, 54024, 54856, 54984, 63560, 64552, 65032, 79726, 79758, 79982, 80528, 87925]","(77361, 77361)",ADWIN
134,"[51944, 52040, 52360, 52552, 52648, 53576, 62856, 99635]","(74065, 74065)",ADWIN
135,"[62344, 80418, 80455, 80524, 80598, 87595, 93186]","(74344, 74344)",ADWIN
136,"[36136, 36296, 36904, 41448, 50888, 50952, 58056, 58088, 58376, 61768]","(65270, 65270)",ADWIN
137,"[32424, 32648, 33320, 33640, 48840, 54344, 57576]","(76326, 76326)",ADWIN
138,"[42344, 49128, 52488, 66632, 67016, 67048, 78172, 78926, 79602, 89300, 89505, 89671, 89796, 89836, 91067]","(69026, 69026)",ADWIN
139,"[39720, 39848, 40008, 41000, 62664, 91304, 91368, 91464, 91816, 92488, 95528]","(58659, 58659)",ADWIN
140,"[32072, 32584, 46504, 46536, 51656, 52296, 52360, 57748, 57812, 57877, 58167, 69239, 69335, 69529, 83027, 83418]","(52405, 52405)",ADWIN
141,"[32744, 43272, 54219, 54475, 54605, 75247, 75279, 75439, 75503, 76791]","(53256, 53256)",ADWIN
142,"[26696, 26760, 58152, 59912, 60232, 78514, 78555, 78592, 78842, 80275, 89003]","(71943, 71943)",ADWIN
143,"[47368, 56520, 56552, 56584, 56648, 58953, 66797, 67950, 68206]","(56991, 56991)",ADWIN
144,"[65597, 75771, 85054, 86821]","(53414, 53414)",ADWIN
145,"[33832, 35720]","(62857, 62857)",ADWIN
146,"[36904, 75592, 76040, 77832, 78536, 79884, 80044, 85469]","(78208, 78208)",ADWIN
147,"[30536, 30888, 31080, 31144, 36392, 36424, 46216, 59528, 59624, 59976, 60392, 65064, 91748, 91877]","(70496, 70496)",ADWIN
148,"[42216, 42248, 42280, 89681, 89804, 89860, 89996]","(55924, 55924)",ADWIN
149,"[89785, 89817]","(52466, 52466)",ADWIN
150,"[50940, 73316]","(58795, 58795)",CUSUM
151,"[27801, 33768, 58550, 66242]","(68485, 68485)",CUSUM
152,"[30573, 33973, 71895, 92173]","(71901, 71901)",CUSUM
153,"[32116, 34228, 45887, 50800, 54774]","(51744, 51744)",CUSUM
154,"[34928, 58709, 71841, 87209, 99183]","(75829, 75829)",CUSUM
155,"[28835, 43310, 55026, 69009, 82493]","(73129, 73129)",CUSUM
156,"[53148, 86346]","(77685, 77685)",CUSUM
157,"[26999, 40704, 53665, 81812, 93267, 96980]","(65382, 65382)",CUSUM
158,"[27460, 47758, 59804]","(58569, 58569)",CUSUM
159,"[34948, 45180, 69653, 79846]","(76096, 76096)",CUSUM
160,"[31367, 42597, 58491]","(64078, 64078)",CUSUM
161,"[31079, 37410, 46835]","(56716, 56716)",CUSUM
162,"[33964, 37439, 44815, 69885, 76367, 87767, 99405]","(69199, 69199)",CUSUM
163,"[33592, 48712, 74990]","(64556, 64556)",CUSUM
164,"[31967, 55674, 67325, 96322]","(52410, 52410)",CUSUM
165,"[46767, 69835, 79699]","(68845, 68845)",CUSUM
166,"[33235, 42851, 63294, 73641, 98985]","(60565, 60565)",CUSUM
167,"[27862, 31283, 43403, 56718, 65687, 75864]","(73729, 73729)",CUSUM
168,"[66755, 71645]","(72638, 72638)",CUSUM
169,"[30075, 35700, 45585, 56137, 58460]","(65492, 65492)",CUSUM
170,"[41924, 48730, 83852, 97575]","(50268, 50268)",CUSUM
171,"[28309, 50838, 56602, 65910, 76409]","(56738, 56738)",CUSUM
172,"[32930, 51453, 61290]","(53838, 53838)",CUSUM
173,"[31057, 40817, 42816]","(63006, 63006)",CUSUM
174,"[30015, 39084, 49777, 53556, 93959]","(51464, 51464)",CUSUM
175,"[49393, 58440, 70956]","(75120, 75120)",CUSUM
176,"[38265, 50664, 64747]","(76040, 76040)",CUSUM
177,"[31454, 46018, 64125]","(57745, 57745)",CUSUM
178,"[34706, 39183, 41371, 71508, 96299]","(59148, 59148)",CUSUM
179,"[29188, 37600, 53415, 69967]","(74594, 74594)",CUSUM
180,"[31042, 56079, 69875]","(74699, 74699)",CUSUM
181,"[32488, 43276, 53704, 70202, 80792, 98426]","(55129, 55129)",CUSUM
182,"[36834, 64850, 87969, 93208]","(50109, 50109)",CUSUM
183,"[46005, 54014, 79931]","(77361, 77361)",CUSUM
184,"[52012, 62188, 89565]","(74065, 74065)",CUSUM
185,"[34778, 62296, 78543]","(74344, 74344)",CUSUM
186,"[32760, 36913, 49890, 58715, 84104]","(65270, 65270)",CUSUM
187,"[31643, 44275, 47395, 94161]","(76326, 76326)",CUSUM
188,"[36698, 49837, 67129, 75886, 86818, 99329]","(69026, 69026)",CUSUM
189,"[36062, 39852, 46513, 90335]","(58659, 58659)",CUSUM
190,"[31511, 49180, 51562, 57826, 68259, 81282]","(52405, 52405)",CUSUM
191,"[28333, 43345, 54178, 62904, 75195, 89152, 98256]","(53256, 53256)",CUSUM
192,"[26999, 41689, 54421, 77017, 88497]","(71943, 71943)",CUSUM
193,"[39452, 47359, 56103, 65557]","(56991, 56991)",CUSUM
194,"[46097, 68579]","(53414, 53414)",CUSUM
195,"[31781, 36950]","(62857, 62857)",CUSUM
196,"[33977, 52689, 73322, 77989]","(78208, 78208)",CUSUM
197,"[29082, 31081, 36714, 46182, 58921, 91600]","(70496, 70496)",CUSUM
198,"[35022, 42014, 73447, 78608]","(55924, 55924)",CUSUM
199,[89037],"(52466, 52466)",CUSUM
200,"[30465, 51216, 65621, 70310, 74461, 80643]","(58795, 58795)",DDM
201,"[27450, 33696, 58989, 66239]","(68485, 68485)",DDM
202,"[30225, 33447, 75194, 87643]","(71901, 71901)",DDM
203,"[31574, 49634, 68710, 85051]","(51744, 51744)",DDM
204,"[28052, 34426, 39131, 58808, 72185, 75722, 95824]","(75829, 75829)",DDM
205,"[27910, 44696, 55057, 58851, 68863, 77674, 80393]","(73129, 73129)",DDM
206,"[27893, 35543, 52826, 87695, 90321]","(77685, 77685)",DDM
207,"[28304, 33490, 40603, 53387, 85883]","(65382, 65382)",DDM
208,"[27723, 30405, 47726, 59736, 93158]","(58569, 58569)",DDM
209,"[35066, 45191, 70908, 80922]","(76096, 76096)",DDM
210,"[31035, 42706, 58741]","(64078, 64078)",DDM
211,"[30249, 37070, 45655, 97805]","(56716, 56716)",DDM
212,"[32452, 44960, 48063, 59073, 69442, 76096, 88522, 99739]","(69199, 69199)",DDM
213,"[33508, 49395, 72933, 76328]","(64556, 64556)",DDM
214,"[29624, 58520, 62384, 66919, 96331]","(52410, 52410)",DDM
215,"[47225, 49952, 60817, 69564, 79553, 84358, 91692]","(68845, 68845)",DDM
216,"[33123, 42903, 51435, 67155, 70850, 99027]","(60565, 60565)",DDM
217,"[27714, 31286, 43713, 57393, 60401, 64455, 86021]","(73729, 73729)",DDM
218,"[68874, 74707]","(72638, 72638)",DDM
219,"[30007, 35399, 45668, 56375, 59428]","(65492, 65492)",DDM
220,"[28015, 38402, 41572, 48393, 53120, 58229, 71533, 87159]","(50268, 50268)",DDM
221,"[28069, 51573, 54948, 68187, 80999]","(56738, 56738)",DDM
222,"[32348, 51454, 60378, 86519, 92926, 97388]","(53838, 53838)",DDM
223,"[30926, 41331]","(63006, 63006)",DDM
224,"[29971, 32849, 38643, 49818, 53285, 72400, 91359, 93882]","(51464, 51464)",DDM
