,preds,true,detector_name
0,[],"(86282, 86282)",ABCD
1,[87240],"(76092, 76092)",ABCD
2,[],"(77318, 77318)",ABCD
3,[],"(75791, 75791)",ABCD
4,[],"(64728, 64728)",ABCD
5,[],"(82964, 82964)",ABCD
6,[73128],"(76571, 76571)",ABCD
7,[80527],"(72658, 72658)",ABCD
8,[],"(85853, 85853)",ABCD
9,[],"(65296, 65296)",ABCD
10,[],"(64771, 64771)",ABCD
11,[],"(75291, 75291)",ABCD
12,[],"(86091, 86091)",ABCD
13,[],"(70805, 70805)",ABCD
14,[],"(76347, 76347)",ABCD
15,[72149],"(64166, 64166)",ABCD
16,[78253],"(68403, 68403)",ABCD
17,[80620],"(61881, 61881)",ABCD
18,[],"(74718, 74718)",ABCD
19,[],"(64189, 64189)",ABCD
20,[],"(65297, 65297)",ABCD
21,[],"(63872, 63872)",ABCD
22,[],"(62938, 62938)",ABCD
23,[96228],"(86364, 86364)",ABCD
24,[62193],"(60700, 60700)",ABCD
25,[],"(79738, 79738)",ABCD
26,[],"(75702, 75702)",ABCD
27,[],"(80869, 80869)",ABCD
28,[],"(83310, 83310)",ABCD
29,[],"(84753, 84753)",ABCD
30,[85634],"(74207, 74207)",ABCD
31,[],"(63112, 63112)",ABCD
32,[],"(89048, 89048)",ABCD
33,[],"(62982, 62982)",ABCD
34,[84139],"(76002, 76002)",ABCD
35,[92201],"(81914, 81914)",ABCD
36,[98747],"(74937, 74937)",ABCD
37,[],"(62178, 62178)",ABCD
38,[93000],"(82328, 82328)",ABCD
39,[],"(71522, 71522)",ABCD
40,[],"(84401, 84401)",ABCD
41,[],"(87278, 87278)",ABCD
42,[],"(86503, 86503)",ABCD
43,[62348],"(79078, 79078)",ABCD
44,[],"(79882, 79882)",ABCD
45,[],"(88947, 88947)",ABCD
46,[78841],"(67055, 67055)",ABCD
47,[],"(72750, 72750)",ABCD
48,[77541],"(69930, 69930)",ABCD
49,[86932],"(77664, 77664)",ABCD
50,[93519],"(86282, 86282)",ABCDx
51,[93813],"(76092, 76092)",ABCDx
52,[84409],"(77318, 77318)",ABCDx
53,[87599],"(75791, 75791)",ABCDx
54,[68365],"(64728, 64728)",ABCDx
55,[89746],"(82964, 82964)",ABCDx
56,[],"(76571, 76571)",ABCDx
57,[82491],"(72658, 72658)",ABCDx
58,[],"(85853, 85853)",ABCDx
59,[95823],"(65296, 65296)",ABCDx
60,[72809],"(64771, 64771)",ABCDx
61,[83092],"(75291, 75291)",ABCDx
62,[99913],"(86091, 86091)",ABCDx
63,[],"(70805, 70805)",ABCDx
