,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,56.0,2.0,48.0,0.034482758620689655,0.04,0.04,0.03703703703703704,552.5,0.5599999999999999,0.58,50.0,58.0
ABCDx,33.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.33,0.33,50.0,33.0
ADWIN,163.0,15.0,42.0,0.08426966292134831,0.2631578947368421,0.16,0.1276595744680851,1837.625,1.63,1.7799999999999998,50.0,178.0
CUSUM,178.0,14.0,36.0,0.07291666666666667,0.28,0.28,0.11570247933884298,1229.5,1.7799999999999998,1.9200000000000002,50.0,192.0
DDM,3954.0,118.0,20.0,0.028978388998035363,0.855072463768116,0.6,0.056057007125890734,864.3666666666667,39.54,40.72,50.0,4072.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,867.0,31.0,19.0,0.034521158129175944,0.62,0.62,0.06540084388185653,1269.0645161290322,8.67,8.98,50.0,898.0
HDDMAverage,181.0,5.0,45.0,0.026881720430107527,0.1,0.1,0.0423728813559322,983.8,1.81,1.86,50.0,186.0
HDDMWeighted,3230.0,108.0,1.0,0.03235470341521869,0.9908256880733946,0.98,0.06266318537859007,710.7142857142857,32.300000000000004,33.38,50.0,3338.0
PageHinkley,35.0,2.0,48.0,0.05405405405405406,0.04,0.04,0.045977011494252866,702.0,0.35,0.37,50.0,37.0
RDDM,2200.0,83.0,2.0,0.036355672360928605,0.9764705882352941,0.96,0.07010135135135136,809.7708333333334,22.0,22.83,50.0,2283.0
SEED,141.0,7.0,43.0,0.0472972972972973,0.14,0.14,0.0707070707070707,838.5714285714286,1.41,1.48,50.0,148.0
STEPD,268.0,10.0,41.0,0.03597122302158273,0.19607843137254902,0.18,0.060790273556231,1185.111111111111,2.68,2.78,50.0,278.0
STUDD,774.0,55.0,30.0,0.06634499396863691,0.6470588235294118,0.4,0.12035010940919037,1168.1,7.74,8.290000000000001,50.0,829.0
