,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,126.0,24.0,28.0,0.16,0.46153846153846156,0.44,0.2376237623762376,1589.6363636363637,1.26,1.5,50.0,150.0
ABCDx,28.0,50.0,0.0,0.6410256410256411,1.0,1.0,0.7812500000000001,1137.12,0.27999999999999997,0.78,50.0,78.0
ADWIN,508.0,15.0,42.0,0.028680688336520075,0.2631578947368421,0.16,0.05172413793103448,1949.5,5.08,5.23,50.0,523.0
CUSUM,324.0,0.0,50.0,0.0,0.0,0.0,0.0,,3.2399999999999998,3.2399999999999998,50.0,324.0
DDM,75.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.75,0.75,50.0,75.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,236.0,14.0,37.0,0.056,0.27450980392156865,0.26,0.09302325581395349,1502.7692307692307,2.3600000000000003,2.5,50.0,250.0
HDDMWeighted,1464.0,44.0,14.0,0.029177718832891247,0.7586206896551724,0.72,0.05619412515964241,1278.5,14.64,15.08,50.0,1508.0
PageHinkley,116.0,1.0,49.0,0.008547008547008548,0.02,0.02,0.011976047904191617,173.0,1.16,1.17,50.0,117.0
RDDM,364.0,2.0,48.0,0.00546448087431694,0.04,0.04,0.009615384615384616,305.5,3.64,3.66,50.0,366.0
SEED,516.0,84.0,1.0,0.14,0.9882352941176471,0.98,0.24525547445255472,860.0204081632653,5.159999999999999,6.0,50.0,600.0
STEPD,1283.0,96.0,2.0,0.06961566352429296,0.9795918367346939,0.96,0.12999322951929584,688.3333333333334,12.83,13.790000000000001,50.0,1379.0
STUDD,2322.0,98.0,21.0,0.04049586776859504,0.8235294117647058,0.58,0.07719574635683339,1225.1379310344828,23.220000000000002,24.2,50.0,2420.0
