,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,54.0,78.0,1.0,0.5909090909090909,0.9873417721518988,0.98,0.7393364928909953,1238.1632653061224,0.54,1.32,50.0,132.0
ABCDx,15.0,51.0,0.0,0.7727272727272727,1.0,1.0,0.8717948717948718,925.0,0.15,0.66,50.0,66.0
ADWIN,140.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.4,1.4,50.0,140.0
CUSUM,144.0,2.0,48.0,0.0136986301369863,0.04,0.04,0.02040816326530612,3.0,1.4400000000000002,1.46,50.0,146.0
DDM,630.0,4.0,46.0,0.006309148264984227,0.08,0.08,0.011695906432748539,25.25,6.3,6.34,50.0,634.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,22907.0,1214.0,0.0,0.050329588325525476,1.0,1.0,0.09583580027629761,55.02,229.07,241.21,50.0,24121.0
HDDMAverage,64.0,1.0,49.0,0.015384615384615385,0.02,0.02,0.017391304347826084,127.0,0.64,0.65,50.0,65.0
HDDMWeighted,3575.0,187.0,6.0,0.049707602339181284,0.9689119170984456,0.88,0.09456384323640961,376.27272727272725,35.75,37.62,50.0,3762.0
PageHinkley,27.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.27,0.27,50.0,27.0
RDDM,36885.0,1909.0,2.0,0.049208640511419294,0.998953427524856,0.96,0.0937968308561602,48.625,368.85,387.94,50.0,38794.0
SEED,222.0,162.0,0.0,0.421875,1.0,1.0,0.5934065934065934,571.94,2.22,3.8400000000000003,50.0,384.0
STEPD,238.0,98.0,0.0,0.2916666666666667,1.0,1.0,0.45161290322580644,653.06,2.3800000000000003,3.3600000000000003,50.0,336.0
STUDD,758.0,278.0,8.0,0.26833976833976836,0.972027972027972,0.84,0.4205748865355522,1321.8095238095239,7.58,10.36,50.0,1036.0
