,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,97.0,5.0,45.0,0.049019607843137254,0.1,0.1,0.06578947368421052,1745.4,0.9700000000000001,1.02,50.0,102.0
ABCDx,6.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.060000000000000005,0.060000000000000005,50.0,6.0
ADWIN,464.0,23.0,41.0,0.04722792607802875,0.359375,0.18,0.08348457350272233,992.0,4.64,4.87,50.0,487.0
CUSUM,303.0,17.0,33.0,0.053125,0.34,0.34,0.0918918918918919,1343.7058823529412,3.0300000000000002,3.2,50.0,320.0
DDM,77.0,2.0,48.0,0.02531645569620253,0.04,0.04,0.031007751937984496,1363.0,0.7699999999999999,0.79,50.0,79.0
EWMAChart,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.01,0.01,50.0,1.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,180.0,8.0,42.0,0.0425531914893617,0.16,0.16,0.06722689075630252,1060.875,1.8,1.88,50.0,188.0
HDDMWeighted,1195.0,46.0,17.0,0.037066881547139406,0.7301587301587301,0.66,0.0705521472392638,883.6969696969697,11.950000000000001,12.409999999999998,50.0,1241.0
PageHinkley,136.0,8.0,42.0,0.05555555555555555,0.16,0.16,0.08247422680412371,706.125,1.36,1.4400000000000002,50.0,144.0
RDDM,395.0,18.0,35.0,0.043583535108958835,0.33962264150943394,0.3,0.07725321888412016,1416.2666666666667,3.95,4.13,50.0,413.0
SEED,431.0,17.0,35.0,0.03794642857142857,0.3269230769230769,0.3,0.068,1015.0666666666667,4.31,4.4799999999999995,50.0,448.0
STEPD,1232.0,45.0,17.0,0.03523884103367267,0.7258064516129032,0.66,0.06721433905899925,1067.121212121212,12.319999999999999,12.77,50.0,1277.0
STUDD,1914.0,72.0,31.0,0.03625377643504532,0.6990291262135923,0.38,0.06893250359023456,1143.7894736842106,19.14,19.86,50.0,1986.0
