,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,46.0,10.0,40.0,0.17857142857142858,0.2,0.2,0.1886792452830189,1531.3,0.46,0.5599999999999999,50.0,56.0
ABCDx,12.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.12000000000000001,0.12000000000000001,50.0,12.0
ADWIN,117.0,34.0,38.0,0.2251655629139073,0.4722222222222222,0.24,0.30493273542600896,1064.5,1.17,1.51,50.0,151.0
CUSUM,206.0,15.0,36.0,0.06787330316742081,0.29411764705882354,0.28,0.11029411764705882,836.0714285714286,2.06,2.21,50.0,221.0
DDM,4962.0,257.0,15.0,0.04924315002874114,0.9448529411764706,0.7,0.09360772172646149,476.45714285714286,49.62,52.19,50.0,5219.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,1083.0,52.0,3.0,0.04581497797356828,0.9454545454545454,0.94,0.08739495798319327,1056.2340425531916,10.83,11.350000000000001,50.0,1135.0
HDDMAverage,205.0,16.0,35.0,0.07239819004524888,0.3137254901960784,0.3,0.11764705882352941,829.1333333333333,2.0500000000000003,2.21,50.0,221.0
HDDMWeighted,4153.0,208.0,0.0,0.047695482687457005,1.0,1.0,0.09104836944626833,513.56,41.529999999999994,43.61,50.0,4361.0
PageHinkley,24.0,7.0,43.0,0.22580645161290322,0.14,0.14,0.1728395061728395,1151.2857142857142,0.24000000000000002,0.31,50.0,31.0
RDDM,2787.0,135.0,3.0,0.04620123203285421,0.9782608695652174,0.94,0.08823529411764705,435.8510638297872,27.869999999999997,29.22,50.0,2922.0
SEED,131.0,17.0,33.0,0.11486486486486487,0.34,0.34,0.1717171717171717,745.2352941176471,1.31,1.48,50.0,148.0
STEPD,326.0,28.0,24.0,0.07909604519774012,0.5384615384615384,0.52,0.13793103448275862,848.6923076923077,3.26,3.54,50.0,354.0
STUDD,768.0,60.0,31.0,0.07246376811594203,0.6593406593406593,0.38,0.1305767138193689,856.421052631579,7.680000000000001,8.28,50.0,828.0
