,preds,true,detector_name
0,"[40213, 71084, 74367, 83495]","(58795, 58795)",ABCD
1,"[35486, 50693, 58645]","(68485, 68485)",ABCD
2,"[32922, 40725, 72743, 76925, 89785]","(71901, 71901)",ABCD
3,"[41942, 70666, 89113]","(51744, 51744)",ABCD
4,"[37221, 49189, 58502, 63526, 78182, 90672, 95687]","(75829, 75829)",ABCD
5,"[36070, 45203, 99303]","(73129, 73129)",ABCD
6,[70384],"(77685, 77685)",ABCD
7,"[57669, 59950]","(65382, 65382)",ABCD
8,[59738],"(58569, 58569)",ABCD
9,"[46519, 74003]","(76096, 76096)",ABCD
10,"[35561, 47806, 59930]","(64078, 64078)",ABCD
11,"[55009, 57151, 88587]","(56716, 56716)",ABCD
12,"[76923, 93656]","(69199, 69199)",ABCD
13,[83096],"(64556, 64556)",ABCD
14,[69729],"(52410, 52410)",ABCD
15,"[34814, 47618, 69688, 71608]","(68845, 68845)",ABCD
16,"[62170, 66301]","(60565, 60565)",ABCD
17,"[31711, 64546, 73035, 73813, 74410, 83572]","(73729, 73729)",ABCD
18,[72448],"(72638, 72638)",ABCD
19,"[36640, 47201, 59189]","(65492, 65492)",ABCD
20,"[31414, 55472, 84679]","(50268, 50268)",ABCD
21,"[29611, 36272, 52613, 63058, 74480]","(56738, 56738)",ABCD
22,[63259],"(53838, 53838)",ABCD
23,"[36854, 41582, 81195]","(63006, 63006)",ABCD
24,"[54853, 69446, 97378]","(51464, 51464)",ABCD
25,"[43911, 54369, 59169, 64381, 71887]","(75120, 75120)",ABCD
26,"[53735, 65781]","(76040, 76040)",ABCD
27,"[27176, 33298, 48817]","(57745, 57745)",ABCD
28,"[28830, 42216, 62422, 64488, 69127, 76562, 87804, 96189]","(59148, 59148)",ABCD
29,"[26384, 40485, 76393, 79776]","(74594, 74594)",ABCD
30,"[32937, 77329]","(74699, 74699)",ABCD
31,"[29301, 33241, 45701, 54928, 57790, 70119]","(55129, 55129)",ABCD
32,"[66428, 83533]","(50109, 50109)",ABCD
33,"[34255, 47488, 55039, 60254, 63665, 72206, 79980]","(77361, 77361)",ABCD
34,"[38510, 53438, 74363, 90002]","(74065, 74065)",ABCD
35,[73018],"(74344, 74344)",ABCD
36,"[37053, 56730, 65611, 69869, 80505]","(65270, 65270)",ABCD
37,"[33275, 57552, 77161, 80006, 85163]","(76326, 76326)",ABCD
38,"[43359, 60302, 78937, 87998]","(69026, 69026)",ABCD
39,"[40484, 58797, 63624, 93507]","(58659, 58659)",ABCD
40,"[32893, 39425, 51560, 53829, 64430]","(52405, 52405)",ABCD
41,"[40031, 53705, 58199, 68117, 73184]","(53256, 53256)",ABCD
42,"[27147, 77663]","(71943, 71943)",ABCD
43,"[53059, 57040]","(56991, 56991)",ABCD
44,[64010],"(53414, 53414)",ABCD
45,[34227],"(62857, 62857)",ABCD
46,"[38440, 80159]","(78208, 78208)",ABCD
47,"[30789, 39199, 60863, 74373, 88432]","(70496, 70496)",ABCD
48,"[46563, 60267, 75857, 79593]","(55924, 55924)",ABCD
49,[81622],"(52466, 52466)",ABCD
50,[],"(58795, 58795)",ABCDx
51,[],"(68485, 68485)",ABCDx
52,[],"(71901, 71901)",ABCDx
53,[],"(51744, 51744)",ABCDx
54,[],"(75829, 75829)",ABCDx
55,[],"(73129, 73129)",ABCDx
56,[],"(77685, 77685)",ABCDx
57,[],"(65382, 65382)",ABCDx
58,[],"(58569, 58569)",ABCDx
59,[],"(76096, 76096)",ABCDx
60,[],"(64078, 64078)",ABCDx
61,[],"(56716, 56716)",ABCDx
62,[],"(69199, 69199)",ABCDx
63,[],"(64556, 64556)",ABCDx
64,[],"(52410, 52410)",ABCDx
65,[],"(68845, 68845)",ABCDx
66,[],"(60565, 60565)",ABCDx
67,[],"(73729, 73729)",ABCDx
68,[],"(72638, 72638)",ABCDx
69,[],"(65492, 65492)",ABCDx
70,[],"(50268, 50268)",ABCDx
71,[],"(56738, 56738)",ABCDx
72,[],"(53838, 53838)",ABCDx
73,[],"(63006, 63006)",ABCDx
74,[],"(51464, 51464)",ABCDx
75,[],"(75120, 75120)",ABCDx
76,[],"(76040, 76040)",ABCDx
77,[],"(57745, 57745)",ABCDx
78,[],"(59148, 59148)",ABCDx
79,[],"(74594, 74594)",ABCDx
80,[],"(74699, 74699)",ABCDx
81,[],"(55129, 55129)",ABCDx
82,[],"(50109, 50109)",ABCDx
83,[],"(77361, 77361)",ABCDx
84,[],"(74065, 74065)",ABCDx
85,[],"(74344, 74344)",ABCDx
86,[],"(65270, 65270)",ABCDx
87,[],"(76326, 76326)",ABCDx
88,[],"(69026, 69026)",ABCDx
89,[],"(58659, 58659)",ABCDx
90,[],"(52405, 52405)",ABCDx
91,[],"(53256, 53256)",ABCDx
92,[],"(71943, 71943)",ABCDx
93,[],"(56991, 56991)",ABCDx
94,[],"(53414, 53414)",ABCDx
95,[],"(62857, 62857)",ABCDx
96,[],"(78208, 78208)",ABCDx
97,[],"(70496, 70496)",ABCDx
98,[],"(55924, 55924)",ABCDx
99,[],"(52466, 52466)",ABCDx
100,"[50888, 50952, 51144, 66504, 66536, 66568, 66952, 67016, 67432, 72872, 82984, 83080, 83144, 83816, 85128, 85224, 85928]","(58795, 58795)",ADWIN
101,"[27912, 35336, 58216, 58248, 58664, 58728]","(68485, 68485)",ADWIN
102,"[32456, 32904, 34056, 76488, 76584, 76936, 77064, 78568, 78984, 79336, 79560, 79848, 80232, 85000]","(71901, 71901)",ADWIN
103,"[34472, 50728, 65928, 68712, 68744, 87176, 87432, 91240]","(51744, 51744)",ADWIN
104,"[35784, 35816, 38888, 58120, 59112, 59400, 59688, 72104, 72232, 72360, 87176, 87432, 88392, 88584, 90568, 91368, 91624, 92840, 92904, 96680, 96744]","(75829, 75829)",ADWIN
105,"[43272, 43304, 43336, 43368, 82856, 82888, 83016, 83432, 94632, 94664, 94696, 94728, 94760]","(73129, 73129)",ADWIN
106,[98952],"(77685, 77685)",ADWIN
107,"[54504, 54760, 55816, 55944, 58984]","(65382, 65382)",ADWIN
108,"[30408, 48328, 48936, 59720, 59816, 59848, 59912]","(58569, 58569)",ADWIN
109,"[45288, 45416, 45544, 45800, 45992, 46472, 69032, 70056]","(76096, 76096)",ADWIN
110,"[42632, 42728, 58504, 58568, 58696, 58824, 58920]","(64078, 64078)",ADWIN
111,"[49128, 55368, 84008, 88296, 88424, 88616, 89096, 89160, 89288, 89512, 89768, 89800]","(56716, 56716)",ADWIN
112,"[73256, 73448, 74632, 74824, 75400, 75784, 76520, 76904, 76936, 79272, 82216]","(69199, 69199)",ADWIN
113,"[34440, 35656, 50536, 50600, 50632, 75176, 76328, 76520, 81512, 82472, 86600, 87016]","(64556, 64556)",ADWIN
114,"[51784, 55912, 57352, 57544, 57608, 69032, 69288, 72200, 98504, 98568, 99336]","(52410, 52410)",ADWIN
115,"[46696, 46760, 46856, 47208, 47656, 49960, 71432, 71464, 71496, 71656, 79752]","(68845, 68845)",ADWIN
116,"[60904, 60936, 61256, 61416, 63784, 64200, 64328, 65448, 66504, 68968]","(60565, 60565)",ADWIN
117,"[31048, 43912, 44680, 57576, 57832, 65032, 65800, 74376, 74408, 74440, 74472, 74568, 82184, 82248]","(73729, 73729)",ADWIN
118,"[67016, 68360, 68616, 68648, 68904, 69384, 70440, 76008]","(72638, 72638)",ADWIN
119,"[30152, 46312, 46344, 46376, 47592, 58504, 58600, 58632, 59496]","(65492, 65492)",ADWIN
120,"[42056, 48936, 49000, 49064, 49096, 49160, 49192, 53128, 81000]","(50268, 50268)",ADWIN
121,"[28968, 29864, 49224, 51560, 54984, 55080, 87400, 87432, 89448, 89608]","(56738, 56738)",ADWIN
122,"[49480, 51528, 60200, 60328, 60360, 66696, 86344]","(53838, 53838)",ADWIN
