,preds,true,detector_name
0,"[43513, 71903, 75917, 85379]","(58795, 58795)",ABCD
1,"[32306, 93622]","(76768, 76768)",ABCD
2,[],"(73001, 73001)",ABCD
3,"[39055, 70729, 84256]","(59392, 59392)",ABCD
4,"[31177, 45211, 67088]","(70790, 70790)",ABCD
5,[65873],"(72261, 72261)",ABCD
6,"[42095, 47513, 62824, 71012, 77591]","(68334, 68334)",ABCD
7,"[39856, 56490]","(65305, 65305)",ABCD
8,"[61287, 94085]","(51267, 51267)",ABCD
9,"[69109, 76626]","(53954, 53954)",ABCD
10,[40771],"(74712, 74712)",ABCD
11,"[55966, 63872, 99802]","(77977, 77977)",ABCD
12,[48142],"(56371, 56371)",ABCD
13,[61345],"(53984, 53984)",ABCD
14,"[36001, 43208, 66148]","(60347, 60347)",ABCD
15,"[71422, 78937, 83012]","(77365, 77365)",ABCD
16,"[39197, 49050, 78837, 91139]","(64418, 64418)",ABCD
17,"[38650, 49843, 68456, 80324, 84973]","(77735, 77735)",ABCD
18,[],"(51133, 51133)",ABCD
19,"[51718, 77164]","(66032, 66032)",ABCD
20,[70877],"(69768, 69768)",ABCD
21,[55629],"(52819, 52819)",ABCD
22,"[45673, 77567, 84244]","(73303, 73303)",ABCD
23,"[33450, 50868, 66876, 71240, 74986]","(64944, 64944)",ABCD
24,"[36871, 68841, 81832, 89860]","(52404, 52404)",ABCD
25,[],"(64477, 64477)",ABCD
26,"[42769, 61318, 76358, 80164, 87856]","(74375, 74375)",ABCD
27,"[53251, 69936, 74867, 85517]","(73119, 73119)",ABCD
28,[],"(63450, 63450)",ABCD
29,"[58152, 60081, 61792, 62456, 82180]","(58701, 58701)",ABCD
30,[93911],"(50019, 50019)",ABCD
31,"[33630, 41557, 77947]","(74991, 74991)",ABCD
32,"[61369, 78422, 98998]","(72555, 72555)",ABCD
33,"[39072, 64652, 79748, 86157]","(74380, 74380)",ABCD
34,"[59187, 88101]","(59554, 59554)",ABCD
35,"[64040, 85926]","(51894, 51894)",ABCD
36,[69431],"(78901, 78901)",ABCD
37,"[51877, 59770]","(77869, 77869)",ABCD
38,[72827],"(77371, 77371)",ABCD
39,"[59995, 78510]","(56278, 56278)",ABCD
40,[46438],"(51051, 51051)",ABCD
41,"[34255, 44683, 52701, 54755, 91793]","(51558, 51558)",ABCD
42,"[39076, 52115, 71224, 81526, 86014]","(79144, 79144)",ABCD
43,"[54350, 59886, 94516]","(53731, 53731)",ABCD
44,[87232],"(78816, 78816)",ABCD
45,"[52513, 67443, 71137, 78166]","(69645, 69645)",ABCD
46,"[45768, 62964, 69338]","(61019, 61019)",ABCD
