,preds,true,detector_name
0,[62804],"(60435, 60435)",ABCD
1,"[56208, 57678]","(66000, 66000)",ABCD
2,[],"(62740, 62740)",ABCD
3,"[54424, 56045, 62418, 74312]","(62289, 62289)",ABCD
4,[74815],"(61982, 61982)",ABCD
5,"[63403, 74795]","(74210, 74210)",ABCD
6,[90390],"(73813, 73813)",ABCD
7,[65296],"(67335, 67335)",ABCD
8,"[59403, 78472]","(77877, 77877)",ABCD
9,"[55335, 81656]","(77660, 77660)",ABCD
10,"[53842, 69798, 77120]","(76587, 76587)",ABCD
11,"[60408, 72933]","(72262, 72262)",ABCD
12,[59473],"(84946, 84946)",ABCD
13,[85683],"(85043, 85043)",ABCD
14,"[62650, 68528]","(72846, 72846)",ABCD
15,[],"(65826, 65826)",ABCD
16,"[55300, 78302]","(68947, 68947)",ABCD
17,[68905],"(68161, 68161)",ABCD
18,[],"(71418, 71418)",ABCD
19,[93559],"(83231, 83231)",ABCD
20,"[58295, 69068]","(73486, 73486)",ABCD
21,"[58359, 88986]","(88178, 88178)",ABCD
22,[59217],"(60924, 60924)",ABCD
23,"[68459, 82203, 85814, 93495]","(89194, 89194)",ABCD
24,[62600],"(84551, 84551)",ABCD
25,[71173],"(67633, 67633)",ABCD
26,[70051],"(69518, 69518)",ABCD
27,[61435],"(60866, 60866)",ABCD
28,[60945],"(60368, 60368)",ABCD
29,[71031],"(73463, 73463)",ABCD
30,[],"(60452, 60452)",ABCD
31,[67693],"(62083, 62083)",ABCD
32,"[59933, 68702, 87329, 89801]","(89539, 89539)",ABCD
33,"[59132, 65743, 71438]","(73295, 73295)",ABCD
34,[69006],"(70254, 70254)",ABCD
35,"[65080, 68858]","(68567, 68567)",ABCD
36,"[59076, 70887, 80518]","(86211, 86211)",ABCD
37,"[58483, 95304]","(78966, 78966)",ABCD
38,"[72198, 75665, 85665]","(85141, 85141)",ABCD
39,[],"(84286, 84286)",ABCD
40,[92330],"(77435, 77435)",ABCD
41,[59857],"(82962, 82962)",ABCD
42,[],"(67906, 67906)",ABCD
43,"[60661, 64983]","(63775, 63775)",ABCD
44,[62197],"(61551, 61551)",ABCD
45,[60190],"(72367, 72367)",ABCD
46,[78135],"(77059, 77059)",ABCD
47,[86457],"(88754, 88754)",ABCD
48,[83402],"(82586, 82586)",ABCD
49,"[58034, 63997]","(76308, 76308)",ABCD
50,[],"(60435, 60435)",ABCDx
51,[],"(66000, 66000)",ABCDx
52,[],"(62740, 62740)",ABCDx
53,[],"(62289, 62289)",ABCDx
54,[],"(61982, 61982)",ABCDx
55,[],"(74210, 74210)",ABCDx
56,[],"(73813, 73813)",ABCDx
57,[],"(67335, 67335)",ABCDx
58,[],"(77877, 77877)",ABCDx
59,[],"(77660, 77660)",ABCDx
60,[],"(76587, 76587)",ABCDx
61,[],"(72262, 72262)",ABCDx
62,[],"(84946, 84946)",ABCDx
63,[],"(85043, 85043)",ABCDx
64,[],"(72846, 72846)",ABCDx
65,[],"(65826, 65826)",ABCDx
66,[],"(68947, 68947)",ABCDx
67,[],"(68161, 68161)",ABCDx
68,[],"(71418, 71418)",ABCDx
69,[],"(83231, 83231)",ABCDx
70,[],"(73486, 73486)",ABCDx
71,[],"(88178, 88178)",ABCDx
72,[],"(60924, 60924)",ABCDx
73,[],"(89194, 89194)",ABCDx
74,[],"(84551, 84551)",ABCDx
75,[],"(67633, 67633)",ABCDx
76,[],"(69518, 69518)",ABCDx
77,[],"(60866, 60866)",ABCDx
78,[],"(60368, 60368)",ABCDx
79,[],"(73463, 73463)",ABCDx
80,[],"(60452, 60452)",ABCDx
81,[],"(62083, 62083)",ABCDx
82,[],"(89539, 89539)",ABCDx
83,[],"(73295, 73295)",ABCDx
84,[],"(70254, 70254)",ABCDx
85,[],"(68567, 68567)",ABCDx
86,[],"(86211, 86211)",ABCDx
87,[],"(78966, 78966)",ABCDx
88,[],"(85141, 85141)",ABCDx
89,[],"(84286, 84286)",ABCDx
90,[],"(77435, 77435)",ABCDx
91,[],"(82962, 82962)",ABCDx
92,[],"(67906, 67906)",ABCDx
93,[],"(63775, 63775)",ABCDx
94,[],"(61551, 61551)",ABCDx
95,[],"(72367, 72367)",ABCDx
96,[],"(77059, 77059)",ABCDx
97,[],"(88754, 88754)",ABCDx
98,[],"(82586, 82586)",ABCDx
99,[],"(76308, 76308)",ABCDx
100,[],"(60435, 60435)",ADWIN
101,"[57584, 57712, 57744, 58064]","(66000, 66000)",ADWIN
102,[],"(62740, 62740)",ADWIN
103,[56848],"(62289, 62289)",ADWIN
104,"[75696, 77776]","(61982, 61982)",ADWIN
105,"[62480, 64592, 65872]","(74210, 74210)",ADWIN
106,[],"(73813, 73813)",ADWIN
107,"[52624, 63888]","(67335, 67335)",ADWIN
108,"[58960, 59632]","(77877, 77877)",ADWIN
109,"[54896, 55248, 78192, 78224]","(77660, 77660)",ADWIN
110,"[53424, 69680, 69808, 70416, 71312, 75056]","(76587, 76587)",ADWIN
111,"[61104, 63728]","(72262, 72262)",ADWIN
112,"[59184, 59312, 59440, 59536, 59920, 60048, 60176, 62416]","(84946, 84946)",ADWIN
113,[],"(85043, 85043)",ADWIN
114,"[68496, 68528]","(72846, 72846)",ADWIN
115,[],"(65826, 65826)",ADWIN
116,"[55696, 60144]","(68947, 68947)",ADWIN
117,"[67696, 68048, 68144]","(68161, 68161)",ADWIN
118,[],"(71418, 71418)",ADWIN
119,"[87376, 87408, 89680]","(83231, 83231)",ADWIN
120,"[63376, 73872]","(73486, 73486)",ADWIN
121,"[58352, 58448, 59792, 60752, 86448, 87024, 87952]","(88178, 88178)",ADWIN
122,"[58320, 58800, 59088, 59184, 59248, 59920, 60560]","(60924, 60924)",ADWIN
123,"[67408, 67632, 81264, 81360, 81392, 85552, 86672]","(89194, 89194)",ADWIN
124,"[60400, 60880, 69840, 82896]","(84551, 84551)",ADWIN
125,"[68816, 68912, 70096]","(67633, 67633)",ADWIN
126,[],"(69518, 69518)",ADWIN
127,[],"(60866, 60866)",ADWIN
128,[],"(60368, 60368)",ADWIN
129,"[65488, 65520, 67120]","(73463, 73463)",ADWIN
130,[],"(60452, 60452)",ADWIN
