,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,55.0,19.0,31.0,0.25675675675675674,0.38,0.38,0.30645161290322587,714.5263157894736,0.55,0.74,50.0,74.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,126.0,7.0,46.0,0.05263157894736842,0.1320754716981132,0.08,0.07526881720430108,1130.5,1.26,1.33,50.0,133.0
CUSUM,188.0,9.0,43.0,0.04568527918781726,0.17307692307692307,0.14,0.07228915662650602,760.8571428571429,1.88,1.97,50.0,197.0
DDM,4813.0,187.0,27.0,0.0374,0.8738317757009346,0.46,0.07172995780590719,494.17391304347825,48.13,50.0,50.0,5000.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,1138.0,62.0,0.0,0.051666666666666666,1.0,1.0,0.098256735340729,1026.36,11.379999999999999,12.0,50.0,1200.0
HDDMAverage,270.0,15.0,38.0,0.05263157894736842,0.2830188679245283,0.24,0.08875739644970414,914.5,2.7,2.85,50.0,285.0
HDDMWeighted,4556.0,243.0,0.0,0.05063554907272348,1.0,1.0,0.096390321301071,391.54,45.56,47.989999999999995,50.0,4799.0
PageHinkley,29.0,2.0,48.0,0.06451612903225806,0.04,0.04,0.04938271604938271,925.0,0.29,0.31,50.0,31.0
RDDM,2876.0,119.0,12.0,0.03973288814691152,0.9083969465648855,0.76,0.07613563659628918,536.4736842105264,28.76,29.95,50.0,2995.0
SEED,144.0,25.0,26.0,0.14792899408284024,0.49019607843137253,0.48,0.22727272727272727,468.1666666666667,1.4400000000000002,1.6900000000000002,50.0,169.0
STEPD,340.0,34.0,18.0,0.09090909090909091,0.6538461538461539,0.64,0.1596244131455399,713.0625,3.4,3.7399999999999998,50.0,374.0
STUDD,845.0,80.0,24.0,0.08648648648648649,0.7692307692307693,0.52,0.1554907677356657,893.5769230769231,8.45,9.25,50.0,925.0
