,preds,true,detector_name
0,[64414],"(60435, 60435)",ABCD
1,[61420],"(72235, 72235)",ABCD
2,"[58686, 61993, 72673, 79532]","(86069, 86069)",ABCD
3,"[68223, 72965]","(71601, 71601)",ABCD
4,[84151],"(81983, 81983)",ABCD
5,"[60154, 69126, 76653]","(74054, 74054)",ABCD
6,[52907],"(75155, 75155)",ABCD
7,"[51939, 54521, 67150, 72869, 77217, 85471]","(81098, 81098)",ABCD
8,"[71193, 89610]","(87923, 87923)",ABCD
9,[63212],"(61597, 61597)",ABCD
10,[62900],"(71184, 71184)",ABCD
11,"[52131, 62391]","(60881, 60881)",ABCD
12,"[62011, 77530, 88149]","(86725, 86725)",ABCD
13,"[72796, 88807]","(82104, 82104)",ABCD
14,"[56606, 64846]","(62733, 62733)",ABCD
15,[],"(71857, 71857)",ABCD
16,[],"(72767, 72767)",ABCD
17,"[60125, 65320]","(64160, 64160)",ABCD
18,[],"(77792, 77792)",ABCD
19,[],"(69961, 69961)",ABCD
20,[],"(64160, 64160)",ABCD
21,[69994],"(79533, 79533)",ABCD
22,[80003],"(77408, 77408)",ABCD
23,"[55383, 60647, 78338]","(76413, 76413)",ABCD
24,[67759],"(70499, 70499)",ABCD
25,"[56252, 62436, 64399]","(62815, 62815)",ABCD
26,[],"(68972, 68972)",ABCD
27,[],"(72260, 72260)",ABCD
28,"[60013, 99932]","(86913, 86913)",ABCD
29,[66653],"(62665, 62665)",ABCD
30,"[56679, 72586, 87604]","(83185, 83185)",ABCD
31,"[58937, 65613]","(67625, 67625)",ABCD
32,[63655],"(70524, 70524)",ABCD
33,[73395],"(67839, 67839)",ABCD
34,"[65900, 76339, 94309]","(85282, 85282)",ABCD
35,"[78694, 83067]","(79635, 79635)",ABCD
36,[60437],"(72729, 72729)",ABCD
37,"[53956, 65654]","(65196, 65196)",ABCD
38,"[65506, 78021]","(74943, 74943)",ABCD
39,[72913],"(71233, 71233)",ABCD
40,[58788],"(60504, 60504)",ABCD
41,[77617],"(71316, 71316)",ABCD
42,[],"(88805, 88805)",ABCD
43,"[57775, 88754]","(82454, 82454)",ABCD
44,[],"(88920, 88920)",ABCD
