,preds,true,detector_name
0,[],"(24577, 24577)",ABCD
1,[],"(26157, 26157)",ABCD
2,[],"(29798, 29798)",ABCD
3,[33718],"(26117, 26117)",ABCD
4,[],"(30538, 30538)",ABCD
5,[],"(32588, 32588)",ABCD
6,[],"(23470, 23470)",ABCD
7,[],"(35285, 35285)",ABCD
8,[33801],"(28638, 28638)",ABCD
9,[],"(22910, 22910)",ABCD
10,[37556],"(25080, 25080)",ABCD
11,[],"(27882, 27882)",ABCD
12,[42523],"(30962, 30962)",ABCD
13,[],"(27792, 27792)",ABCD
14,[],"(29170, 29170)",ABCD
15,[39651],"(22911, 22911)",ABCD
16,[42560],"(26192, 26192)",ABCD
17,[36708],"(25704, 25704)",ABCD
18,[],"(25874, 25874)",ABCD
19,[38389],"(29288, 29288)",ABCD
20,[31991],"(24815, 24815)",ABCD
21,[36687],"(23097, 23097)",ABCD
22,[],"(30556, 30556)",ABCD
23,[],"(34788, 34788)",ABCD
24,[39482],"(32441, 32441)",ABCD
25,[44158],"(33769, 33769)",ABCD
26,[],"(35137, 35137)",ABCD
27,[],"(31803, 31803)",ABCD
28,[33793],"(25448, 25448)",ABCD
29,[],"(35741, 35741)",ABCD
30,[],"(23162, 23162)",ABCD
31,[44550],"(31328, 31328)",ABCD
32,[38733],"(26090, 26090)",ABCD
33,[],"(35745, 35745)",ABCD
34,[],"(29689, 29689)",ABCD
35,[38762],"(28206, 28206)",ABCD
36,[38289],"(24689, 24689)",ABCD
37,[],"(34282, 34282)",ABCD
38,[],"(35297, 35297)",ABCD
39,[],"(25801, 25801)",ABCD
40,[],"(33511, 33511)",ABCD
41,[36549],"(23519, 23519)",ABCD
42,[],"(33914, 33914)",ABCD
43,[],"(29304, 29304)",ABCD
44,[],"(24324, 24324)",ABCD
45,[34249],"(23264, 23264)",ABCD
46,[],"(32861, 32861)",ABCD
47,[40873],"(25171, 25171)",ABCD
48,[44584],"(24894, 24894)",ABCD
49,[],"(33231, 33231)",ABCD
50,[33042],"(24577, 24577)",ABCDx
51,[],"(33475, 33475)",ABCDx
52,[],"(32839, 32839)",ABCDx
53,[44869],"(24851, 24851)",ABCDx
54,[29573],"(26974, 26974)",ABCDx
55,[],"(33968, 33968)",ABCDx
56,[36909],"(33158, 33158)",ABCDx
57,[35317],"(24149, 24149)",ABCDx
58,[],"(28788, 28788)",ABCDx
59,[39998],"(36163, 36163)",ABCDx
60,[41361],"(29764, 29764)",ABCDx
61,[38013],"(31284, 31284)",ABCDx
62,[37319],"(25347, 25347)",ABCDx
63,[34287],"(30825, 30825)",ABCDx
64,[],"(32689, 32689)",ABCDx
65,[35550],"(32691, 32691)",ABCDx
66,[],"(32253, 32253)",ABCDx
67,[],"(33077, 33077)",ABCDx
68,[],"(26514, 26514)",ABCDx
69,[],"(36244, 36244)",ABCDx
70,[],"(32684, 32684)",ABCDx
71,[],"(25138, 25138)",ABCDx
72,[],"(33063, 33063)",ABCDx
73,[26808],"(23254, 23254)",ABCDx
74,[],"(33853, 33853)",ABCDx
75,[37524],"(34107, 34107)",ABCDx
76,[39026],"(35606, 35606)",ABCDx
77,[35702],"(32297, 32297)",ABCDx
78,[32482],"(27485, 27485)",ABCDx
79,[],"(24460, 24460)",ABCDx
80,[25947],"(24050, 24050)",ABCDx
81,[],"(30833, 30833)",ABCDx
82,[],"(33498, 33498)",ABCDx
83,[],"(26820, 26820)",ABCDx
84,[],"(26412, 26412)",ABCDx
85,[38048],"(28115, 28115)",ABCDx
86,[],"(29536, 29536)",ABCDx
