,preds,true,detector_name
0,[34314],"(23137, 23137)",ABCD
1,[],"(27668, 27668)",ABCD
2,[],"(35595, 35595)",ABCD
3,[41738],"(31542, 31542)",ABCD
4,[],"(34787, 34787)",ABCD
5,[],"(26253, 26253)",ABCD
6,[],"(31905, 31905)",ABCD
7,[],"(24446, 24446)",ABCD
8,[],"(23809, 23809)",ABCD
9,[38748],"(28446, 28446)",ABCD
10,[],"(31827, 31827)",ABCD
11,[],"(32491, 32491)",ABCD
12,[],"(29880, 29880)",ABCD
13,[],"(35826, 35826)",ABCD
14,[],"(23451, 23451)",ABCD
15,[],"(28763, 28763)",ABCD
16,[],"(36203, 36203)",ABCD
17,[],"(28091, 28091)",ABCD
18,[39291],"(28796, 28796)",ABCD
19,[],"(27316, 27316)",ABCD
20,[],"(31623, 31623)",ABCD
21,[],"(35658, 35658)",ABCD
22,[38066],"(31410, 31410)",ABCD
23,[41891],"(30340, 30340)",ABCD
24,[44977],"(32954, 32954)",ABCD
25,[],"(35641, 35641)",ABCD
26,[],"(33394, 33394)",ABCD
27,[],"(32999, 32999)",ABCD
28,[33483],"(29658, 29658)",ABCD
29,[],"(33358, 33358)",ABCD
30,[],"(31982, 31982)",ABCD
31,[],"(33448, 33448)",ABCD
32,[],"(22993, 22993)",ABCD
33,[39863],"(24812, 24812)",ABCD
34,[],"(25655, 25655)",ABCD
35,[],"(34837, 34837)",ABCD
36,[37654],"(25983, 25983)",ABCD
37,[37703],"(28485, 28485)",ABCD
38,[33716],"(25944, 25944)",ABCD
39,[],"(27526, 27526)",ABCD
40,[],"(23158, 23158)",ABCD
41,[40104],"(31962, 31962)",ABCD
42,[43507],"(35547, 35547)",ABCD
43,[],"(23390, 23390)",ABCD
44,[34962],"(25577, 25577)",ABCD
45,[34236],"(25099, 25099)",ABCD
46,[],"(34883, 34883)",ABCD
47,[],"(34580, 34580)",ABCD
48,[],"(24226, 24226)",ABCD
49,[],"(25084, 25084)",ABCD
50,[],"(23137, 23137)",ABCDx
51,[32979],"(27668, 27668)",ABCDx
52,[32489],"(24547, 24547)",ABCDx
53,[],"(28472, 28472)",ABCDx
54,[],"(25091, 25091)",ABCDx
55,[],"(25301, 25301)",ABCDx
56,[44574],"(33361, 33361)",ABCDx
57,[],"(24514, 24514)",ABCDx
58,[],"(34036, 34036)",ABCDx
59,[],"(31397, 31397)",ABCDx
60,[45228],"(23837, 23837)",ABCDx
61,[44093],"(29984, 29984)",ABCDx
62,[],"(31678, 31678)",ABCDx
63,[],"(35667, 35667)",ABCDx
64,[],"(30035, 30035)",ABCDx
65,[34742],"(27032, 27032)",ABCDx
66,[],"(27218, 27218)",ABCDx
67,[],"(25762, 25762)",ABCDx
68,[28322],"(22717, 22717)",ABCDx
69,[42084],"(33996, 33996)",ABCDx
70,[29905],"(23321, 23321)",ABCDx
71,[31652],"(25277, 25277)",ABCDx
72,[],"(33327, 33327)",ABCDx
73,[33951],"(24778, 24778)",ABCDx
74,[],"(35417, 35417)",ABCDx
75,[],"(34418, 34418)",ABCDx
76,[],"(29198, 29198)",ABCDx
77,[],"(26566, 26566)",ABCDx
78,[42923],"(25571, 25571)",ABCDx
79,[30903],"(25252, 25252)",ABCDx
80,[36949],"(26991, 26991)",ABCDx
81,[],"(32676, 32676)",ABCDx
82,[],"(29868, 29868)",ABCDx
83,[39376],"(33869, 33869)",ABCDx
84,[],"(23675, 23675)",ABCDx
85,[45088],"(35490, 35490)",ABCDx
86,[31553],"(25120, 25120)",ABCDx
87,[],"(24444, 24444)",ABCDx
88,[],"(23340, 23340)",ABCDx
89,[39493],"(32585, 32585)",ABCDx
90,[],"(33125, 33125)",ABCDx
91,[],"(34573, 34573)",ABCDx
92,[30032],"(23112, 23112)",ABCDx
93,[],"(33788, 33788)",ABCDx
94,[37373],"(30166, 30166)",ABCDx
95,[],"(33905, 33905)",ABCDx
96,[33746],"(26781, 26781)",ABCDx
97,[40809],"(34259, 34259)",ABCDx
98,[],"(34376, 34376)",ABCDx
99,[],"(32490, 32490)",ABCDx
100,"[28349, 28679, 31075, 31442]","(23137, 23137)",ADWIN
101,[39879],"(27668, 27668)",ADWIN
102,"[44265, 44795, 45075]","(35595, 35595)",ADWIN
103,"[40611, 40961, 42728]","(31542, 31542)",ADWIN
104,[44834],"(34787, 34787)",ADWIN
105,"[37719, 38042]","(26253, 26253)",ADWIN
106,[43551],"(31905, 31905)",ADWIN
107,"[36368, 36556, 41619]","(24446, 24446)",ADWIN
108,"[34841, 35043, 35174, 35696, 37697]","(23809, 23809)",ADWIN
109,[],"(28446, 28446)",ADWIN
110,[],"(31827, 31827)",ADWIN
111,"[35058, 35180, 35526, 35656, 35971, 36919, 37064, 37816]","(32491, 32491)",ADWIN
112,[39651],"(29880, 29880)",ADWIN
113,[],"(35826, 35826)",ADWIN
114,[],"(23451, 23451)",ADWIN
115,[],"(28763, 28763)",ADWIN
116,"[39150, 40055, 40118]","(36203, 36203)",ADWIN
117,[40520],"(28091, 28091)",ADWIN
118,"[30281, 34083, 37482, 37839, 38514]","(28796, 28796)",ADWIN
119,"[37588, 39074, 40481, 42046]","(27316, 27316)",ADWIN
120,[],"(31623, 31623)",ADWIN
121,"[40930, 42587, 42726, 42782]","(35658, 35658)",ADWIN
122,"[36129, 36385, 36573]","(31410, 31410)",ADWIN
123,[],"(30340, 30340)",ADWIN
124,[],"(32954, 32954)",ADWIN
125,"[40064, 40135, 40192]","(35641, 35641)",ADWIN
126,"[41493, 41792]","(33394, 33394)",ADWIN
127,[45186],"(32999, 32999)",ADWIN
128,"[22432, 33017, 33394, 33699, 33821, 34510, 45296]","(29658, 29658)",ADWIN
129,"[36802, 36869, 36928, 37073, 37585, 37651, 37901, 38094]","(33358, 33358)",ADWIN
130,[40474],"(31982, 31982)",ADWIN
131,"[43295, 43943, 44332]","(33448, 33448)",ADWIN
132,[],"(22993, 22993)",ADWIN
133,[],"(24812, 24812)",ADWIN
134,"[39417, 39558]","(25655, 25655)",ADWIN
135,[],"(34837, 34837)",ADWIN
136,"[30571, 30840, 31751, 31861, 36751, 37849, 38192]","(25983, 25983)",ADWIN
137,"[35860, 38133, 38540, 40341]","(28485, 28485)",ADWIN
138,[],"(25944, 25944)",ADWIN
139,"[42210, 42845]","(27526, 27526)",ADWIN
140,[],"(23158, 23158)",ADWIN
141,"[40567, 41656, 44753]","(31962, 31962)",ADWIN
142,"[36786, 39767, 41919]","(35547, 35547)",ADWIN
143,[],"(23390, 23390)",ADWIN
144,[],"(25577, 25577)",ADWIN
145,[],"(25099, 25099)",ADWIN
146,"[42523, 43303, 43369, 44483]","(34883, 34883)",ADWIN
147,[],"(34580, 34580)",ADWIN
148,"[28794, 31359, 32063]","(24226, 24226)",ADWIN
