,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,50.0,1.0
ABCDx,8.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.1765536723163842,0.1765536723163842,50.0,8.0
ADWIN,31.0,2.0,48.0,0.06060606060606061,0.04,0.04,0.048192771084337345,2242.5,0.6841454802259886,0.7282838983050848,50.0,33.0
CUSUM,34.0,19.0,31.0,0.3584905660377358,0.38,0.38,0.3689320388349514,811.8947368421053,0.7503531073446328,1.1696680790960452,50.0,53.0
DDM,10.0,2.0,48.0,0.16666666666666666,0.04,0.04,0.06451612903225806,366.0,0.2206920903954802,0.2648305084745763,50.0,12.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,10.0,2.0,48.0,0.16666666666666666,0.04,0.04,0.06451612903225806,2149.0,0.2206920903954802,0.2648305084745763,50.0,12.0
HDDMWeighted,50.0,15.0,36.0,0.23076923076923078,0.29411764705882354,0.28,0.25862068965517243,471.7857142857143,1.1034604519774012,1.4344985875706215,50.0,65.0
PageHinkley,18.0,6.0,44.0,0.25,0.12,0.12,0.16216216216216217,1032.8333333333333,0.39724576271186446,0.5296610169491526,50.0,24.0
RDDM,72.0,27.0,30.0,0.2727272727272727,0.47368421052631576,0.4,0.34615384615384615,131.35,1.5889830508474578,2.184851694915254,50.0,99.0
SEED,21.0,8.0,43.0,0.27586206896551724,0.1568627450980392,0.14,0.2,86.71428571428571,0.4634533898305085,0.6400070621468926,50.0,29.0
STEPD,187.0,59.0,13.0,0.23983739837398374,0.8194444444444444,0.74,0.37106918238993714,-970.2702702702703,4.12694209039548,5.429025423728814,50.0,246.0
STUDD,162.0,78.0,24.0,0.325,0.7647058823529411,0.52,0.456140350877193,38.42307692307692,3.57521186440678,5.296610169491525,50.0,240.0
