,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,8.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.1765536723163842,0.1765536723163842,50.0,8.0
ABCDx,15.0,5.0,45.0,0.25,0.1,0.1,0.14285714285714288,2011.2,0.3310381355932203,0.4413841807909604,50.0,20.0
ADWIN,18.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.39724576271186446,0.39724576271186446,50.0,18.0
CUSUM,67.0,18.0,32.0,0.21176470588235294,0.36,0.36,0.26666666666666666,1504.888888888889,1.4786370056497176,1.875882768361582,50.0,85.0
DDM,1398.0,141.0,15.0,0.09161793372319688,0.9038461538461539,0.7,0.1663716814159292,660.2285714285714,30.852754237288135,33.96451271186441,50.0,1539.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,394.0,34.0,16.0,0.0794392523364486,0.68,0.68,0.14225941422594143,1221.6764705882354,8.695268361581922,9.445621468926554,50.0,428.0
HDDMAverage,11.0,4.0,46.0,0.26666666666666666,0.08,0.08,0.12307692307692307,1497.5,0.24276129943502825,0.3310381355932203,50.0,15.0
HDDMWeighted,688.0,62.0,8.0,0.08266666666666667,0.8857142857142857,0.84,0.15121951219512195,983.0714285714286,15.18361581920904,16.551906779661017,50.0,750.0
PageHinkley,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,50.0,1.0
RDDM,1001.0,99.0,0.0,0.09,1.0,1.0,0.16513761467889906,599.62,22.09127824858757,24.276129943502823,50.0,1100.0
SEED,20.0,4.0,46.0,0.16666666666666666,0.08,0.08,0.10810810810810811,1361.25,0.4413841807909604,0.5296610169491526,50.0,24.0
STEPD,82.0,9.0,41.0,0.0989010989010989,0.18,0.18,0.1276595744680851,1093.111111111111,1.809675141242938,2.0082980225988702,50.0,91.0
STUDD,153.0,31.0,40.0,0.16847826086956522,0.43661971830985913,0.2,0.24313725490196078,1380.2,3.3765889830508478,4.060734463276836,50.0,184.0
