,preds,true,detector_name
0,"[25135, 25711]","(24577, 24577)",ABCD
1,[31499],"(26157, 26157)",ABCD
2,[34432],"(29798, 29798)",ABCD
3,[27173],"(26117, 26117)",ABCD
4,[],"(30538, 30538)",ABCD
5,[],"(32588, 32588)",ABCD
6,[24823],"(23470, 23470)",ABCD
7,[42850],"(35285, 35285)",ABCD
8,"[29283, 31281]","(28638, 28638)",ABCD
9,[25680],"(22910, 22910)",ABCD
10,[],"(25080, 25080)",ABCD
11,[],"(27882, 27882)",ABCD
12,"[32276, 43548]","(30962, 30962)",ABCD
13,[],"(27792, 27792)",ABCD
14,[29543],"(29170, 29170)",ABCD
15,[],"(22911, 22911)",ABCD
16,[26990],"(26192, 26192)",ABCD
17,[],"(25704, 25704)",ABCD
18,[],"(25874, 25874)",ABCD
19,[31245],"(29288, 29288)",ABCD
20,[32574],"(24815, 24815)",ABCD
21,"[23635, 24063]","(23097, 23097)",ABCD
22,[],"(30556, 30556)",ABCD
23,[],"(34788, 34788)",ABCD
24,[],"(32441, 32441)",ABCD
25,[37570],"(33769, 33769)",ABCD
26,[36638],"(35137, 35137)",ABCD
27,[],"(31803, 31803)",ABCD
28,[],"(25448, 25448)",ABCD
29,[37822],"(35741, 35741)",ABCD
30,[24120],"(23162, 23162)",ABCD
31,[33493],"(31328, 31328)",ABCD
32,"[28468, 41690]","(26090, 26090)",ABCD
33,[],"(35745, 35745)",ABCD
34,[],"(29689, 29689)",ABCD
35,[29013],"(28206, 28206)",ABCD
36,[],"(24689, 24689)",ABCD
37,[],"(34282, 34282)",ABCD
38,[36893],"(35297, 35297)",ABCD
39,"[26345, 27188]","(25801, 25801)",ABCD
40,[],"(33511, 33511)",ABCD
41,"[24485, 42341]","(23519, 23519)",ABCD
42,[],"(33914, 33914)",ABCD
43,[30793],"(29304, 29304)",ABCD
44,[],"(24324, 24324)",ABCD
45,[24111],"(23264, 23264)",ABCD
46,[],"(32861, 32861)",ABCD
47,[],"(25171, 25171)",ABCD
48,"[25993, 27429]","(24894, 24894)",ABCD
49,[],"(33231, 33231)",ABCD
50,[],"(24577, 24577)",ABCDx
51,[30306],"(26157, 26157)",ABCDx
52,[],"(29798, 29798)",ABCDx
53,[31733],"(26117, 26117)",ABCDx
54,[34931],"(30538, 30538)",ABCDx
55,[],"(32588, 32588)",ABCDx
56,[30139],"(23470, 23470)",ABCDx
57,[42903],"(35285, 35285)",ABCDx
58,[],"(28638, 28638)",ABCDx
59,[],"(22910, 22910)",ABCDx
60,[],"(25080, 25080)",ABCDx
61,[],"(27882, 27882)",ABCDx
62,[36953],"(30962, 30962)",ABCDx
63,[36586],"(27792, 27792)",ABCDx
64,[],"(29170, 29170)",ABCDx
65,[],"(22911, 22911)",ABCDx
66,[],"(26192, 26192)",ABCDx
67,[29320],"(25704, 25704)",ABCDx
68,[29957],"(25874, 25874)",ABCDx
69,[45125],"(29288, 29288)",ABCDx
70,[32160],"(24815, 24815)",ABCDx
71,[28243],"(23097, 23097)",ABCDx
72,[],"(30556, 30556)",ABCDx
73,[],"(34788, 34788)",ABCDx
74,[43722],"(32441, 32441)",ABCDx
75,[37863],"(33769, 33769)",ABCDx
76,[],"(35137, 35137)",ABCDx
77,[],"(31803, 31803)",ABCDx
78,[27402],"(25448, 25448)",ABCDx
79,[],"(35741, 35741)",ABCDx
80,[],"(23162, 23162)",ABCDx
81,[34194],"(31328, 31328)",ABCDx
82,[],"(26090, 26090)",ABCDx
83,[],"(35745, 35745)",ABCDx
84,[],"(29689, 29689)",ABCDx
85,[30999],"(28206, 28206)",ABCDx
86,[30436],"(24689, 24689)",ABCDx
87,[],"(34282, 34282)",ABCDx
88,[39958],"(35297, 35297)",ABCDx
89,[],"(25801, 25801)",ABCDx
90,[],"(33511, 33511)",ABCDx
91,[],"(23519, 23519)",ABCDx
92,[],"(33914, 33914)",ABCDx
93,[],"(29304, 29304)",ABCDx
94,[33088],"(24324, 24324)",ABCDx
95,[24759],"(23264, 23264)",ABCDx
96,[],"(32861, 32861)",ABCDx
97,[],"(25171, 25171)",ABCDx
98,[29145],"(24894, 24894)",ABCDx
99,[],"(33231, 33231)",ABCDx
100,"[25504, 25568, 26048, 42496]","(24577, 24577)",ADWIN
101,"[27328, 42528]","(26157, 26157)",ADWIN
102,[41216],"(29798, 29798)",ADWIN
103,"[27488, 27520, 27552, 27616, 33664]","(26117, 26117)",ADWIN
104,"[31104, 31200]","(30538, 30538)",ADWIN
105,"[33888, 35776]","(32588, 32588)",ADWIN
106,[24832],"(23470, 23470)",ADWIN
107,"[37760, 38688]","(35285, 35285)",ADWIN
108,"[29760, 29824, 29856, 30528, 32192]","(28638, 28638)",ADWIN
109,"[24704, 26368]","(22910, 22910)",ADWIN
110,[],"(25080, 25080)",ADWIN
111,"[29536, 29888]","(27882, 27882)",ADWIN
112,"[33504, 34464, 40768, 41888, 42528, 43648]","(30962, 30962)",ADWIN
113,[28800],"(27792, 27792)",ADWIN
114,"[29696, 29728, 29920]","(29170, 29170)",ADWIN
115,"[24640, 24736]","(22911, 22911)",ADWIN
116,"[27072, 27168, 30368]","(26192, 26192)",ADWIN
117,[],"(25704, 25704)",ADWIN
118,"[26304, 26368]","(25874, 25874)",ADWIN
119,"[29952, 30016, 30368]","(29288, 29288)",ADWIN
120,"[25984, 26176, 26688]","(24815, 24815)",ADWIN
121,"[24032, 24064, 24192, 24928]","(23097, 23097)",ADWIN
122,"[31200, 31520]","(30556, 30556)",ADWIN
123,[36928],"(34788, 34788)",ADWIN
124,"[33408, 33472, 33920]","(32441, 32441)",ADWIN
125,"[34624, 34688, 34720, 34816, 35616]","(33769, 33769)",ADWIN
126,"[36096, 36448, 39040, 42560]","(35137, 35137)",ADWIN
127,"[34112, 34656]","(31803, 31803)",ADWIN
128,"[33632, 42944]","(25448, 25448)",ADWIN
129,"[43872, 44288, 45152, 45280]","(35741, 35741)",ADWIN
130,"[24768, 24800, 26720]","(23162, 23162)",ADWIN
131,"[33440, 41920, 43840, 43904]","(31328, 31328)",ADWIN
132,"[37440, 38208, 38624, 41376, 42336]","(26090, 26090)",ADWIN
133,[42944],"(35745, 35745)",ADWIN
134,[35968],"(29689, 29689)",ADWIN
135,"[29312, 29376, 29472, 29632]","(28206, 28206)",ADWIN
136,"[34112, 37440]","(24689, 24689)",ADWIN
137,[],"(34282, 34282)",ADWIN
138,"[36992, 37280, 37824]","(35297, 35297)",ADWIN
139,"[26816, 26848, 26880, 26976, 27296, 27328]","(25801, 25801)",ADWIN
140,[35360],"(33511, 33511)",ADWIN
141,"[24864, 24928, 25024, 25088, 39360, 39776, 40928, 41344, 41888]","(23519, 23519)",ADWIN
142,"[34560, 34656, 34944]","(33914, 33914)",ADWIN
143,"[31200, 31232]","(29304, 29304)",ADWIN
144,"[25792, 25856, 27968]","(24324, 24324)",ADWIN
145,"[24096, 24160, 25440]","(23264, 23264)",ADWIN
146,[],"(32861, 32861)",ADWIN
147,"[26304, 26656]","(25171, 25171)",ADWIN
148,"[27232, 27264, 27296, 27392, 27840]","(24894, 24894)",ADWIN
149,"[34528, 34560, 34592]","(33231, 33231)",ADWIN
150,"[23243, 26088, 29783, 33299, 40928]","(24577, 24577)",CUSUM
151,[],"(26157, 26157)",CUSUM
152,"[24351, 42499]","(29798, 29798)",CUSUM
153,"[14558, 25375, 27978, 33375, 38737]","(26117, 26117)",CUSUM
154,"[23078, 30531, 31075]","(30538, 30538)",CUSUM
155,[40707],"(32588, 32588)",CUSUM
156,[36205],"(23470, 23470)",CUSUM
157,[23734],"(35285, 35285)",CUSUM
158,"[19493, 34155, 41027]","(28638, 28638)",CUSUM
159,[43925],"(22910, 22910)",CUSUM
160,"[24515, 33897]","(25080, 25080)",CUSUM
161,"[14762, 19514]","(27882, 27882)",CUSUM
162,"[24060, 39792]","(30962, 30962)",CUSUM
163,[15721],"(27792, 27792)",CUSUM
