,preds,true,detector_name
0,[26367],"(24577, 24577)",ABCD
1,[30996],"(28126, 28126)",ABCD
2,[39367],"(35199, 35199)",ABCD
3,[],"(23626, 23626)",ABCD
4,[],"(24524, 24524)",ABCD
5,[],"(29739, 29739)",ABCD
6,[],"(30448, 30448)",ABCD
7,[],"(23050, 23050)",ABCD
8,"[28937, 37969]","(26483, 26483)",ABCD
9,[],"(35452, 35452)",ABCD
10,[32354],"(25576, 25576)",ABCD
11,[],"(34724, 34724)",ABCD
12,[],"(22907, 22907)",ABCD
13,[34894],"(31565, 31565)",ABCD
14,[],"(32057, 32057)",ABCD
15,[],"(34651, 34651)",ABCD
16,[],"(27231, 27231)",ABCD
17,[33376],"(30117, 30117)",ABCD
18,[],"(34839, 34839)",ABCD
19,[39216],"(31145, 31145)",ABCD
20,[],"(29602, 29602)",ABCD
21,[45071],"(35286, 35286)",ABCD
22,"[25681, 37412]","(23261, 23261)",ABCD
23,"[35824, 42442]","(31226, 31226)",ABCD
24,[41851],"(35728, 35728)",ABCD
25,[],"(28289, 28289)",ABCD
26,[],"(32919, 32919)",ABCD
27,[],"(25194, 25194)",ABCD
28,[26545],"(24403, 24403)",ABCD
29,"[34125, 43884]","(28712, 28712)",ABCD
30,[],"(27688, 27688)",ABCD
31,[],"(35839, 35839)",ABCD
32,[],"(27467, 27467)",ABCD
33,[],"(23915, 23915)",ABCD
34,[],"(29377, 29377)",ABCD
35,[],"(28769, 28769)",ABCD
36,[],"(24736, 24736)",ABCD
37,[],"(22756, 22756)",ABCD
38,[],"(27671, 27671)",ABCD
39,[],"(35844, 35844)",ABCD
40,[35745],"(33862, 33862)",ABCD
41,[34073],"(29837, 29837)",ABCD
42,[],"(32922, 32922)",ABCD
43,[],"(22827, 22827)",ABCD
44,[],"(31349, 31349)",ABCD
45,"[32284, 43436]","(28445, 28445)",ABCD
46,[],"(27613, 27613)",ABCD
47,[32622],"(30264, 30264)",ABCD
48,[37345],"(31513, 31513)",ABCD
49,[],"(26288, 26288)",ABCD
50,[30539],"(24577, 24577)",ABCDx
51,[37578],"(28126, 28126)",ABCDx
52,[],"(35199, 35199)",ABCDx
53,[37920],"(23626, 23626)",ABCDx
54,[],"(24524, 24524)",ABCDx
55,[33631],"(29739, 29739)",ABCDx
56,[],"(30448, 30448)",ABCDx
57,[27667],"(23050, 23050)",ABCDx
58,[],"(26483, 26483)",ABCDx
59,[40490],"(35452, 35452)",ABCDx
60,[],"(25576, 25576)",ABCDx
61,[],"(34724, 34724)",ABCDx
62,[],"(22907, 22907)",ABCDx
63,[36570],"(31565, 31565)",ABCDx
64,[],"(32057, 32057)",ABCDx
65,[],"(34651, 34651)",ABCDx
66,[],"(27231, 27231)",ABCDx
67,[34810],"(30117, 30117)",ABCDx
68,[],"(34839, 34839)",ABCDx
69,[42226],"(31145, 31145)",ABCDx
70,[40087],"(29602, 29602)",ABCDx
71,[41286],"(35286, 35286)",ABCDx
72,[],"(23261, 23261)",ABCDx
73,[38369],"(31226, 31226)",ABCDx
74,[],"(35728, 35728)",ABCDx
75,[39273],"(28289, 28289)",ABCDx
76,[38921],"(32919, 32919)",ABCDx
77,[],"(25194, 25194)",ABCDx
78,[31557],"(24403, 24403)",ABCDx
79,[35572],"(28712, 28712)",ABCDx
80,[],"(27688, 27688)",ABCDx
81,[43104],"(35839, 35839)",ABCDx
82,[31584],"(27467, 27467)",ABCDx
83,[29317],"(23915, 23915)",ABCDx
84,[],"(29377, 29377)",ABCDx
85,[],"(28769, 28769)",ABCDx
86,[],"(24736, 24736)",ABCDx
87,[],"(22756, 22756)",ABCDx
88,[39719],"(27671, 27671)",ABCDx
89,[40066],"(35844, 35844)",ABCDx
90,[],"(33862, 33862)",ABCDx
91,[],"(29837, 29837)",ABCDx
92,[],"(32922, 32922)",ABCDx
93,[30785],"(22827, 22827)",ABCDx
94,[],"(31349, 31349)",ABCDx
95,[],"(28445, 28445)",ABCDx
96,[],"(27613, 27613)",ABCDx
97,[],"(30264, 30264)",ABCDx
98,[37139],"(31513, 31513)",ABCDx
99,[31678],"(26288, 26288)",ABCDx
100,"[27520, 43424]","(24577, 24577)",ADWIN
101,"[33312, 33344, 40864]","(28126, 28126)",ADWIN
102,[37632],"(35199, 35199)",ADWIN
103,"[34752, 38080]","(23626, 23626)",ADWIN
104,[],"(24524, 24524)",ADWIN
105,[44672],"(29739, 29739)",ADWIN
106,[],"(30448, 30448)",ADWIN
107,[],"(23050, 23050)",ADWIN
108,"[30592, 36480, 37248]","(26483, 26483)",ADWIN
109,[],"(35452, 35452)",ADWIN
110,[],"(25576, 25576)",ADWIN
111,[],"(34724, 34724)",ADWIN
112,[],"(22907, 22907)",ADWIN
113,"[40672, 44448]","(31565, 31565)",ADWIN
114,[],"(32057, 32057)",ADWIN
115,[],"(34651, 34651)",ADWIN
116,[],"(27231, 27231)",ADWIN
117,"[36480, 39488]","(30117, 30117)",ADWIN
118,[],"(34839, 34839)",ADWIN
119,[34784],"(31145, 31145)",ADWIN
120,[],"(29602, 29602)",ADWIN
121,[],"(35286, 35286)",ADWIN
122,"[31424, 34464, 36384, 37120, 41536]","(23261, 23261)",ADWIN
123,[41632],"(31226, 31226)",ADWIN
124,"[38432, 38496]","(35728, 35728)",ADWIN
125,[],"(28289, 28289)",ADWIN
126,[],"(32919, 32919)",ADWIN
127,[31520],"(25194, 25194)",ADWIN
128,[27616],"(24403, 24403)",ADWIN
129,[43072],"(28712, 28712)",ADWIN
130,[],"(27688, 27688)",ADWIN
131,[],"(35839, 35839)",ADWIN
132,[30592],"(27467, 27467)",ADWIN
133,[],"(23915, 23915)",ADWIN
134,"[19648, 40608]","(29377, 29377)",ADWIN
135,[],"(28769, 28769)",ADWIN
136,[],"(24736, 24736)",ADWIN
137,"[38432, 38880, 39328]","(22756, 22756)",ADWIN
138,[],"(27671, 27671)",ADWIN
139,[],"(35844, 35844)",ADWIN
140,"[37024, 38560]","(33862, 33862)",ADWIN
141,[34976],"(29837, 29837)",ADWIN
142,[35360],"(32922, 32922)",ADWIN
143,[],"(22827, 22827)",ADWIN
144,[39232],"(31349, 31349)",ADWIN
145,"[41408, 41472, 41504, 42336, 42560]","(28445, 28445)",ADWIN
146,[],"(27613, 27613)",ADWIN
147,"[34304, 34592, 41344]","(30264, 30264)",ADWIN
148,[43232],"(31513, 31513)",ADWIN
149,[],"(26288, 26288)",ADWIN
150,"[23243, 28794, 40517]","(24577, 24577)",CUSUM
151,"[22344, 41219]","(28126, 28126)",CUSUM
152,[19088],"(35199, 35199)",CUSUM
153,[34551],"(23626, 23626)",CUSUM
154,"[20054, 43784]","(24524, 24524)",CUSUM
155,"[18300, 24169, 42924]","(29739, 29739)",CUSUM
156,"[29490, 42026]","(30448, 30448)",CUSUM
157,"[16030, 44632]","(23050, 23050)",CUSUM
158,[37021],"(26483, 26483)",CUSUM
159,[22695],"(35452, 35452)",CUSUM
160,[],"(25576, 25576)",CUSUM
161,[26803],"(34724, 34724)",CUSUM
162,[41590],"(22907, 22907)",CUSUM
163,[],"(31565, 31565)",CUSUM
164,"[20039, 30036, 39368]","(32057, 32057)",CUSUM
165,[],"(34651, 34651)",CUSUM
166,[43989],"(27231, 27231)",CUSUM
167,[19857],"(30117, 30117)",CUSUM
168,[28906],"(34839, 34839)",CUSUM
169,[],"(31145, 31145)",CUSUM
170,[34846],"(29602, 29602)",CUSUM
171,[31297],"(35286, 35286)",CUSUM
172,[35116],"(23261, 23261)",CUSUM
173,[16594],"(31226, 31226)",CUSUM
174,[],"(35728, 35728)",CUSUM
175,"[19998, 22834]","(28289, 28289)",CUSUM
176,"[24554, 27872]","(32919, 32919)",CUSUM
177,[17115],"(25194, 25194)",CUSUM
178,"[29562, 43204]","(24403, 24403)",CUSUM
179,[],"(28712, 28712)",CUSUM
180,[19358],"(27688, 27688)",CUSUM
181,[22089],"(35839, 35839)",CUSUM
182,[],"(27467, 27467)",CUSUM
183,[44862],"(23915, 23915)",CUSUM
184,[19569],"(29377, 29377)",CUSUM
185,[],"(28769, 28769)",CUSUM
186,[20076],"(24736, 24736)",CUSUM
187,"[22604, 28531, 37996]","(22756, 22756)",CUSUM
