,preds,true,detector_name
0,[37362],"(36692, 36692)",ABCD
1,[29752],"(29279, 29279)",ABCD
2,[31716],"(31373, 31373)",ABCD
3,[40716],"(40214, 40214)",ABCD
4,[40411],"(39907, 39907)",ABCD
5,[39887],"(39396, 39396)",ABCD
6,[30349],"(29825, 29825)",ABCD
7,[31526],"(30776, 30776)",ABCD
8,[34861],"(34512, 34512)",ABCD
9,[30237],"(29966, 29966)",ABCD
10,[40152],"(39661, 39661)",ABCD
11,[32617],"(32232, 32232)",ABCD
12,[37488],"(37063, 37063)",ABCD
13,[35579],"(31980, 31980)",ABCD
14,[39131],"(38686, 38686)",ABCD
15,[34705],"(34253, 34253)",ABCD
16,[31555],"(31201, 31201)",ABCD
17,[35814],"(35430, 35430)",ABCD
18,[36831],"(36376, 36376)",ABCD
19,[33334],"(32973, 32973)",ABCD
20,[32656],"(32236, 32236)",ABCD
21,[32364],"(31962, 31962)",ABCD
22,[39108],"(38604, 38604)",ABCD
23,[33751],"(33371, 33371)",ABCD
24,[32708],"(32085, 32085)",ABCD
25,[33523],"(33118, 33118)",ABCD
26,[30296],"(29696, 29696)",ABCD
27,[34023],"(33564, 33564)",ABCD
28,[37434],"(37127, 37127)",ABCD
29,[33524],"(33301, 33301)",ABCD
30,[41146],"(40607, 40607)",ABCD
31,[27971],"(27423, 27423)",ABCD
32,[29203],"(28629, 28629)",ABCD
33,[30804],"(30547, 30547)",ABCD
34,[36096],"(35666, 35666)",ABCD
35,[32831],"(32452, 32452)",ABCD
36,[39612],"(39091, 39091)",ABCD
37,[29285],"(28973, 28973)",ABCD
38,[37917],"(37523, 37523)",ABCD
39,[36680],"(36295, 36295)",ABCD
40,[37943],"(36921, 36921)",ABCD
41,[27566],"(27405, 27405)",ABCD
42,[32738],"(32360, 32360)",ABCD
43,[37776],"(37268, 37268)",ABCD
44,[],"(31979, 31979)",ABCD
45,[39524],"(39029, 39029)",ABCD
46,[35567],"(35187, 35187)",ABCD
47,[33691],"(33382, 33382)",ABCD
48,[41170],"(40712, 40712)",ABCD
49,[33652],"(33271, 33271)",ABCD
50,[36704],"(36692, 36692)",ABCDx
51,[29294],"(29279, 29279)",ABCDx
52,[31387],"(31373, 31373)",ABCDx
53,[40228],"(40214, 40214)",ABCDx
54,[38227],"(37954, 37954)",ABCDx
55,[37483],"(37471, 37471)",ABCDx
56,[34785],"(34770, 34770)",ABCDx
57,[28114],"(28097, 28097)",ABCDx
58,[40236],"(40223, 40223)",ABCDx
59,[33242],"(33227, 33227)",ABCDx
60,[27485],"(27473, 27473)",ABCDx
61,[32389],"(32374, 32374)",ABCDx
62,[39225],"(39210, 39210)",ABCDx
63,[38632],"(38611, 38611)",ABCDx
64,[31470],"(31456, 31456)",ABCDx
65,[30100],"(30085, 30085)",ABCDx
66,[35591],"(35575, 35575)",ABCDx
67,[37048],"(37031, 37031)",ABCDx
68,[33086],"(33065, 33065)",ABCDx
69,[27835],"(27632, 27632)",ABCDx
70,[39056],"(39041, 39041)",ABCDx
71,[28984],"(28973, 28973)",ABCDx
72,[40443],"(40419, 40419)",ABCDx
73,[34010],"(33994, 33994)",ABCDx
74,[39774],"(39761, 39761)",ABCDx
75,[27275],"(27261, 27261)",ABCDx
76,[28859],"(28848, 28848)",ABCDx
77,[28600],"(28582, 28582)",ABCDx
78,[33952],"(33938, 33938)",ABCDx
79,[35037],"(35020, 35020)",ABCDx
80,[27460],"(27448, 27448)",ABCDx
81,[32299],"(32145, 32145)",ABCDx
82,[29145],"(28847, 28847)",ABCDx
83,[39108],"(39097, 39097)",ABCDx
84,[39855],"(39827, 39827)",ABCDx
85,[32424],"(32168, 32168)",ABCDx
86,[31273],"(31261, 31261)",ABCDx
87,[39491],"(39477, 39477)",ABCDx
88,[37026],"(37009, 37009)",ABCDx
89,[36913],"(36896, 36896)",ABCDx
90,[35736],"(35716, 35716)",ABCDx
91,[30987],"(30967, 30967)",ABCDx
92,[35852],"(35718, 35718)",ABCDx
93,[30199],"(30187, 30187)",ABCDx
94,[40711],"(40691, 40691)",ABCDx
95,[28259],"(28245, 28245)",ABCDx
96,[38083],"(38067, 38067)",ABCDx
97,[36694],"(36680, 36680)",ABCDx
98,[30959],"(30949, 30949)",ABCDx
99,[31117],"(31107, 31107)",ABCDx
100,[],"(36692, 36692)",ADWIN
101,[],"(29279, 29279)",ADWIN
102,[],"(31373, 31373)",ADWIN
103,[],"(40214, 40214)",ADWIN
104,[],"(39907, 39907)",ADWIN
105,[],"(39396, 39396)",ADWIN
106,[],"(29825, 29825)",ADWIN
107,[],"(30776, 30776)",ADWIN
108,[],"(34512, 34512)",ADWIN
109,[],"(29966, 29966)",ADWIN
110,[],"(39661, 39661)",ADWIN
111,[],"(32232, 32232)",ADWIN
112,[],"(37063, 37063)",ADWIN
113,[],"(31980, 31980)",ADWIN
114,[],"(38686, 38686)",ADWIN
115,[],"(34253, 34253)",ADWIN
116,[],"(31201, 31201)",ADWIN
117,[],"(35430, 35430)",ADWIN
118,[],"(36376, 36376)",ADWIN
119,[],"(32973, 32973)",ADWIN
120,[],"(32236, 32236)",ADWIN
121,[],"(31962, 31962)",ADWIN
122,[],"(38604, 38604)",ADWIN
