,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,30.0,2.0,48.0,0.0625,0.04,0.04,0.048780487804878044,1973.0,0.6620762711864406,0.7062146892655368,50.0,32.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,121.0,152.0,23.0,0.5567765567765568,0.8685714285714285,0.54,0.6785714285714286,1394.7777777777778,2.670374293785311,6.024894067796611,50.0,273.0
CUSUM,77.0,27.0,23.0,0.25961538461538464,0.54,0.54,0.35064935064935066,1031.111111111111,1.6993290960451977,2.2951977401129944,50.0,104.0
DDM,24.0,6.0,44.0,0.2,0.12,0.12,0.15,1157.6666666666667,0.5296610169491526,0.6620762711864406,50.0,30.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,13.0,22.0,28.0,0.6285714285714286,0.44,0.44,0.5176470588235295,1548.0,0.2868997175141243,0.7724223163841808,50.0,35.0
HDDMWeighted,97.0,21.0,29.0,0.17796610169491525,0.42,0.42,0.25,1195.3809523809523,2.140713276836158,2.6041666666666665,50.0,118.0
PageHinkley,30.0,23.0,27.0,0.4339622641509434,0.46,0.46,0.44660194174757284,1395.1304347826087,0.6620762711864406,1.1696680790960452,50.0,53.0
RDDM,123.0,32.0,24.0,0.2064516129032258,0.5714285714285714,0.52,0.3033175355450237,1345.2692307692307,2.714512711864407,3.420727401129944,50.0,155.0
SEED,34.0,39.0,14.0,0.5342465753424658,0.7358490566037735,0.72,0.6190476190476191,924.1111111111111,0.7503531073446328,1.6110522598870056,50.0,73.0
STEPD,299.0,20.0,34.0,0.06269592476489028,0.37037037037037035,0.32,0.10723860589812331,514.25,6.598693502824859,7.040077683615819,50.0,319.0
STUDD,284.0,13.0,43.0,0.04377104377104377,0.23214285714285715,0.14,0.07365439093484419,831.2857142857143,6.267655367231638,6.554555084745763,50.0,297.0
