,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,33.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.7282838983050848,0.7282838983050848,50.0,33.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,302.0,20.0,41.0,0.062111801242236024,0.32786885245901637,0.18,0.10443864229765012,1628.6666666666667,6.664901129943503,7.106285310734463,50.0,322.0
CUSUM,67.0,11.0,39.0,0.14102564102564102,0.22,0.22,0.171875,1475.6363636363637,1.4786370056497176,1.7213983050847457,50.0,78.0
DDM,1776.0,141.0,16.0,0.07355242566510173,0.8980891719745223,0.68,0.1359691417550627,680.6470588235294,39.19491525423729,42.306673728813564,50.0,1917.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,12998.0,1024.0,0.0,0.07302809870203965,1.0,1.0,0.13611591120563604,48.88,286.8555790960452,309.4544491525424,50.0,14022.0
HDDMAverage,36.0,5.0,45.0,0.12195121951219512,0.1,0.1,0.10989010989010989,1935.2,0.7944915254237289,0.904837570621469,50.0,41.0
HDDMWeighted,192.0,22.0,33.0,0.102803738317757,0.4,0.34,0.16356877323420074,776.8823529411765,4.237288135593221,4.722810734463277,50.0,214.0
PageHinkley,30.0,1.0,49.0,0.03225806451612903,0.02,0.02,0.024691358024691357,2462.0,0.6620762711864406,0.6841454802259886,50.0,31.0
RDDM,13533.0,1118.0,1.0,0.07630878438331855,0.9991063449508489,0.98,0.14178820545339255,57.44897959183673,298.6626059322034,323.3359816384181,50.0,14651.0
SEED,68.0,19.0,31.0,0.21839080459770116,0.38,0.38,0.2773722627737227,1940.7894736842106,1.5007062146892656,1.920021186440678,50.0,87.0
STEPD,60.0,19.0,32.0,0.24050632911392406,0.37254901960784315,0.36,0.2923076923076923,1511.2777777777778,1.3241525423728813,1.7434675141242937,50.0,79.0
STUDD,228.0,8.0,44.0,0.03389830508474576,0.15384615384615385,0.12,0.05555555555555555,1506.3333333333333,5.031779661016949,5.208333333333333,50.0,236.0
