,preds,true,detector_name
0,[44870],"(29109, 29109)",ABCD
1,[43621],"(36951, 36951)",ABCD
2,[40945],"(31691, 31691)",ABCD
3,[41931],"(35078, 35078)",ABCD
4,[],"(36268, 36268)",ABCD
5,[],"(40381, 40381)",ABCD
6,[43966],"(39752, 39752)",ABCD
7,[33105],"(28779, 28779)",ABCD
8,[44419],"(34924, 34924)",ABCD
9,[],"(31833, 31833)",ABCD
10,[],"(37052, 37052)",ABCD
11,[],"(33115, 33115)",ABCD
12,[39507],"(31481, 31481)",ABCD
13,[38731],"(31662, 31662)",ABCD
14,[],"(33285, 33285)",ABCD
15,[],"(34777, 34777)",ABCD
16,[39382],"(33901, 33901)",ABCD
17,[],"(39278, 39278)",ABCD
18,[41564],"(37574, 37574)",ABCD
19,[32039],"(28161, 28161)",ABCD
20,[38608],"(29391, 29391)",ABCD
21,[],"(39473, 39473)",ABCD
22,[],"(38566, 38566)",ABCD
23,[],"(39694, 39694)",ABCD
24,[],"(30298, 30298)",ABCD
25,[33698],"(29811, 29811)",ABCD
26,[],"(28961, 28961)",ABCD
27,[37836],"(33038, 33038)",ABCD
28,[35691],"(30845, 30845)",ABCD
29,[],"(38936, 38936)",ABCD
30,[38148],"(32737, 32737)",ABCD
31,[39424],"(33945, 33945)",ABCD
32,[37131],"(30469, 30469)",ABCD
33,[],"(36258, 36258)",ABCD
34,[38265],"(32776, 32776)",ABCD
35,[],"(36209, 36209)",ABCD
36,[42103],"(30292, 30292)",ABCD
37,[44572],"(37392, 37392)",ABCD
38,[],"(39661, 39661)",ABCD
39,[34075],"(30428, 30428)",ABCD
40,[],"(38543, 38543)",ABCD
41,[37947],"(32411, 32411)",ABCD
42,[38770],"(33651, 33651)",ABCD
43,[],"(33678, 33678)",ABCD
44,[33317],"(28543, 28543)",ABCD
45,[],"(33954, 33954)",ABCD
46,[32977],"(29609, 29609)",ABCD
47,[41548],"(33453, 33453)",ABCD
48,[],"(39648, 39648)",ABCD
49,[],"(40219, 40219)",ABCD
50,[],"(29109, 29109)",ABCDx
51,[],"(36951, 36951)",ABCDx
52,[],"(31691, 31691)",ABCDx
53,[],"(35078, 35078)",ABCDx
54,[],"(36268, 36268)",ABCDx
55,[],"(40381, 40381)",ABCDx
56,[],"(39752, 39752)",ABCDx
57,[],"(28779, 28779)",ABCDx
58,[],"(34924, 34924)",ABCDx
59,[],"(31833, 31833)",ABCDx
60,[],"(37052, 37052)",ABCDx
61,[],"(33115, 33115)",ABCDx
62,[],"(31481, 31481)",ABCDx
63,[],"(31662, 31662)",ABCDx
64,[],"(33285, 33285)",ABCDx
65,[],"(34777, 34777)",ABCDx
66,[],"(33901, 33901)",ABCDx
67,[],"(39278, 39278)",ABCDx
68,[],"(37574, 37574)",ABCDx
69,[],"(28161, 28161)",ABCDx
70,[],"(29391, 29391)",ABCDx
71,[],"(39473, 39473)",ABCDx
72,[],"(38566, 38566)",ABCDx
73,[],"(39694, 39694)",ABCDx
74,[],"(30298, 30298)",ABCDx
75,[],"(29811, 29811)",ABCDx
76,[],"(28961, 28961)",ABCDx
77,[],"(33038, 33038)",ABCDx
78,[],"(30845, 30845)",ABCDx
79,[],"(38936, 38936)",ABCDx
80,[],"(32737, 32737)",ABCDx
