,preds,true,detector_name
0,"[30170, 37023]","(24577, 24577)",ABCD
1,"[35912, 43220]","(28126, 28126)",ABCD
2,"[37100, 41519]","(35199, 35199)",ABCD
3,"[27571, 40928]","(23626, 23626)",ABCD
4,"[29559, 36312]","(24524, 24524)",ABCD
5,"[31677, 34292, 36254, 38780, 42828]","(29739, 29739)",ABCD
6,"[32495, 35430, 37005, 40781]","(30448, 30448)",ABCD
7,"[32244, 39137]","(23050, 23050)",ABCD
8,"[28292, 30072, 33898, 39249]","(26483, 26483)",ABCD
9,"[37370, 39909, 42104]","(35452, 35452)",ABCD
10,"[27561, 30589, 32858, 41355]","(25576, 25576)",ABCD
11,"[36777, 39230]","(34724, 34724)",ABCD
12,"[24215, 26906, 33065, 38777]","(22907, 22907)",ABCD
13,"[33223, 35816, 38592]","(31565, 31565)",ABCD
14,[41175],"(32057, 32057)",ABCD
15,[41561],"(34651, 34651)",ABCD
16,"[34439, 38231]","(27231, 27231)",ABCD
17,[38471],"(30117, 30117)",ABCD
18,[43127],"(34839, 34839)",ABCD
19,"[33225, 35543, 41008]","(31145, 31145)",ABCD
20,"[31385, 33918, 36623]","(29602, 29602)",ABCD
21,[42359],"(35286, 35286)",ABCD
22,"[25055, 27267, 31662, 41735]","(23261, 23261)",ABCD
23,"[38150, 42705]","(31226, 31226)",ABCD
24,"[37827, 40427, 44238]","(35728, 35728)",ABCD
25,"[35158, 40710]","(28289, 28289)",ABCD
26,"[34882, 38645, 41606]","(32919, 32919)",ABCD
27,"[31970, 42101]","(25194, 25194)",ABCD
28,"[26054, 28062, 36980, 44272]","(24403, 24403)",ABCD
29,"[30608, 33278, 38206, 45233]","(28712, 28712)",ABCD
30,"[29966, 32433, 35444, 39674]","(27688, 27688)",ABCD
31,"[38223, 41604]","(35839, 35839)",ABCD
32,"[31779, 40227]","(27467, 27467)",ABCD
33,"[28100, 32369, 44283]","(23915, 23915)",ABCD
34,[35108],"(29377, 29377)",ABCD
35,"[30653, 33583, 35516, 41648]","(28769, 28769)",ABCD
36,"[26401, 28229, 29950, 35987, 42912]","(24736, 24736)",ABCD
37,"[27771, 41568]","(22756, 22756)",ABCD
38,"[35232, 37346, 43278]","(27671, 27671)",ABCD
39,"[37973, 39968, 43655]","(35844, 35844)",ABCD
40,"[35422, 39963, 44174]","(33862, 33862)",ABCD
41,"[35841, 42709]","(29837, 29837)",ABCD
42,[40345],"(32922, 32922)",ABCD
43,"[27174, 32496]","(22827, 22827)",ABCD
44,"[36617, 40334]","(31349, 31349)",ABCD
45,"[31535, 34426, 38524, 43635]","(28445, 28445)",ABCD
46,"[34253, 45288]","(27613, 27613)",ABCD
47,[36837],"(30264, 30264)",ABCD
48,"[33391, 34857, 36041, 40835]","(31513, 31513)",ABCD
49,"[28058, 31582, 36206, 38960]","(26288, 26288)",ABCD
50,[],"(24577, 24577)",ABCDx
51,[],"(28126, 28126)",ABCDx
52,[],"(35199, 35199)",ABCDx
53,[],"(23626, 23626)",ABCDx
54,[],"(24524, 24524)",ABCDx
55,[],"(29739, 29739)",ABCDx
56,[],"(30448, 30448)",ABCDx
57,[],"(23050, 23050)",ABCDx
58,[],"(26483, 26483)",ABCDx
59,[],"(35452, 35452)",ABCDx
60,[],"(25576, 25576)",ABCDx
61,[],"(34724, 34724)",ABCDx
62,[],"(22907, 22907)",ABCDx
63,[],"(31565, 31565)",ABCDx
64,[],"(32057, 32057)",ABCDx
65,[],"(34651, 34651)",ABCDx
66,[],"(27231, 27231)",ABCDx
67,[],"(30117, 30117)",ABCDx
68,[],"(34839, 34839)",ABCDx
69,[],"(31145, 31145)",ABCDx
70,[],"(29602, 29602)",ABCDx
71,[],"(35286, 35286)",ABCDx
72,[],"(23261, 23261)",ABCDx
73,[],"(31226, 31226)",ABCDx
74,[],"(35728, 35728)",ABCDx
75,[],"(28289, 28289)",ABCDx
76,[],"(32919, 32919)",ABCDx
77,[],"(25194, 25194)",ABCDx
78,[],"(24403, 24403)",ABCDx
79,[],"(28712, 28712)",ABCDx
80,[],"(27688, 27688)",ABCDx
81,[],"(35839, 35839)",ABCDx
82,[],"(27467, 27467)",ABCDx
83,[],"(23915, 23915)",ABCDx
84,[],"(29377, 29377)",ABCDx
85,[],"(28769, 28769)",ABCDx
86,[],"(24736, 24736)",ABCDx
87,[],"(22756, 22756)",ABCDx
88,[],"(27671, 27671)",ABCDx
89,[],"(35844, 35844)",ABCDx
90,[],"(33862, 33862)",ABCDx
91,[],"(29837, 29837)",ABCDx
92,[],"(32922, 32922)",ABCDx
93,[],"(22827, 22827)",ABCDx
94,[],"(31349, 31349)",ABCDx
95,[],"(28445, 28445)",ABCDx
96,[],"(27613, 27613)",ABCDx
97,[],"(30264, 30264)",ABCDx
98,[],"(31513, 31513)",ABCDx
99,[],"(26288, 26288)",ABCDx
100,"[28128, 28352, 28384, 28480, 35168, 36352, 36544, 36608, 36672, 36704, 36832, 36960, 36992, 37088, 38240]","(24577, 24577)",ADWIN
101,"[33888, 34848, 35808, 42240, 42336, 42368, 42464, 42496, 42528, 42592, 42976, 43392, 43712, 44128, 44800]","(28126, 28126)",ADWIN
102,"[41152, 41184, 41248, 41280, 41536, 41696, 42272, 43456]","(35199, 35199)",ADWIN
103,"[26656, 26688, 26752, 26784, 26880, 27104, 27520, 40128, 40544, 40672, 40800, 40928, 41088, 41120, 41216, 41344, 41504, 41696]","(23626, 23626)",ADWIN
104,"[28384, 28416, 28448, 28480, 28512, 28992, 31040, 34528, 35520, 35744, 36896]","(24524, 24524)",ADWIN
105,"[34272, 34464, 34656, 34944, 35040, 35360, 35808, 36128, 36224, 36256, 36384, 36544, 36640, 36736, 36960, 37824, 38048, 40000, 42368, 42432, 42720, 43872]","(29739, 29739)",ADWIN
106,"[35328, 35488, 36704, 36736, 36768, 37024, 37856, 38592, 38848, 38976, 39136, 40960, 41408, 41568, 41728, 41888, 42240, 43296]","(30448, 30448)",ADWIN
107,"[30816, 31072, 31648, 31712, 31840, 31872, 31904, 31936, 32000, 32096, 32288, 36704, 38592, 40096, 40224, 43264, 44352]","(23050, 23050)",ADWIN
108,"[30016, 30080, 30176, 31456, 33344, 33472, 33568, 33696, 33888, 33952, 34176, 34816, 37824, 38432, 38784, 38816, 39008, 39040, 39296, 39392, 40032, 41632, 42560, 44160]","(26483, 26483)",ADWIN
109,"[39840, 39872, 40800, 41184, 41472, 41536, 41696, 41888, 42080, 42208, 42368, 42560, 42752, 42976, 44704, 44928, 45024, 45056, 45152]","(35452, 35452)",ADWIN
110,"[30528, 30624, 31168, 31840, 32256, 32608, 32736, 32832, 32960, 33024, 33088, 33344, 33440, 34464, 38880, 40352, 40448, 40576, 40704, 40800, 40992, 43200]","(25576, 25576)",ADWIN
111,"[39136, 39200, 39328, 39424, 41024, 42336, 42528]","(34724, 34724)",ADWIN
112,"[26720, 26752, 27040, 27104, 27264, 27296, 27392, 27456, 27616, 28480, 33184, 34112, 36832, 37792, 37952, 38048, 38080, 38304, 38432, 38624, 39072, 39584, 39776, 40256, 41280, 44128]","(22907, 22907)",ADWIN
113,"[35584, 35616, 35936, 36160, 36192, 36256, 36352, 36416, 36480, 36576, 36864, 38144, 38560, 38784, 38816, 39008, 39072, 39360, 39488, 40864]","(31565, 31565)",ADWIN
114,"[36736, 36800, 37024, 37280, 38592, 41536, 41952, 42176, 42240, 42432, 42656, 42976, 43936]","(32057, 32057)",ADWIN
115,"[39584, 40160, 40288, 40384, 41312, 45216]","(34651, 34651)",ADWIN
116,"[32064, 32832, 32864, 32896, 33408, 33472, 37856, 37952, 37984, 38176, 38496, 39232, 42592]","(27231, 27231)",ADWIN
117,"[36640, 36704, 37056, 37344, 37408, 37600, 38720, 40416, 41952, 43360]","(30117, 30117)",ADWIN
118,"[40896, 41120, 41280, 41344, 41408, 41440, 41888]","(34839, 34839)",ADWIN
119,"[35264, 35296, 35488, 37344, 40512, 40736, 40768, 40896, 41056, 41344, 43424]","(31145, 31145)",ADWIN
120,"[33728, 33824, 33888, 33920, 34272, 34464, 35328, 35584, 35968, 36032, 36128, 36192, 36256, 36736, 36992, 38080, 44704]","(29602, 29602)",ADWIN
121,"[39040, 39136, 39296, 40352]","(35286, 35286)",ADWIN
122,"[27264, 27296, 27360, 27424, 27456, 27616, 27840, 29024, 31328, 31616, 31680, 31936, 32192, 32256, 32544, 33440, 36672, 40672, 42208]","(23261, 23261)",ADWIN
123,"[36608, 36640, 36736, 36960, 37184, 37696, 37856, 38272, 38592, 39968, 40512, 40736, 41216, 44640]","(31226, 31226)",ADWIN
124,"[40224, 40288, 40352, 40608, 43648, 43872, 44000, 44128, 44448, 44896]","(35728, 35728)",ADWIN
125,"[32928, 34688, 34784, 34848, 35040, 35072, 35136, 35200, 39360, 39552, 39584, 39744, 39840, 39872, 39904, 40000]","(28289, 28289)",ADWIN
126,"[38400, 38432, 38464, 38656, 38688, 38784, 38912, 39104, 39424, 39616, 40064, 40192, 41184, 41440, 42112, 42880, 44800]","(32919, 32919)",ADWIN
127,"[30144, 30496, 30976, 31168, 31584, 31712, 32256, 32512, 33312, 36608, 40416, 41600, 41984, 44352, 45088]","(25194, 25194)",ADWIN
128,"[27904, 27936, 27968, 28064, 28352, 28480, 28512, 28672, 29312, 36800, 37376, 39680, 41504, 41664, 42016, 42144, 42720, 42944, 43648]","(24403, 24403)",ADWIN
129,"[33184, 33568, 33664, 33696, 33728, 33952, 34144, 37984, 38368, 38400, 38432, 38464, 38592, 38688, 40576, 44096, 44160, 44192, 44544, 44704, 44800, 45216]","(28712, 28712)",ADWIN
130,"[32096, 32160, 32192, 32576, 33280, 34592, 35136, 35424, 35456, 37760, 37984, 38592, 38656, 39040, 41312, 42304, 42528, 44224]","(27688, 27688)",ADWIN
131,"[41472, 41632, 41728, 41856, 42240, 42880, 43136, 43584]","(35839, 35839)",ADWIN
132,"[30336, 30368, 30400, 30432, 30496, 30560, 36960, 39040, 39712, 39968, 40192, 40576, 41440]","(27467, 27467)",ADWIN
133,"[26592, 26720, 26848, 26880, 28960, 30048, 30272, 30944, 32800, 33344, 33568, 35104, 37568, 40160, 42912, 43200]","(23915, 23915)",ADWIN
134,"[19648, 33856, 33888, 33984, 34016, 34080, 34336, 34592, 35296, 43488, 44032, 44064, 44096, 44160, 44448, 44480, 44576]","(29377, 29377)",ADWIN
135,"[33344, 33376, 33408, 33440, 33664, 33696, 34432, 35136, 35200, 35552, 36000, 36128, 36224, 36416, 40800, 40864, 40896, 40928, 41280, 41888, 42560]","(28769, 28769)",ADWIN
136,"[28032, 28064, 28288, 29376, 29696, 29824, 29856, 29952, 30080, 30144, 31072, 33184, 35552, 36096, 36448, 37024, 38240, 41632, 41792, 41824, 41952, 42048, 42080, 42400, 42880]","(24736, 24736)",ADWIN
137,"[26944, 26976, 27008, 27104, 27328, 27392, 27456, 27552, 27648, 27680, 27744, 27872, 34592, 41024]","(22756, 22756)",ADWIN
138,"[32544, 35872, 36096, 36448, 36512, 36640, 36768, 36896, 36992, 37120, 37248, 37920, 41632, 42208, 42400, 43008, 43136]","(27671, 27671)",ADWIN
139,"[39872, 39936, 40128, 40160, 40544, 42560, 43072, 43232, 43264, 43392, 43552, 43776, 44096]","(35844, 35844)",ADWIN
140,"[39168, 40096, 40800, 41152, 41504, 41600, 41824, 41952, 42464, 44032, 45120]","(33862, 33862)",ADWIN
141,"[33824, 33920, 33952, 34624, 35840, 38080, 39296, 39840, 40960, 41280, 42592, 42624, 42656, 42688, 42944, 43168]","(29837, 29837)",ADWIN
142,"[37856, 37920, 38400, 38848, 39104, 39168, 39392, 39456, 39488, 40320, 41408]","(32922, 32922)",ADWIN
143,"[25536, 25632, 27232, 27488, 27616, 28128, 31776, 31872, 31936, 32000, 32160, 32352, 33184]","(22827, 22827)",ADWIN
144,"[34464, 34656, 35552, 36256, 36544, 36672, 36736, 36992, 37888, 39040, 39168, 39392, 40000]","(31349, 31349)",ADWIN
145,"[33824, 33984, 34112, 34464, 34976, 35168, 35328, 35488, 35616, 36864, 37888, 38336, 38624, 38976, 40928, 41120, 41440, 41568, 43936]","(28445, 28445)",ADWIN
146,"[31552, 32448, 34912, 34976, 35040, 35072, 35104, 35616, 36640, 42848, 44128]","(27613, 27613)",ADWIN
147,"[35840, 35904, 35936, 36000, 36064, 36096, 36128, 36160, 36192, 36448, 36704, 37536]","(30264, 30264)",ADWIN
148,"[34752, 34848, 34944, 35232, 35456, 35776, 35904, 35936, 36000, 36064, 37120, 40256, 40864, 41696, 44128]","(31513, 31513)",ADWIN
149,"[31200, 31328, 31360, 31392, 31456, 33760, 35776, 35808, 36000, 36032, 36160, 36320, 36480, 36608, 36672, 36992, 37760, 38016, 38304, 38464, 38624, 38688]","(26288, 26288)",ADWIN
150,"[23243, 28007, 33928, 36841]","(24577, 24577)",CUSUM
151,"[22344, 33884, 39095, 42355]","(28126, 28126)",CUSUM
152,"[19088, 42582, 44817]","(35199, 35199)",CUSUM
153,"[26615, 37896, 41943]","(23626, 23626)",CUSUM
154,"[20054, 28395, 34179]","(24524, 24524)",CUSUM
155,"[18300, 24169, 35791, 37102, 42752]","(29739, 29739)",CUSUM
156,"[29490, 36724, 38585, 41505]","(30448, 30448)",CUSUM
157,"[16030, 30462, 32106, 36898]","(23050, 23050)",CUSUM
158,"[33286, 37093, 39818]","(26483, 26483)",CUSUM
159,"[22695, 42190, 45041]","(35452, 35452)",CUSUM
160,"[32276, 33885, 41124]","(25576, 25576)",CUSUM
161,"[26803, 39901, 42408]","(34724, 34724)",CUSUM
162,"[27589, 31857, 37585, 41357]","(22907, 22907)",CUSUM
163,"[37314, 39089]","(31565, 31565)",CUSUM
164,"[20039, 30036, 36701, 41371]","(32057, 32057)",CUSUM
165,"[39533, 44659]","(34651, 34651)",CUSUM
166,"[32598, 37721]","(27231, 27231)",CUSUM
167,"[19857, 35353, 37585, 40022, 45162]","(30117, 30117)",CUSUM
168,"[28906, 40394, 44000]","(34839, 34839)",CUSUM
169,"[37353, 40575]","(31145, 31145)",CUSUM
170,"[35240, 36878, 44931]","(29602, 29602)",CUSUM
171,"[31297, 39016]","(35286, 35286)",CUSUM
172,"[27642, 31213, 39561]","(23261, 23261)",CUSUM
173,"[16594, 36398, 38275, 42649]","(31226, 31226)",CUSUM
174,[43596],"(35728, 35728)",CUSUM
175,"[19998, 22834, 32848, 35010, 39866]","(28289, 28289)",CUSUM
176,"[24554, 27872, 39067, 40780]","(32919, 32919)",CUSUM
177,"[17115, 30248, 32027, 39963]","(25194, 25194)",CUSUM
178,"[28369, 36095, 43980]","(24403, 24403)",CUSUM
179,"[34516, 37827, 43442]","(28712, 28712)",CUSUM
180,"[19358, 33308, 35138, 38650, 43675]","(27688, 27688)",CUSUM
181,"[22089, 43597]","(35839, 35839)",CUSUM
182,"[30447, 37372]","(27467, 27467)",CUSUM
183,"[26621, 29879, 34436]","(23915, 23915)",CUSUM
184,"[19569, 29448, 33774, 41828]","(29377, 29377)",CUSUM
185,"[35093, 36758, 40812]","(28769, 28769)",CUSUM
186,"[20076, 29773, 32177, 35759, 42520]","(24736, 24736)",CUSUM
187,"[22604, 26568, 27756]","(22756, 22756)",CUSUM
188,"[32474, 35644, 37295, 44095]","(27671, 27671)",CUSUM
189,"[32585, 40759, 42779]","(35844, 35844)",CUSUM
190,"[41953, 45035]","(33862, 33862)",CUSUM
191,"[27799, 33154, 36460, 39479, 42848]","(29837, 29837)",CUSUM
192,"[19338, 27509, 38468, 40075]","(32922, 32922)",CUSUM
193,"[21659, 25417, 27556, 31993]","(22827, 22827)",CUSUM
194,"[22798, 34686, 36243, 39323]","(31349, 31349)",CUSUM
195,"[34371, 37443, 43253]","(28445, 28445)",CUSUM
196,"[16733, 31441, 34942, 43093]","(27613, 27613)",CUSUM
197,"[16315, 20313, 35079, 36484]","(30264, 30264)",CUSUM
198,"[14448, 35879, 40338]","(31513, 31513)",CUSUM
199,"[35483, 36833, 38687]","(26288, 26288)",CUSUM
200,"[29008, 37758]","(24577, 24577)",DDM
201,"[34718, 43291]","(28126, 28126)",DDM
202,[45035],"(35199, 35199)",DDM
203,"[27416, 36612, 41831]","(23626, 23626)",DDM
204,"[21675, 28461, 32550]","(24524, 24524)",DDM
205,"[36775, 43163]","(29739, 29739)",DDM
206,"[38962, 40946, 42785]","(30448, 30448)",DDM
207,[31645],"(23050, 23050)",DDM
208,"[33949, 43241]","(26483, 26483)",DDM
209,[],"(35452, 35452)",DDM
210,[32909],"(25576, 25576)",DDM
211,[],"(34724, 34724)",DDM
212,"[28249, 41101]","(22907, 22907)",DDM
213,"[38256, 39354]","(31565, 31565)",DDM
214,[],"(32057, 32057)",DDM
215,"[40362, 45209]","(34651, 34651)",DDM
216,[33231],"(27231, 27231)",DDM
217,"[39836, 44775]","(30117, 30117)",DDM
218,[],"(34839, 34839)",DDM
219,"[39215, 41527]","(31145, 31145)",DDM
220,"[36080, 37426]","(29602, 29602)",DDM
221,[41466],"(35286, 35286)",DDM
222,"[28158, 31787]","(23261, 23261)",DDM
223,"[17835, 37095, 39878]","(31226, 31226)",DDM
224,[44587],"(35728, 35728)",DDM
225,"[23573, 33443, 34655, 41376]","(28289, 28289)",DDM
226,[40455],"(32919, 32919)",DDM
227,[44683],"(25194, 25194)",DDM
228,"[11423, 28701]","(24403, 24403)",DDM
229,"[35757, 40832]","(28712, 28712)",DDM
230,"[34613, 35318, 37897]","(27688, 27688)",DDM
231,[],"(35839, 35839)",DDM
232,"[30905, 44943]","(27467, 27467)",DDM
233,[],"(23915, 23915)",DDM
234,[35437],"(29377, 29377)",DDM
235,"[35819, 40865]","(28769, 28769)",DDM
236,[30502],"(24736, 24736)",DDM
237,[30472],"(22756, 22756)",DDM
238,[44257],"(27671, 27671)",DDM
239,"[35806, 40274, 42868]","(35844, 35844)",DDM
240,[43577],"(33862, 33862)",DDM
241,"[38617, 43476]","(29837, 29837)",DDM
242,[44828],"(32922, 32922)",DDM
243,[30383],"(22827, 22827)",DDM
244,[35793],"(31349, 31349)",DDM
245,[40707],"(28445, 28445)",DDM
246,"[17070, 17715]","(27613, 27613)",DDM
247,[36176],"(30264, 30264)",DDM
248,[],"(31513, 31513)",DDM
249,[36350],"(26288, 26288)",DDM
250,[],"(24577, 24577)",EWMAChart
251,[],"(28126, 28126)",EWMAChart
252,[],"(35199, 35199)",EWMAChart
253,[],"(23626, 23626)",EWMAChart
254,[],"(24524, 24524)",EWMAChart
255,[],"(29739, 29739)",EWMAChart
256,[],"(30448, 30448)",EWMAChart
257,[],"(23050, 23050)",EWMAChart
258,[],"(26483, 26483)",EWMAChart
259,[],"(35452, 35452)",EWMAChart
