,preds,true,detector_name
0,[37638],"(36692, 36692)",ABCD
1,[29950],"(29279, 29279)",ABCD
2,[31814],"(31373, 31373)",ABCD
3,[40766],"(40214, 40214)",ABCD
4,[41089],"(39907, 39907)",ABCD
5,[41064],"(39396, 39396)",ABCD
6,[30180],"(29825, 29825)",ABCD
7,[31998],"(30776, 30776)",ABCD
8,[35786],"(34512, 34512)",ABCD
9,[30947],"(29966, 29966)",ABCD
10,[41028],"(39661, 39661)",ABCD
11,[33552],"(32232, 32232)",ABCD
12,[38269],"(37063, 37063)",ABCD
13,[32359],"(31980, 31980)",ABCD
14,[39200],"(38686, 38686)",ABCD
15,[35785],"(34253, 34253)",ABCD
16,[32216],"(31201, 31201)",ABCD
17,[36860],"(35430, 35430)",ABCD
18,[36853],"(36376, 36376)",ABCD
19,[33311],"(32973, 32973)",ABCD
20,[32624],"(32236, 32236)",ABCD
21,[33529],"(31962, 31962)",ABCD
22,[40009],"(38604, 38604)",ABCD
23,[34329],"(33371, 33371)",ABCD
24,[32517],"(32085, 32085)",ABCD
25,[34485],"(33118, 33118)",ABCD
26,[29964],"(29696, 29696)",ABCD
27,[35112],"(33564, 33564)",ABCD
28,[37535],"(37127, 37127)",ABCD
29,[33637],"(33301, 33301)",ABCD
30,[41834],"(40607, 40607)",ABCD
31,[28552],"(27423, 27423)",ABCD
32,[29629],"(28629, 28629)",ABCD
33,[31450],"(30547, 30547)",ABCD
34,[36893],"(35666, 35666)",ABCD
35,[34038],"(32452, 32452)",ABCD
36,[39654],"(39091, 39091)",ABCD
37,[29323],"(28973, 28973)",ABCD
38,[38951],"(37523, 37523)",ABCD
39,[37333],"(36295, 36295)",ABCD
40,[38712],"(36921, 36921)",ABCD
41,[27579],"(27405, 27405)",ABCD
42,[32718],"(32360, 32360)",ABCD
43,[37731],"(37268, 37268)",ABCD
44,[32383],"(31979, 31979)",ABCD
45,[40301],"(39029, 39029)",ABCD
46,[35643],"(35187, 35187)",ABCD
47,[33775],"(33382, 33382)",ABCD
48,[41299],"(40712, 40712)",ABCD
49,[34627],"(33271, 33271)",ABCD
50,[],"(36692, 36692)",ABCDx
51,[],"(29279, 29279)",ABCDx
52,[],"(31373, 31373)",ABCDx
53,[],"(40214, 40214)",ABCDx
54,[],"(39907, 39907)",ABCDx
55,[],"(39396, 39396)",ABCDx
56,[],"(29825, 29825)",ABCDx
57,[],"(30776, 30776)",ABCDx
58,[],"(34512, 34512)",ABCDx
59,[],"(29966, 29966)",ABCDx
60,[],"(39661, 39661)",ABCDx
61,[],"(32232, 32232)",ABCDx
62,[],"(37063, 37063)",ABCDx
63,[],"(31980, 31980)",ABCDx
64,[],"(38686, 38686)",ABCDx
65,[],"(34253, 34253)",ABCDx
66,[],"(31201, 31201)",ABCDx
67,[],"(35430, 35430)",ABCDx
68,[],"(36376, 36376)",ABCDx
69,[],"(32973, 32973)",ABCDx
70,[],"(32236, 32236)",ABCDx
71,[],"(31962, 31962)",ABCDx
72,[],"(38604, 38604)",ABCDx
73,[],"(33371, 33371)",ABCDx
74,[],"(32085, 32085)",ABCDx
75,[],"(33118, 33118)",ABCDx
76,[],"(29696, 29696)",ABCDx
77,[],"(33564, 33564)",ABCDx
78,[],"(37127, 37127)",ABCDx
79,[],"(33301, 33301)",ABCDx
80,[],"(40607, 40607)",ABCDx
81,[],"(27423, 27423)",ABCDx
82,[],"(28629, 28629)",ABCDx
83,[],"(30547, 30547)",ABCDx
84,[],"(35666, 35666)",ABCDx
85,[],"(32452, 32452)",ABCDx
86,[],"(39091, 39091)",ABCDx
87,[],"(28973, 28973)",ABCDx
88,[],"(37523, 37523)",ABCDx
89,[],"(36295, 36295)",ABCDx
90,[],"(36921, 36921)",ABCDx
91,[],"(27405, 27405)",ABCDx
92,[],"(32360, 32360)",ABCDx
93,[],"(37268, 37268)",ABCDx
94,[],"(31979, 31979)",ABCDx
95,[],"(39029, 39029)",ABCDx
96,[],"(35187, 35187)",ABCDx
97,[],"(33382, 33382)",ABCDx
98,[],"(40712, 40712)",ABCDx
99,[],"(33271, 33271)",ABCDx
100,[],"(36692, 36692)",ADWIN
101,[],"(29279, 29279)",ADWIN
102,[],"(31373, 31373)",ADWIN
103,[],"(40214, 40214)",ADWIN
104,[],"(39907, 39907)",ADWIN
105,[],"(39396, 39396)",ADWIN
106,[],"(29825, 29825)",ADWIN
107,[],"(30776, 30776)",ADWIN
108,[],"(34512, 34512)",ADWIN
109,[],"(29966, 29966)",ADWIN
110,[],"(39661, 39661)",ADWIN
111,[],"(32232, 32232)",ADWIN
112,[],"(37063, 37063)",ADWIN
113,[],"(31980, 31980)",ADWIN
114,[],"(38686, 38686)",ADWIN
115,[],"(34253, 34253)",ADWIN
116,[],"(31201, 31201)",ADWIN
117,[],"(35430, 35430)",ADWIN
118,[],"(36376, 36376)",ADWIN
119,[],"(32973, 32973)",ADWIN
120,[],"(32236, 32236)",ADWIN
121,[],"(31962, 31962)",ADWIN
122,[],"(38604, 38604)",ADWIN
123,[],"(33371, 33371)",ADWIN
124,[],"(32085, 32085)",ADWIN
125,[],"(33118, 33118)",ADWIN
126,[],"(29696, 29696)",ADWIN
127,[],"(33564, 33564)",ADWIN
128,[],"(37127, 37127)",ADWIN
129,[],"(33301, 33301)",ADWIN
130,[],"(40607, 40607)",ADWIN
131,[],"(27423, 27423)",ADWIN
132,[],"(28629, 28629)",ADWIN
133,[],"(30547, 30547)",ADWIN
134,[],"(35666, 35666)",ADWIN
135,[],"(32452, 32452)",ADWIN
136,[],"(39091, 39091)",ADWIN
137,[],"(28973, 28973)",ADWIN
138,[],"(37523, 37523)",ADWIN
139,[],"(36295, 36295)",ADWIN
140,[],"(36921, 36921)",ADWIN
141,[],"(27405, 27405)",ADWIN
142,[],"(32360, 32360)",ADWIN
143,[],"(37268, 37268)",ADWIN
144,[],"(31979, 31979)",ADWIN
145,[],"(39029, 39029)",ADWIN
146,[],"(35187, 35187)",ADWIN
147,[],"(33382, 33382)",ADWIN
148,[],"(40712, 40712)",ADWIN
149,[],"(33271, 33271)",ADWIN
150,[35918],"(36692, 36692)",CUSUM
151,[],"(29279, 29279)",CUSUM
152,[],"(31373, 31373)",CUSUM
153,[37046],"(40214, 40214)",CUSUM
154,[24813],"(39907, 39907)",CUSUM
155,[32794],"(39396, 39396)",CUSUM
156,[],"(29825, 29825)",CUSUM
157,[],"(30776, 30776)",CUSUM
