,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,0.0,50.0,0.0,1.0,1.0,1.0,1.0,905.04,0.0,1.1034604519774012,50.0,50.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,17.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.3751765536723164,0.3751765536723164,50.0,17.0
DDM,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.022069209039548024,0.022069209039548024,50.0,1.0
EWMAChart,7.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.15448446327683618,0.15448446327683618,50.0,7.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,8.0,4.0,46.0,0.3333333333333333,0.08,0.08,0.12903225806451613,1421.0,0.1765536723163842,0.2648305084745763,50.0,12.0
HDDMWeighted,202.0,45.0,21.0,0.18218623481781376,0.6818181818181818,0.58,0.28753993610223644,1190.551724137931,4.457980225988701,5.451094632768362,50.0,247.0
PageHinkley,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.04413841807909605,0.04413841807909605,50.0,2.0
RDDM,42.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.926906779661017,0.926906779661017,50.0,42.0
SEED,7.0,51.0,0.0,0.8793103448275862,1.0,1.0,0.9357798165137614,122.98,0.15448446327683618,1.2800141242937852,50.0,58.0
STEPD,302.0,104.0,0.0,0.2561576354679803,1.0,1.0,0.40784313725490196,69.68,6.664901129943503,8.960098870056497,50.0,406.0
STUDD,119.0,30.0,36.0,0.20134228187919462,0.45454545454545453,0.28,0.27906976744186046,1204.4285714285713,2.626235875706215,3.2883121468926553,50.0,149.0
