,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,3.0,57.0,2.0,0.95,0.9661016949152542,0.96,0.957983193277311,1639.5208333333333,0.06620762711864407,1.3241525423728813,50.0,60.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,36.0,4.0,46.0,0.1,0.08,0.08,0.08888888888888889,164.75,0.7944915254237289,0.8827683615819208,50.0,40.0
DDM,334.0,5.0,45.0,0.014749262536873156,0.1,0.1,0.025706940874035987,432.2,7.371115819209039,7.481461864406779,50.0,339.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,9892.0,1236.0,0.0,0.11107117181883537,1.0,1.0,0.19993529602070528,50.92,218.30861581920905,245.5861581920904,50.0,11128.0
HDDMAverage,6.0,1.0,49.0,0.14285714285714285,0.02,0.02,0.03508771929824562,1902.0,0.13241525423728814,0.15448446327683618,50.0,7.0
HDDMWeighted,1287.0,178.0,0.0,0.12150170648464163,1.0,1.0,0.216676810712112,841.34,28.403072033898304,32.331391242937855,50.0,1465.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,12048.0,1296.0,6.0,0.09712230215827339,0.9953917050691244,0.88,0.17697664891437936,84.1590909090909,265.8898305084746,294.49152542372883,50.0,13344.0
SEED,47.0,100.0,1.0,0.6802721088435374,0.9900990099009901,0.98,0.8064516129032258,875.469387755102,1.0372528248587571,3.2441737288135593,50.0,147.0
STEPD,86.0,85.0,0.0,0.49707602339181284,1.0,1.0,0.6640625,885.64,1.89795197740113,3.773834745762712,50.0,171.0
STUDD,133.0,17.0,42.0,0.11333333333333333,0.288135593220339,0.16,0.16267942583732056,1239.625,2.9352048022598867,3.3103813559322033,50.0,150.0
