,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,30.0,7.0,43.0,0.1891891891891892,0.14,0.14,0.16091954022988506,693.8571428571429,2.156721782890007,2.659956865564342,50.0,37.0
ABCDx,34.0,0.0,50.0,0.0,0.0,0.0,0.0,,2.444284687275341,2.444284687275341,50.0,34.0
ADWIN,155.0,67.0,29.0,0.30180180180180183,0.6979166666666666,0.42,0.42138364779874216,875.6190476190476,11.143062544931704,15.959741193386053,50.0,222.0
CUSUM,46.0,17.0,34.0,0.2698412698412698,0.3333333333333333,0.32,0.2982456140350877,647.5,3.3069734004313442,4.529115744069015,50.0,63.0
DDM,17.0,8.0,43.0,0.32,0.1568627450980392,0.14,0.21052631578947367,975.7142857142857,1.2221423436376706,1.7972681524083394,50.0,25.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,40.0,19.0,32.0,0.3220338983050847,0.37254901960784315,0.36,0.3454545454545454,1071.5,2.875629043853343,4.241552839683681,50.0,59.0
HDDMWeighted,179.0,33.0,28.0,0.15566037735849056,0.5409836065573771,0.44,0.24175824175824173,529.6818181818181,12.86843997124371,15.240833932422717,50.0,212.0
PageHinkley,36.0,14.0,36.0,0.28,0.28,0.28,0.28,770.8571428571429,2.5880661394680087,3.5945363048166787,50.0,50.0
RDDM,84.0,20.0,32.0,0.19230769230769232,0.38461538461538464,0.36,0.2564102564102564,795.6666666666666,6.03882099209202,7.4766355140186915,50.0,104.0
SEED,65.0,22.0,28.0,0.25287356321839083,0.44,0.44,0.32116788321167883,1014.3181818181819,4.672897196261682,6.2544931703810205,50.0,87.0
STEPD,138.0,29.0,25.0,0.17365269461077845,0.5370370370370371,0.5,0.26244343891402716,755.28,9.920920201294033,12.005751258087706,50.0,167.0
STUDD,242.0,2.0,48.0,0.00819672131147541,0.04,0.04,0.013605442176870748,354.5,17.397555715312723,17.541337167505393,50.0,244.0
