,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,32.0,5.0,45.0,0.13513513513513514,0.1,0.1,0.11494252873563218,1275.8,2.3005032350826746,2.659956865564342,50.0,37.0
ABCDx,6.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.43134435657800146,0.43134435657800146,50.0,6.0
ADWIN,126.0,52.0,33.0,0.29213483146067415,0.611764705882353,0.34,0.39543726235741444,699.5294117647059,9.05823148813803,12.796549245147375,50.0,178.0
CUSUM,32.0,18.0,32.0,0.36,0.36,0.36,0.36,663.8333333333334,2.3005032350826746,3.5945363048166787,50.0,50.0
DDM,791.0,111.0,14.0,0.12305986696230599,0.888,0.72,0.21616358325219082,315.05555555555554,56.86556434219986,64.8454349388929,50.0,902.0
EWMAChart,22.0,8.0,42.0,0.26666666666666666,0.16,0.16,0.2,848.625,1.5815959741193386,2.156721782890007,50.0,30.0
GeometricMovingAverage,3586.0,560.0,0.0,0.13506994693680657,1.0,1.0,0.23799405014874628,52.36,257.8001437814522,298.058950395399,50.0,4146.0
HDDMAverage,52.0,16.0,36.0,0.23529411764705882,0.3076923076923077,0.28,0.26666666666666666,711.8571428571429,3.7383177570093458,4.888569374550682,50.0,68.0
HDDMWeighted,544.0,92.0,8.0,0.14465408805031446,0.92,0.84,0.25,369.45238095238096,39.10855499640546,45.72250179726815,50.0,636.0
PageHinkley,24.0,11.0,39.0,0.3142857142857143,0.22,0.22,0.25882352941176473,781.8181818181819,1.7253774263120059,2.516175413371675,50.0,35.0
RDDM,5546.0,866.0,0.0,0.13505926388022457,1.0,1.0,0.23797746633690572,38.08,398.705966930266,460.96333572969087,50.0,6412.0
SEED,63.0,26.0,26.0,0.29213483146067415,0.5,0.48,0.36879432624113473,920.2083333333334,4.529115744069015,6.3982746225736875,50.0,89.0
STEPD,56.0,25.0,26.0,0.30864197530864196,0.49019607843137253,0.48,0.3787878787878788,900.375,4.02588066139468,5.823148813803019,50.0,81.0
STUDD,165.0,66.0,30.0,0.2857142857142857,0.6875,0.4,0.4036697247706422,653.8,11.86196980589504,16.606757728253054,50.0,231.0
