,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,27.0,43.0,13.0,0.6142857142857143,0.7678571428571429,0.74,0.6825396825396827,584.2162162162163,1.9410496046010064,5.03235082674335,50.0,70.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,146.0,61.0,29.0,0.2946859903381642,0.6777777777777778,0.42,0.41077441077441074,967.2857142857143,10.4960460100647,14.88138030194105,50.0,207.0
CUSUM,66.0,5.0,45.0,0.07042253521126761,0.1,0.1,0.08264462809917357,965.2,4.744787922358015,5.104241552839683,50.0,71.0
DDM,35.0,1.0,49.0,0.027777777777777776,0.02,0.02,0.023255813953488372,582.0,2.516175413371675,2.5880661394680087,50.0,36.0
EWMAChart,4.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.28756290438533433,0.28756290438533433,50.0,4.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,57.0,45.0,12.0,0.4411764705882353,0.7894736842105263,0.76,0.5660377358490566,887.0,4.097771387491013,7.3328540618260245,50.0,102.0
HDDMWeighted,254.0,71.0,3.0,0.21846153846153846,0.9594594594594594,0.94,0.3558897243107769,740.2340425531914,18.260244428468727,23.36448598130841,50.0,325.0
PageHinkley,18.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.2940330697340043,1.2940330697340043,50.0,18.0
RDDM,113.0,7.0,43.0,0.058333333333333334,0.14,0.14,0.08235294117647059,991.8571428571429,8.123652048885694,8.626887131560029,50.0,120.0
SEED,60.0,105.0,0.0,0.6363636363636364,1.0,1.0,0.7777777777777778,60.1,4.313443565780014,11.86196980589504,50.0,165.0
STEPD,180.0,109.0,3.0,0.3771626297577855,0.9732142857142857,0.94,0.543640897755611,23.78723404255319,12.940330697340043,20.776419841840404,50.0,289.0
STUDD,537.0,23.0,38.0,0.04107142857142857,0.3770491803278688,0.24,0.07407407407407407,1036.25,38.60531991373113,40.2588066139468,50.0,560.0
