,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,29.0,42.0,8.0,0.5915492957746479,0.84,0.84,0.6942148760330579,1107.452380952381,2.0848310567936736,5.104241552839683,50.0,71.0
ABCDx,21.0,16.0,34.0,0.43243243243243246,0.32,0.32,0.36781609195402293,1426.1875,1.509705248023005,2.659956865564342,50.0,37.0
ADWIN,104.0,5.0,45.0,0.045871559633027525,0.1,0.1,0.06289308176100629,55.8,7.4766355140186915,7.836089144500359,50.0,109.0
CUSUM,20.0,1.0,49.0,0.047619047619047616,0.02,0.02,0.028169014084507043,59.0,1.4378145219266716,1.509705248023005,50.0,21.0
DDM,900.0,51.0,29.0,0.05362776025236593,0.6375,0.42,0.09893307468477205,262.5238095238095,64.70165348670022,68.36808051761322,50.0,951.0
EWMAChart,15.0,1.0,49.0,0.0625,0.02,0.02,0.030303030303030304,4.0,1.0783608914450036,1.1502516175413373,50.0,16.0
GeometricMovingAverage,4450.0,750.0,0.0,0.14423076923076922,1.0,1.0,0.25210084033613445,52.88,319.9137311286844,373.83177570093454,50.0,5200.0
HDDMAverage,70.0,7.0,43.0,0.09090909090909091,0.14,0.14,0.11023622047244096,987.5714285714286,5.03235082674335,5.535585909417685,50.0,77.0
HDDMWeighted,827.0,114.0,3.0,0.12114771519659936,0.9743589743589743,0.94,0.21550094517958412,532.0212765957447,59.453630481667865,67.64917325664989,50.0,941.0
PageHinkley,14.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.00647016534867,1.00647016534867,50.0,14.0
RDDM,7041.0,1151.0,1.0,0.1405029296875,0.9991319444444444,0.98,0.24636130136986298,68.65306122448979,506.1826024442847,588.9288281811647,50.0,8192.0
SEED,74.0,64.0,0.0,0.463768115942029,1.0,1.0,0.6336633663366337,462.5,5.319913731128684,9.920920201294033,50.0,138.0
STEPD,62.0,53.0,0.0,0.4608695652173913,1.0,1.0,0.6309523809523809,533.06,4.457225017972682,8.26743350107836,50.0,115.0
STUDD,388.0,30.0,35.0,0.07177033492822966,0.46153846153846156,0.3,0.12422360248447203,501.6,27.893601725377426,30.050323508267432,50.0,418.0
