,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,25.0,5.0,45.0,0.16666666666666666,0.1,0.1,0.125,1006.8,1.7972681524083394,2.156721782890007,50.0,30.0
ABCDx,10.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.7189072609633358,0.7189072609633358,50.0,10.0
ADWIN,105.0,57.0,31.0,0.35185185185185186,0.6477272727272727,0.38,0.456,683.0,7.548526240115025,11.646297627606039,50.0,162.0
CUSUM,45.0,21.0,29.0,0.3181818181818182,0.42,0.42,0.3620689655172414,827.6666666666666,3.2350826743350107,4.744787922358015,50.0,66.0
DDM,27.0,12.0,38.0,0.3076923076923077,0.24,0.24,0.26966292134831465,992.0833333333334,1.9410496046010064,2.803738317757009,50.0,39.0
EWMAChart,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.07189072609633358,0.07189072609633358,50.0,1.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,38.0,13.0,37.0,0.2549019607843137,0.26,0.26,0.25742574257425743,882.8461538461538,2.7318475916606757,3.6664270309130123,50.0,51.0
HDDMWeighted,186.0,40.0,19.0,0.17699115044247787,0.6779661016949152,0.62,0.2807017543859649,644.9677419354839,13.371675053918045,16.247304097771387,50.0,226.0
PageHinkley,31.0,18.0,32.0,0.3673469387755102,0.36,0.36,0.3636363636363636,696.3333333333334,2.228612508986341,3.5226455787203452,50.0,49.0
RDDM,88.0,31.0,27.0,0.2605042016806723,0.5344827586206896,0.46,0.3502824858757062,855.7826086956521,6.326383896477354,8.554996405463694,50.0,119.0
SEED,49.0,18.0,32.0,0.26865671641791045,0.36,0.36,0.3076923076923077,778.1666666666666,3.5226455787203452,4.816678648454349,50.0,67.0
STEPD,145.0,40.0,19.0,0.21621621621621623,0.6779661016949152,0.62,0.3278688524590164,654.0,10.42415528396837,13.299784327821712,50.0,185.0
STUDD,287.0,1.0,49.0,0.003472222222222222,0.02,0.02,0.00591715976331361,467.0,20.632638389647735,20.70452911574407,50.0,288.0
