,preds,true,detector_name
0,[11267],"(10210, 10210)",ABCD
1,[],"(10127, 10127)",ABCD
2,[11349],"(10325, 10325)",ABCD
3,[],"(9131, 9131)",ABCD
4,[10456],"(7284, 7284)",ABCD
5,[11811],"(8251, 8251)",ABCD
6,[11007],"(9987, 9987)",ABCD
7,[13370],"(7473, 7473)",ABCD
8,[10639],"(9171, 9171)",ABCD
9,[12787],"(8803, 8803)",ABCD
10,[11992],"(7760, 7760)",ABCD
11,[12216],"(7041, 7041)",ABCD
12,[11071],"(7716, 7716)",ABCD
13,[11080],"(11029, 11029)",ABCD
14,[10628],"(8897, 8897)",ABCD
15,[12319],"(10893, 10893)",ABCD
16,[10979],"(8227, 8227)",ABCD
17,[10508],"(10591, 10591)",ABCD
18,[10875],"(7078, 7078)",ABCD
19,[12365],"(9953, 9953)",ABCD
20,[12184],"(9515, 9515)",ABCD
21,[],"(9654, 9654)",ABCD
22,[11978],"(7091, 7091)",ABCD
23,[],"(7178, 7178)",ABCD
24,[11909],"(9530, 9530)",ABCD
25,[12331],"(6956, 6956)",ABCD
26,[12522],"(7120, 7120)",ABCD
27,[],"(10143, 10143)",ABCD
28,[12918],"(9943, 9943)",ABCD
29,[10520],"(8965, 8965)",ABCD
30,[11395],"(10221, 10221)",ABCD
31,[11933],"(9402, 9402)",ABCD
32,[11490],"(7703, 7703)",ABCD
33,[],"(7915, 7915)",ABCD
34,[10254],"(9219, 9219)",ABCD
35,[11416],"(7126, 7126)",ABCD
36,[12353],"(7286, 7286)",ABCD
37,[],"(10205, 10205)",ABCD
38,[],"(9376, 9376)",ABCD
39,[12482],"(8161, 8161)",ABCD
40,[12159],"(8288, 8288)",ABCD
41,[13102],"(7041, 7041)",ABCD
42,[],"(9756, 9756)",ABCD
43,[],"(10795, 10795)",ABCD
44,[11243],"(9436, 9436)",ABCD
45,[10967],"(9552, 9552)",ABCD
46,[12066],"(9969, 9969)",ABCD
47,[12268],"(10872, 10872)",ABCD
48,[11010],"(10623, 10623)",ABCD
49,[11129],"(9128, 9128)",ABCD
50,[12580],"(10210, 10210)",ABCDx
51,[],"(10127, 10127)",ABCDx
52,[],"(10325, 10325)",ABCDx
53,[],"(9131, 9131)",ABCDx
54,[],"(7284, 7284)",ABCDx
55,[10568],"(8251, 8251)",ABCDx
56,[],"(9987, 9987)",ABCDx
57,[10359],"(7473, 7473)",ABCDx
58,[],"(9171, 9171)",ABCDx
59,[],"(8803, 8803)",ABCDx
60,[],"(7760, 7760)",ABCDx
61,[],"(7041, 7041)",ABCDx
62,[],"(7716, 7716)",ABCDx
63,[13841],"(11029, 11029)",ABCDx
64,[],"(8897, 8897)",ABCDx
65,[13324],"(10893, 10893)",ABCDx
66,[],"(8227, 8227)",ABCDx
67,[],"(10591, 10591)",ABCDx
68,[],"(7078, 7078)",ABCDx
69,[12836],"(9953, 9953)",ABCDx
70,[],"(9515, 9515)",ABCDx
71,[],"(9654, 9654)",ABCDx
72,[],"(7091, 7091)",ABCDx
73,[],"(7178, 7178)",ABCDx
74,[],"(9530, 9530)",ABCDx
75,[10182],"(6956, 6956)",ABCDx
76,[9355],"(7120, 7120)",ABCDx
77,[],"(10143, 10143)",ABCDx
78,[],"(9943, 9943)",ABCDx
79,[],"(8965, 8965)",ABCDx
80,[],"(10221, 10221)",ABCDx
81,[],"(9402, 9402)",ABCDx
82,[],"(7703, 7703)",ABCDx
83,[],"(7915, 7915)",ABCDx
84,[],"(9219, 9219)",ABCDx
85,[],"(7126, 7126)",ABCDx
86,[],"(7286, 7286)",ABCDx
87,[],"(10205, 10205)",ABCDx
88,[],"(9376, 9376)",ABCDx
89,[],"(8161, 8161)",ABCDx
90,[10846],"(8288, 8288)",ABCDx
91,[],"(7041, 7041)",ABCDx
92,[],"(9756, 9756)",ABCDx
93,[],"(10795, 10795)",ABCDx
94,[11698],"(9436, 9436)",ABCDx
95,[],"(9552, 9552)",ABCDx
96,[],"(9969, 9969)",ABCDx
97,[],"(10872, 10872)",ABCDx
98,[],"(10623, 10623)",ABCDx
99,[],"(9128, 9128)",ABCDx
100,"[10165, 10346, 10879]","(10210, 10210)",ADWIN
101,"[12060, 12097]","(10127, 10127)",ADWIN
102,"[10360, 10529]","(10325, 10325)",ADWIN
103,[12373],"(9131, 9131)",ADWIN
104,"[10060, 10132, 10313, 10384, 10420, 10490, 10560, 10627]","(7284, 7284)",ADWIN
105,"[10641, 10678, 10760, 11025, 11250]","(8251, 8251)",ADWIN
106,"[9845, 9877, 9909]","(9987, 9987)",ADWIN
107,"[10970, 11087, 11512]","(7473, 7473)",ADWIN
108,"[9900, 9935, 10005, 10041, 10572]","(9171, 9171)",ADWIN
109,"[12010, 12705, 12743, 13200, 13310]","(8803, 8803)",ADWIN
110,"[10204, 10309, 10411, 10478]","(7760, 7760)",ADWIN
111,[11542],"(7041, 7041)",ADWIN
112,"[10043, 10150, 10219, 10570]","(7716, 7716)",ADWIN
113,"[10037, 10069, 13785]","(11029, 11029)",ADWIN
114,"[9981, 10016, 10444]","(8897, 8897)",ADWIN
