,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,24.0,7.0,43.0,0.22580645161290322,0.14,0.14,0.1728395061728395,732.1428571428571,1.7253774263120059,2.228612508986341,50.0,31.0
ABCDx,8.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.5751258087706687,0.5751258087706687,50.0,8.0
ADWIN,130.0,45.0,35.0,0.2571428571428571,0.5625,0.3,0.3529411764705882,673.6666666666666,9.345794392523365,12.580877066858376,50.0,175.0
CUSUM,55.0,15.0,35.0,0.21428571428571427,0.3,0.3,0.25,664.9333333333333,3.9539899352983463,5.03235082674335,50.0,70.0
DDM,31.0,6.0,44.0,0.16216216216216217,0.12,0.12,0.13793103448275862,945.5,2.228612508986341,2.659956865564342,50.0,37.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,41.0,14.0,36.0,0.2545454545454545,0.28,0.28,0.26666666666666666,1003.4285714285714,2.9475197699496767,3.9539899352983463,50.0,55.0
HDDMWeighted,198.0,41.0,17.0,0.17154811715481172,0.7068965517241379,0.66,0.2760942760942761,646.3636363636364,14.234363767074049,17.181883537023722,50.0,239.0
PageHinkley,43.0,13.0,37.0,0.23214285714285715,0.26,0.26,0.24528301886792453,697.5384615384615,3.0913012221423433,4.02588066139468,50.0,56.0
RDDM,95.0,25.0,32.0,0.20833333333333334,0.43859649122807015,0.36,0.2824858757062147,719.9444444444445,6.8296189791516895,8.626887131560029,50.0,120.0
SEED,54.0,17.0,33.0,0.23943661971830985,0.34,0.34,0.2809917355371901,917.9411764705883,3.882099209202013,5.104241552839683,50.0,71.0
STEPD,154.0,34.0,26.0,0.18085106382978725,0.5666666666666667,0.48,0.2741935483870968,615.375,11.07117181883537,13.515456506110711,50.0,188.0
STUDD,296.0,0.0,50.0,0.0,0.0,0.0,0.0,,21.279654924514738,21.279654924514738,50.0,296.0
