,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,34.0,7.0,43.0,0.17073170731707318,0.14,0.14,0.15384615384615385,997.5714285714286,2.444284687275341,2.9475197699496767,50.0,41.0
ABCDx,3.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.21567217828900073,0.21567217828900073,50.0,3.0
ADWIN,144.0,47.0,34.0,0.24607329842931938,0.5802469135802469,0.32,0.34558823529411764,691.5625,10.352264557872035,13.731128684399712,50.0,191.0
CUSUM,39.0,15.0,35.0,0.2777777777777778,0.3,0.3,0.2884615384615385,777.2666666666667,2.803738317757009,3.882099209202013,50.0,54.0
DDM,858.0,140.0,10.0,0.1402805611222445,0.9333333333333333,0.8,0.24390243902439027,469.525,61.6822429906542,71.7469446441409,50.0,998.0
EWMAChart,12.0,5.0,45.0,0.29411764705882354,0.1,0.1,0.14925373134328357,845.8,0.8626887131560029,1.2221423436376706,50.0,17.0
GeometricMovingAverage,4243.0,711.0,0.0,0.14352038756560356,1.0,1.0,0.2510150044130627,45.42,305.03235082674337,356.14665708123647,50.0,4954.0
HDDMAverage,50.0,17.0,33.0,0.2537313432835821,0.34,0.34,0.2905982905982906,914.2352941176471,3.5945363048166787,4.816678648454349,50.0,67.0
HDDMWeighted,648.0,118.0,3.0,0.15404699738903394,0.9752066115702479,0.94,0.266065388951522,345.4255319148936,46.585190510424155,55.06829618979152,50.0,766.0
PageHinkley,32.0,9.0,41.0,0.21951219512195122,0.18,0.18,0.1978021978021978,968.8888888888889,2.3005032350826746,2.9475197699496767,50.0,41.0
RDDM,6545.0,1074.0,0.0,0.14096338102113137,1.0,1.0,0.24709536408604627,78.46,470.52480230050327,547.7354421279656,50.0,7619.0
SEED,55.0,16.0,35.0,0.22535211267605634,0.3137254901960784,0.3,0.26229508196721313,913.8666666666667,3.9539899352983463,5.104241552839683,50.0,71.0
STEPD,48.0,19.0,31.0,0.2835820895522388,0.38,0.38,0.32478632478632474,828.6842105263158,3.4507548526240117,4.816678648454349,50.0,67.0
STUDD,158.0,97.0,22.0,0.3803921568627451,0.8151260504201681,0.56,0.5187165775401069,508.7142857142857,11.358734723220705,18.332135154565062,50.0,255.0
