,preds,true,detector_name
0,[12148],"(10210, 10210)",ABCD
1,"[8773, 9721]","(8005, 8005)",ABCD
2,[10934],"(9577, 9577)",ABCD
3,[10576],"(9562, 9562)",ABCD
4,"[7961, 9945, 13175]","(7222, 7222)",ABCD
5,[11109],"(7588, 7588)",ABCD
6,[10812],"(9274, 9274)",ABCD
7,[10591],"(8143, 8143)",ABCD
8,[9201],"(8176, 8176)",ABCD
9,[11883],"(7660, 7660)",ABCD
10,[],"(10644, 10644)",ABCD
11,[10878],"(9233, 9233)",ABCD
12,[10583],"(7876, 7876)",ABCD
13,[],"(9422, 9422)",ABCD
14,[12710],"(10136, 10136)",ABCD
15,[10543],"(7450, 7450)",ABCD
16,[11793],"(8327, 8327)",ABCD
17,[13780],"(10410, 10410)",ABCD
18,[13137],"(7966, 7966)",ABCD
19,[13647],"(9823, 9823)",ABCD
20,[],"(10787, 10787)",ABCD
21,[10418],"(9200, 9200)",ABCD
22,[],"(8974, 8974)",ABCD
23,"[9212, 9780]","(7032, 7032)",ABCD
24,[],"(9804, 9804)",ABCD
25,[10182],"(8480, 8480)",ABCD
26,"[8983, 9717]","(8042, 8042)",ABCD
27,"[9084, 9689, 12945]","(6970, 6970)",ABCD
28,[10792],"(7479, 7479)",ABCD
29,"[8351, 9781]","(7216, 7216)",ABCD
30,[13380],"(8747, 8747)",ABCD
31,"[8120, 9705, 13570]","(7284, 7284)",ABCD
32,"[8205, 10338]","(7177, 7177)",ABCD
33,[],"(10615, 10615)",ABCD
34,[],"(10231, 10231)",ABCD
35,"[8298, 9901]","(7379, 7379)",ABCD
36,[],"(8661, 8661)",ABCD
37,[],"(10894, 10894)",ABCD
38,[10702],"(8083, 8083)",ABCD
39,"[9196, 9630]","(8144, 8144)",ABCD
40,[11072],"(8200, 8200)",ABCD
41,[11226],"(7515, 7515)",ABCD
42,"[9221, 9729]","(7920, 7920)",ABCD
43,"[10678, 13500]","(7623, 7623)",ABCD
44,[],"(9796, 9796)",ABCD
45,[],"(10390, 10390)",ABCD
46,[],"(10513, 10513)",ABCD
47,[11487],"(10339, 10339)",ABCD
48,[],"(10212, 10212)",ABCD
49,[11602],"(8434, 8434)",ABCD
50,[],"(10210, 10210)",ABCDx
51,[],"(8005, 8005)",ABCDx
52,[],"(9577, 9577)",ABCDx
53,[],"(9562, 9562)",ABCDx
54,[],"(7222, 7222)",ABCDx
55,[],"(7588, 7588)",ABCDx
56,[],"(9274, 9274)",ABCDx
57,[],"(8143, 8143)",ABCDx
58,[],"(8176, 8176)",ABCDx
59,[],"(7660, 7660)",ABCDx
60,[],"(10644, 10644)",ABCDx
61,[],"(9233, 9233)",ABCDx
62,[],"(7876, 7876)",ABCDx
63,[],"(9422, 9422)",ABCDx
64,[],"(10136, 10136)",ABCDx
65,[],"(7450, 7450)",ABCDx
66,[],"(8327, 8327)",ABCDx
67,[],"(10410, 10410)",ABCDx
68,[],"(7966, 7966)",ABCDx
69,[],"(9823, 9823)",ABCDx
70,[],"(10787, 10787)",ABCDx
71,[],"(9200, 9200)",ABCDx
72,[],"(8974, 8974)",ABCDx
73,[],"(7032, 7032)",ABCDx
74,[],"(9804, 9804)",ABCDx
75,[],"(8480, 8480)",ABCDx
76,[],"(8042, 8042)",ABCDx
77,[],"(6970, 6970)",ABCDx
78,[],"(7479, 7479)",ABCDx
79,[],"(7216, 7216)",ABCDx
80,[],"(8747, 8747)",ABCDx
81,[],"(7284, 7284)",ABCDx
82,[],"(7177, 7177)",ABCDx
83,[],"(10615, 10615)",ABCDx
84,[],"(10231, 10231)",ABCDx
85,[],"(7379, 7379)",ABCDx
86,[],"(8661, 8661)",ABCDx
87,[],"(10894, 10894)",ABCDx
88,[],"(8083, 8083)",ABCDx
89,[],"(8144, 8144)",ABCDx
90,[],"(8200, 8200)",ABCDx
91,[],"(7515, 7515)",ABCDx
92,[],"(7920, 7920)",ABCDx
93,[],"(7623, 7623)",ABCDx
94,[],"(9796, 9796)",ABCDx
95,[],"(10390, 10390)",ABCDx
96,[],"(10513, 10513)",ABCDx
97,[],"(10339, 10339)",ABCDx
98,[],"(10212, 10212)",ABCDx
99,[],"(8434, 8434)",ABCDx
100,"[10165, 10709]","(10210, 10210)",ADWIN
101,[9685],"(8005, 8005)",ADWIN
102,[],"(9577, 9577)",ADWIN
103,[],"(9562, 9562)",ADWIN
104,"[9717, 9749, 12917, 12949, 13013]","(7222, 7222)",ADWIN
105,"[9781, 11093]","(7588, 7588)",ADWIN
106,[10005],"(9274, 9274)",ADWIN
107,"[10069, 10101, 10165, 11317]","(8143, 8143)",ADWIN
108,[10965],"(8176, 8176)",ADWIN
109,"[10069, 10165]","(7660, 7660)",ADWIN
110,[],"(10644, 10644)",ADWIN
111,"[10421, 10453, 10485, 10517, 10581]","(9233, 9233)",ADWIN
112,"[6517, 9941, 9973, 11765]","(7876, 7876)",ADWIN
113,[10549],"(9422, 9422)",ADWIN
114,"[9877, 9941, 9973]","(10136, 10136)",ADWIN
115,"[9909, 9941, 9973, 10069, 10165]","(7450, 7450)",ADWIN
116,"[10805, 10837, 11349]","(8327, 8327)",ADWIN
117,[],"(10410, 10410)",ADWIN
118,"[11349, 11477]","(7966, 7966)",ADWIN
119,[9781],"(9823, 9823)",ADWIN
120,[10613],"(10787, 10787)",ADWIN
121,"[9877, 10005]","(9200, 9200)",ADWIN
122,"[9813, 10165]","(8974, 8974)",ADWIN
123,"[9813, 10069]","(7032, 7032)",ADWIN
124,"[9781, 13397, 13461]","(9804, 9804)",ADWIN
125,"[9557, 9621, 9685, 10133, 10325]","(8480, 8480)",ADWIN
126,"[9781, 10197]","(8042, 8042)",ADWIN
127,"[12309, 12693, 12757, 12821]","(6970, 6970)",ADWIN
128,"[10197, 10261, 10357, 10933]","(7479, 7479)",ADWIN
129,"[9621, 9653, 9749, 9781, 9813, 9845]","(7216, 7216)",ADWIN
130,"[10197, 13781]","(8747, 8747)",ADWIN
131,"[9589, 9621, 13109]","(7284, 7284)",ADWIN
132,"[9973, 10229, 10485, 10613, 10677]","(7177, 7177)",ADWIN
133,"[10549, 10581]","(10615, 10615)",ADWIN
134,[],"(10231, 10231)",ADWIN
135,"[9781, 9813, 9909]","(7379, 7379)",ADWIN
136,"[10005, 10133]","(8661, 8661)",ADWIN
137,"[10069, 10101, 10165, 10229]","(10894, 10894)",ADWIN
138,"[9685, 9717]","(8083, 8083)",ADWIN
139,"[9653, 9781, 10165]","(8144, 8144)",ADWIN
140,"[9813, 9941, 10037, 10261, 10293]","(8200, 8200)",ADWIN
141,"[10773, 11029, 11125, 11189, 11477, 11669, 12021]","(7515, 7515)",ADWIN
142,"[9717, 9749, 9781, 9877]","(7920, 7920)",ADWIN
143,"[9749, 10517, 10741, 10773, 13141, 13205, 13493]","(7623, 7623)",ADWIN
144,[],"(9796, 9796)",ADWIN
145,"[9877, 9909]","(10390, 10390)",ADWIN
146,[],"(10513, 10513)",ADWIN
147,"[10229, 10261, 10293]","(10339, 10339)",ADWIN
148,[],"(10212, 10212)",ADWIN
149,"[10069, 12981, 13141]","(8434, 8434)",ADWIN
150,[10140],"(10210, 10210)",CUSUM
151,[10062],"(8005, 8005)",CUSUM
152,[],"(9577, 9577)",CUSUM
153,[6623],"(9562, 9562)",CUSUM
154,"[10073, 12902]","(7222, 7222)",CUSUM
155,[10311],"(7588, 7588)",CUSUM
156,[10033],"(9274, 9274)",CUSUM
157,[10056],"(8143, 8143)",CUSUM
158,[13011],"(8176, 8176)",CUSUM
159,[10139],"(7660, 7660)",CUSUM
160,[10379],"(10644, 10644)",CUSUM
161,[10330],"(9233, 9233)",CUSUM
162,"[6514, 9919]","(7876, 7876)",CUSUM
163,[10861],"(9422, 9422)",CUSUM
164,[9929],"(10136, 10136)",CUSUM
165,[9676],"(7450, 7450)",CUSUM
166,[10581],"(8327, 8327)",CUSUM
167,[8519],"(10410, 10410)",CUSUM
168,[10588],"(7966, 7966)",CUSUM
169,[],"(9823, 9823)",CUSUM
170,[10486],"(10787, 10787)",CUSUM
171,[9930],"(9200, 9200)",CUSUM
172,"[7299, 10061]","(8974, 8974)",CUSUM
173,[9931],"(7032, 7032)",CUSUM
174,"[9749, 13425]","(9804, 9804)",CUSUM
175,[9829],"(8480, 8480)",CUSUM
176,[10059],"(8042, 8042)",CUSUM
177,[12318],"(6970, 6970)",CUSUM
178,[10228],"(7479, 7479)",CUSUM
179,[9785],"(7216, 7216)",CUSUM
180,"[10345, 13429]","(8747, 8747)",CUSUM
181,"[9745, 13068]","(7284, 7284)",CUSUM
182,[10203],"(7177, 7177)",CUSUM
183,[10382],"(10615, 10615)",CUSUM
184,[],"(10231, 10231)",CUSUM
185,[10130],"(7379, 7379)",CUSUM
186,[11166],"(8661, 8661)",CUSUM
187,[10065],"(10894, 10894)",CUSUM
188,[9737],"(8083, 8083)",CUSUM
189,[10060],"(8144, 8144)",CUSUM
190,[10006],"(8200, 8200)",CUSUM
191,[10575],"(7515, 7515)",CUSUM
192,[9831],"(7920, 7920)",CUSUM
193,"[9954, 11953]","(7623, 7623)",CUSUM
194,[],"(9796, 9796)",CUSUM
195,[10140],"(10390, 10390)",CUSUM
196,[],"(10513, 10513)",CUSUM
197,[10172],"(10339, 10339)",CUSUM
198,[7925],"(10212, 10212)",CUSUM
199,"[10096, 12935]","(8434, 8434)",CUSUM
200,"[10336, 13516]","(10210, 10210)",DDM
201,[10053],"(8005, 8005)",DDM
202,[],"(9577, 9577)",DDM
203,[8340],"(9562, 9562)",DDM
204,"[9980, 12693]","(7222, 7222)",DDM
205,[10201],"(7588, 7588)",DDM
206,[10023],"(9274, 9274)",DDM
207,[10031],"(8143, 8143)",DDM
208,[12193],"(8176, 8176)",DDM
209,[10543],"(7660, 7660)",DDM
210,[10216],"(10644, 10644)",DDM
211,[10280],"(9233, 9233)",DDM
212,"[6404, 9688]","(7876, 7876)",DDM
213,[10817],"(9422, 9422)",DDM
214,[9951],"(10136, 10136)",DDM
215,"[8463, 10804]","(7450, 7450)",DDM
216,[10524],"(8327, 8327)",DDM
217,"[6849, 10148]","(10410, 10410)",DDM
218,[10558],"(7966, 7966)",DDM
219,[],"(9823, 9823)",DDM
