,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,20.0,3.0,47.0,0.13043478260869565,0.06,0.06,0.0821917808219178,257.6666666666667,1.4378145219266716,1.6534867002156721,50.0,23.0
ABCDx,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
ADWIN,76.0,11.0,44.0,0.12643678160919541,0.2,0.12,0.15492957746478875,64.83333333333333,5.463695183321351,6.2544931703810205,50.0,87.0
CUSUM,25.0,7.0,43.0,0.21875,0.14,0.14,0.17073170731707318,619.8571428571429,1.7972681524083394,2.3005032350826746,50.0,32.0
DDM,867.0,124.0,19.0,0.12512613521695257,0.8671328671328671,0.62,0.21869488536155202,279.6774193548387,62.32925952552121,71.24370956146657,50.0,991.0
EWMAChart,9.0,1.0,49.0,0.1,0.02,0.02,0.03333333333333333,4.0,0.6470165348670022,0.7189072609633358,50.0,10.0
GeometricMovingAverage,4449.0,751.0,0.0,0.14442307692307693,1.0,1.0,0.25239455553688456,52.76,319.84184040258805,373.83177570093454,50.0,5200.0
HDDMAverage,44.0,5.0,45.0,0.10204081632653061,0.1,0.1,0.10101010101010102,1048.6,3.163191948238677,3.5226455787203452,50.0,49.0
HDDMWeighted,776.0,105.0,7.0,0.1191827468785471,0.9375,0.86,0.21148036253776434,526.6279069767442,55.78720345075485,63.33572969086988,50.0,881.0
PageHinkley,17.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.2221423436376706,1.2221423436376706,50.0,17.0
RDDM,6894.0,1130.0,1.0,0.14082751744765704,0.9991158267020336,0.98,0.24685963954123427,49.57142857142857,495.61466570812365,576.8511861969806,50.0,8024.0
SEED,64.0,27.0,26.0,0.2967032967032967,0.5094339622641509,0.48,0.375,981.1666666666666,4.601006470165349,6.542056074766355,50.0,91.0
STEPD,61.0,14.0,36.0,0.18666666666666668,0.28,0.28,0.22400000000000003,915.0,4.385334291876348,5.391804457225018,50.0,75.0
STUDD,252.0,87.0,27.0,0.25663716814159293,0.7631578947368421,0.46,0.3841059602649007,494.9130434782609,18.11646297627606,24.370956146657083,50.0,339.0
