,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,20.0,1.0,49.0,0.047619047619047616,0.02,0.02,0.028169014084507043,1390.0,1.101382234704554,1.156451346439782,50.0,21.0
ABCDx,7.0,2.0,48.0,0.2222222222222222,0.04,0.04,0.06779661016949154,915.0,0.38548378214659396,0.4956220056170494,50.0,9.0
ADWIN,109.0,60.0,32.0,0.35502958579881655,0.6521739130434783,0.36,0.4597701149425287,1052.7222222222222,6.00253317913982,9.306679883253482,50.0,169.0
CUSUM,43.0,15.0,35.0,0.25862068965517243,0.3,0.3,0.2777777777777778,878.3333333333334,2.3679718046147915,3.194008480643207,50.0,58.0
DDM,20.0,4.0,46.0,0.16666666666666666,0.08,0.08,0.10810810810810811,461.25,1.101382234704554,1.321658681645465,50.0,24.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,14.0,18.0,32.0,0.5625,0.36,0.36,0.43902439024390244,934.5555555555555,0.7709675642931879,1.7622115755272867,50.0,32.0
HDDMWeighted,62.0,10.0,40.0,0.1388888888888889,0.2,0.2,0.1639344262295082,532.8,3.4142849275841183,3.964976044936395,50.0,72.0
PageHinkley,27.0,14.0,36.0,0.34146341463414637,0.28,0.28,0.3076923076923077,812.5714285714286,1.4868660168511483,2.257833581144336,50.0,41.0
RDDM,70.0,31.0,22.0,0.3069306930693069,0.5849056603773585,0.56,0.4025974025974026,804.8571428571429,3.85483782146594,5.561980285257999,50.0,101.0
SEED,24.0,30.0,21.0,0.5555555555555556,0.5882352941176471,0.58,0.5714285714285715,755.0344827586207,1.321658681645465,2.9737320337022966,50.0,54.0
STEPD,133.0,8.0,42.0,0.05673758865248227,0.16,0.16,0.08376963350785341,724.125,7.324191860785286,7.764744754667107,50.0,141.0
STUDD,131.0,55.0,35.0,0.2956989247311828,0.6111111111111112,0.3,0.3985507246376812,715.0666666666667,7.21405363731483,10.242854782752353,50.0,186.0
