,preds,true,detector_name
0,[11585],"(9572, 9572)",ABCD
1,[15407],"(13513, 13513)",ABCD
2,[15622],"(9394, 9394)",ABCD
3,[13657],"(11263, 11263)",ABCD
4,[],"(12422, 12422)",ABCD
5,[],"(11996, 11996)",ABCD
6,[],"(14506, 14506)",ABCD
7,[15311],"(13562, 13562)",ABCD
8,[],"(13570, 13570)",ABCD
9,[12661],"(9721, 9721)",ABCD
10,[],"(10081, 10081)",ABCD
11,[17044],"(12624, 12624)",ABCD
12,[14204],"(11608, 11608)",ABCD
13,[14489],"(10501, 10501)",ABCD
14,[],"(14478, 14478)",ABCD
15,[11839],"(14170, 14170)",ABCD
16,[],"(11434, 11434)",ABCD
17,[],"(12268, 12268)",ABCD
18,[],"(12680, 12680)",ABCD
19,[15493],"(9979, 9979)",ABCD
20,[],"(14191, 14191)",ABCD
21,[12649],"(9427, 9427)",ABCD
22,[],"(12460, 12460)",ABCD
23,[],"(13351, 13351)",ABCD
24,[],"(9707, 9707)",ABCD
25,[14198],"(11243, 11243)",ABCD
26,[16439],"(11544, 11544)",ABCD
27,[15908],"(12716, 12716)",ABCD
28,[16930],"(12253, 12253)",ABCD
29,[17474],"(13679, 13679)",ABCD
30,[],"(14490, 14490)",ABCD
31,[12647],"(10203, 10203)",ABCD
32,[],"(14168, 14168)",ABCD
33,[11090],"(9889, 9889)",ABCD
34,[],"(9531, 9531)",ABCD
35,[],"(9745, 9745)",ABCD
36,[14073],"(10459, 10459)",ABCD
37,[11252],"(9278, 9278)",ABCD
38,[12583],"(10395, 10395)",ABCD
39,[],"(11159, 11159)",ABCD
40,[14182],"(13001, 13001)",ABCD
41,[],"(14293, 14293)",ABCD
42,[12489],"(10263, 10263)",ABCD
43,"[8194, 13148]","(11975, 11975)",ABCD
44,[14377],"(12642, 12642)",ABCD
45,[14342],"(13812, 13812)",ABCD
46,[15933],"(12652, 12652)",ABCD
47,[],"(12428, 12428)",ABCD
48,[],"(10951, 10951)",ABCD
49,[15425],"(12239, 12239)",ABCD
50,[11873],"(9572, 9572)",ABCDx
51,[],"(14070, 14070)",ABCDx
52,[14729],"(13406, 13406)",ABCDx
53,[],"(12249, 12249)",ABCDx
54,[13483],"(10640, 10640)",ABCDx
55,[],"(10786, 10786)",ABCDx
56,[],"(11458, 11458)",ABCDx
57,[],"(12909, 12909)",ABCDx
58,[],"(10240, 10240)",ABCDx
59,[],"(14177, 14177)",ABCDx
60,[],"(11042, 11042)",ABCDx
61,[13213],"(9450, 9450)",ABCDx
62,[],"(11675, 11675)",ABCDx
63,[],"(13691, 13691)",ABCDx
64,[],"(9459, 9459)",ABCDx
65,[],"(12612, 12612)",ABCDx
66,[17481],"(11242, 11242)",ABCDx
67,[],"(13225, 13225)",ABCDx
68,[],"(14448, 14448)",ABCDx
69,[],"(10832, 10832)",ABCDx
70,[],"(13977, 13977)",ABCDx
71,[],"(11774, 11774)",ABCDx
72,[13364],"(10923, 10923)",ABCDx
73,[],"(13448, 13448)",ABCDx
74,[],"(11309, 11309)",ABCDx
75,[],"(11430, 11430)",ABCDx
76,[],"(12150, 12150)",ABCDx
77,[],"(11698, 11698)",ABCDx
78,[],"(13203, 13203)",ABCDx
79,[],"(14068, 14068)",ABCDx
80,[],"(14259, 14259)",ABCDx
81,[],"(10605, 10605)",ABCDx
82,[],"(12212, 12212)",ABCDx
83,[13901],"(11038, 11038)",ABCDx
84,[],"(11968, 11968)",ABCDx
85,[],"(9793, 9793)",ABCDx
86,[],"(13911, 13911)",ABCDx
87,[],"(13853, 13853)",ABCDx
88,[],"(14318, 14318)",ABCDx
89,[],"(12291, 12291)",ABCDx
90,[],"(10495, 10495)",ABCDx
91,[],"(9989, 9989)",ABCDx
