,preds,true,detector_name
0,[],"(13895, 13895)",ABCD
1,[15842],"(13096, 13096)",ABCD
2,[13397],"(10611, 10611)",ABCD
3,[15713],"(12716, 12716)",ABCD
4,[14804],"(12653, 12653)",ABCD
5,[15940],"(13300, 13300)",ABCD
6,[15498],"(13545, 13545)",ABCD
7,[14608],"(10061, 10061)",ABCD
8,[16322],"(12846, 12846)",ABCD
9,[],"(13517, 13517)",ABCD
10,[5392],"(13186, 13186)",ABCD
11,[],"(9103, 9103)",ABCD
12,[14538],"(11325, 11325)",ABCD
13,[12589],"(9411, 9411)",ABCD
14,[],"(13633, 13633)",ABCD
15,[16376],"(9241, 9241)",ABCD
16,[16289],"(13600, 13600)",ABCD
17,[],"(10906, 10906)",ABCD
18,[17030],"(12234, 12234)",ABCD
19,[17964],"(13595, 13595)",ABCD
20,[14024],"(10616, 10616)",ABCD
21,[15111],"(10032, 10032)",ABCD
22,[],"(13941, 13941)",ABCD
23,[],"(11635, 11635)",ABCD
24,[17598],"(14379, 14379)",ABCD
25,[13290],"(10337, 10337)",ABCD
26,[14916],"(10756, 10756)",ABCD
27,[16024],"(11742, 11742)",ABCD
28,[14389],"(12287, 12287)",ABCD
29,[14232],"(10982, 10982)",ABCD
30,[16391],"(11698, 11698)",ABCD
31,[16444],"(13221, 13221)",ABCD
32,[],"(13437, 13437)",ABCD
33,[15778],"(11760, 11760)",ABCD
34,[13546],"(9827, 9827)",ABCD
35,[],"(13350, 13350)",ABCD
36,[],"(11163, 11163)",ABCD
37,[],"(9465, 9465)",ABCD
38,[14656],"(11896, 11896)",ABCD
39,[11811],"(10119, 10119)",ABCD
40,"[9918, 14426]","(11322, 11322)",ABCD
41,[16991],"(12588, 12588)",ABCD
42,[],"(10816, 10816)",ABCD
43,[12785],"(9780, 9780)",ABCD
44,[],"(11740, 11740)",ABCD
45,[],"(13479, 13479)",ABCD
46,[14272],"(9433, 9433)",ABCD
47,[17028],"(9331, 9331)",ABCD
48,[],"(13437, 13437)",ABCD
49,[],"(14260, 14260)",ABCD
50,[],"(13895, 13895)",ABCDx
51,[],"(13096, 13096)",ABCDx
