,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,35.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.92741891073297,1.92741891073297,50.0,35.0
ABCDx,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.11013822347045542,0.11013822347045542,50.0,2.0
ADWIN,171.0,8.0,46.0,0.0446927374301676,0.14814814814814814,0.08,0.06866952789699571,865.0,9.41681810672394,9.85737100060576,50.0,179.0
CUSUM,39.0,8.0,42.0,0.1702127659574468,0.16,0.16,0.16494845360824742,941.625,2.147695357673881,2.5882482515557026,50.0,47.0
DDM,825.0,93.0,14.0,0.10130718954248366,0.8691588785046729,0.72,0.18146341463414634,454.1388888888889,45.43201718156286,50.55344457293904,50.0,918.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,4864.0,559.0,0.0,0.10307947630462844,1.0,1.0,0.18689401537947178,59.22,267.8561594801476,298.63979294013984,50.0,5423.0
HDDMAverage,33.0,3.0,47.0,0.08333333333333333,0.06,0.06,0.06976744186046512,938.6666666666666,1.8172806872625145,1.9824880224681976,50.0,36.0
HDDMWeighted,145.0,12.0,39.0,0.07643312101910828,0.23529411764705882,0.22,0.11538461538461539,499.72727272727275,7.985021201608019,8.645850542430752,50.0,157.0
PageHinkley,25.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.376727793380693,1.376727793380693,50.0,25.0
RDDM,5598.0,628.0,0.0,0.10086733054930935,1.0,1.0,0.18325065655091918,130.3,308.27688749380474,342.86028966352774,50.0,6226.0
SEED,51.0,8.0,42.0,0.13559322033898305,0.16,0.16,0.14678899082568808,1000.125,2.8085246984966132,3.249077592378435,50.0,59.0
STEPD,40.0,9.0,41.0,0.1836734693877551,0.18,0.18,0.1818181818181818,1119.2222222222222,2.202764469409108,2.6983864750261577,50.0,49.0
STUDD,110.0,17.0,42.0,0.13385826771653545,0.288135593220339,0.16,0.18279569892473121,843.75,6.057602290875049,6.993777190373919,50.0,127.0
